[03:44:52.070] |I| [config::init_config]: backend-renderer: OpenGL
[03:44:52.071] |I| [config::init_config]: log-level: 0
[03:44:52.215] |I| [SDL_main]: Vita3K v0.1 1798-0564e402
[03:44:52.376] |I| [renderer::gl::create]: Swap interval = 1
[03:44:52.376] |I| [renderer::gl::create]: GPU = Intel(R) HD Graphics 520
[03:44:52.377] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 - Build 27.20.100.8885
[03:44:52.377] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 - Build 27.20.100.8885
[03:44:52.377] |I| [renderer::gl::create]: Your GPU supports direct access to last fragment color. Your performance with programmable blending games will be optimized.
[03:47:36.530] |I| [load_app_impl]: ngs experimental state: true
[03:47:36.531] |I| [load_app_impl]: auto-lle: enabled
[03:47:36.532] |I| [load_app_impl]: Title: 1001 Spikes
[03:47:36.533] |I| [load_app_impl]: Serial: PCSE00349
[03:47:36.534] |I| [load_app_impl]: Version: 01.00
[03:47:36.534] |I| [load_app_impl]: Category: gd
[03:47:36.551] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:47:36.552] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000513BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[03:47:36.552] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[03:47:36.553] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[03:47:36.555] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x47164
[03:47:36.555] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D0FC
[03:47:36.555] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x410BC, setting to stub value 0xDEADBEEF
[03:47:36.556] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x42B70, setting to stub value 0xDEADBEEF
[03:47:36.556] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:47:36.568] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:47:36.569] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0008212C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[03:47:36.570] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x0008823D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[03:47:36.573] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[03:47:36.574] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x82034
[03:47:36.575] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x79548
[03:47:36.576] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:47:36.583] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:47:36.584] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009CA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[03:47:36.586] |I| [load_self]: Loaded module segment 1 @ [0x0009D000 - 0x0009D814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[03:47:36.588] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[03:47:36.589] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9B3C8
[03:47:36.591] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98944
[03:47:36.593] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[03:47:36.606] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x000EEF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[03:47:36.608] |I| [load_self]: Loaded module segment 1 @ [0x000EF000 - 0x000EF2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[03:47:36.609] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[03:47:36.611] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDA7DC
[03:47:36.612] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD9F10
[03:47:36.612] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[03:47:36.617] |I| [load_self]: Loaded module segment 0 @ [0x000F0000 - 0x000FFF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[03:47:36.619] |I| [load_self]: Loaded module segment 1 @ [0x00100000 - 0x00100008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[03:47:36.621] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[03:47:36.622] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFE710
[03:47:36.623] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFE300
[03:47:36.624] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[03:47:36.664] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:47:36.665] |I| [load_self]: Loaded module segment 0 @ [0x00101000 - 0x001B2E00 / 0x81000000] (size: 0x000B1E00) of module app0:eboot.bin
[03:47:36.666] |I| [load_self]: Loaded module segment 1 @ [0x001B3000 - 0x001C7080 / 0x810B2000] (size: 0x00014080) of module app0:eboot.bin
[03:47:36.667] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[03:47:36.667] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x199284
[03:47:36.668] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1B61D8
[03:47:36.669] |I| [load_app_impl]: Main executable _001SpikesVita (eboot.bin) loaded
[03:47:36.675] |D| [run_app]: Running module_start of library: SceLibc at address 0x4809
[03:47:36.725] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[03:47:36.725] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[03:47:36.726] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[03:47:36.730] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[03:47:36.732] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x57001
[03:47:36.736] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[03:47:36.737] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[03:47:36.738] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[03:47:36.739] |D| [run_app]: Running module_start of library: SceUlt at address 0x8C769
[03:47:36.743] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[03:47:36.744] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[03:47:36.761] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
