[23:20:36.176] |I| [config::init_config]: backend-renderer: OpenGL
[23:20:36.177] |I| [config::init_config]: log-level: 0
[23:20:36.240] |I| [SDL_main]: Vita3K v0.1.2 2050-6aa22790
[23:20:36.427] |I| [renderer::gl::create]: Swap interval = -1
[23:20:36.431] |I| [renderer::gl::create]: GPU = NVIDIA GeForce GTX 1060 6GB/PCIe/SSE2
[23:20:36.432] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 466.27
[23:20:36.432] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[23:20:36.433] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[23:20:48.067] |I| [load_app_impl]: ngs experimental state: true
[23:20:48.068] |I| [load_app_impl]: video player state: true
[23:20:48.068] |I| [load_app_impl]: auto-lle: enabled
[23:20:48.069] |I| [load_app_impl]: Title: 10 Second Ninja X
[23:20:48.069] |I| [load_app_impl]: Serial: PCSB00963
[23:20:48.069] |I| [load_app_impl]: Version: 1.00
[23:20:48.069] |I| [load_app_impl]: Category: gd
[23:20:48.080] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:20:48.080] |I| [load_self]: Loaded module segment 0 @ [0x0000E000 - 0x0005F8A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[23:20:48.080] |I| [load_self]: Loaded module segment 1 @ [0x00060000 - 0x000628A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[23:20:48.080] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:20:48.081] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x55314
[23:20:48.081] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4A4DC
[23:20:48.081] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4E63C, setting to stub value 0xDEADBEEF
[23:20:48.081] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x501D0, setting to stub value 0xDEADBEEF
[23:20:48.081] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:20:48.088] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:20:48.088] |I| [load_self]: Loaded module segment 0 @ [0x00065000 - 0x00091CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[23:20:48.089] |I| [load_self]: Loaded module segment 1 @ [0x00092000 - 0x00097255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[23:20:48.090] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:20:48.091] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x91BC8
[23:20:48.091] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x88F08
[23:20:48.091] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:20:48.095] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:20:48.095] |I| [load_self]: Loaded module segment 0 @ [0x00098000 - 0x000AB9BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[23:20:48.096] |I| [load_self]: Loaded module segment 1 @ [0x000AC000 - 0x000AC814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:20:48.096] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:20:48.098] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xAA2E8
[23:20:48.099] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA7870
[23:20:48.099] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:20:48.109] |I| [load_self]: Loaded module segment 0 @ [0x000AD000 - 0x000FDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[23:20:48.110] |I| [load_self]: Loaded module segment 1 @ [0x000FE000 - 0x000FE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[23:20:48.111] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[23:20:48.111] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE97DC
[23:20:48.113] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE8F10
[23:20:48.113] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[23:20:48.210] |I| [load_self]: Loaded module segment 0 @ [0x000FF000 - 0x0010EF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[23:20:48.212] |I| [load_self]: Loaded module segment 1 @ [0x0010F000 - 0x0010F008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[23:20:48.213] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[23:20:48.213] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x10D710
[23:20:48.214] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x10D300
[23:20:48.214] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[23:20:48.322] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:20:48.323] |I| [load_self]: Loaded module segment 0 @ [0x00110000 - 0x003FAD34 / 0x81000000] (size: 0x002EAD34) of module app0:eboot.bin
[23:20:48.323] |I| [load_self]: Loaded module segment 1 @ [0x003FB000 - 0x0085748C / 0x812EB000] (size: 0x0045C48C) of module app0:eboot.bin
[23:20:48.324] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[23:20:48.325] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x31E2D4
[23:20:48.325] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x483C50
[23:20:48.325] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x3F84B4
[23:20:48.326] |I| [load_app_impl]: Main executable PSVitaRunner (eboot.bin) loaded
[23:20:48.330] |D| [run_app]: Running module_start of library: SceLibc at address 0xE871
[23:20:48.333] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[23:20:48.334] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[23:20:48.335] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[23:20:48.338] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[23:20:48.338] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x65001
[23:20:48.341] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[23:20:48.341] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[23:20:48.342] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[23:20:48.342] |D| [run_app]: Running module_start of library: SceUlt at address 0x9B771
[23:20:48.345] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[23:20:48.345] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[23:20:48.353] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[23:20:48.357] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[23:20:48.359] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[23:20:48.374] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[23:20:48.375] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.376] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.376] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.377] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.377] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.378] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.378] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.379] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.379] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.381] |T| [write_file]: *** TTY: Name = input.aNormal
[23:20:48.381] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.382] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.382] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.383] |T| [write_file]: *** TTY: Name = u_LightEnv.ambientcol
[23:20:48.383] |T| [write_file]: *** TTY: Name = u_LightEnv.m_pointLights_diffusecol
[23:20:48.384] |T| [write_file]: *** TTY: Name = u_LightEnv.m_pointLights_posrange
[23:20:48.384] |T| [write_file]: *** TTY: Name = u_LightEnv.numPointLights
[23:20:48.385] |T| [write_file]: *** TTY: Name = u_LightEnv.m_dirLights_diffusecol
[23:20:48.386] |T| [write_file]: *** TTY: Name = u_LightEnv.m_dirLights_dir
[23:20:48.386] |T| [write_file]: *** TTY: Name = u_LightEnv.numDirLights
[23:20:48.387] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.387] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.388] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.389] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.389] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.390] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.390] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.391] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.392] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.392] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.392] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.393] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.393] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.393] |T| [write_file]: *** TTY: Name = gm_AlphaRefValue
[23:20:48.394] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.394] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.394] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.398] |T| [write_file]: *** TTY: Name = input.aNormal
[23:20:48.398] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.399] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.399] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.400] |T| [write_file]: *** TTY: Name = u_LightEnv.ambientcol
[23:20:48.400] |T| [write_file]: *** TTY: Name = u_LightEnv.m_pointLights_diffusecol
[23:20:48.401] |T| [write_file]: *** TTY: Name = u_LightEnv.m_pointLights_posrange
[23:20:48.402] |T| [write_file]: *** TTY: Name = u_LightEnv.numPointLights
[23:20:48.402] |T| [write_file]: *** TTY: Name = u_LightEnv.m_dirLights_diffusecol
[23:20:48.402] |T| [write_file]: *** TTY: Name = u_LightEnv.m_dirLights_dir
[23:20:48.403] |T| [write_file]: *** TTY: Name = u_LightEnv.numDirLights
[23:20:48.403] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.404] |T| [write_file]: *** TTY: Name = gm_AlphaRefValue
[23:20:48.404] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.405] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.405] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.406] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.407] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.407] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.408] |T| [write_file]: *** TTY: Name = gm_AlphaRefValue
[23:20:48.408] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.409] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.409] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.410] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.410] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.412] |T| [write_file]: *** TTY: Name = gm_FogStart
[23:20:48.413] |T| [write_file]: *** TTY: Name = gm_RcpFogRange
[23:20:48.413] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.414] |T| [write_file]: *** TTY: Name = gm_FogColour
[23:20:48.414] |T| [write_file]: *** TTY: Name = gm_AlphaRefValue
[23:20:48.414] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.415] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.415] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.415] |T| [write_file]: *** TTY: Name = input.aNormal
[23:20:48.416] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.416] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.417] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.417] |T| [write_file]: *** TTY: Name = gm_FogStart
[23:20:48.418] |T| [write_file]: *** TTY: Name = gm_RcpFogRange
[23:20:48.418] |T| [write_file]: *** TTY: Name = u_LightEnv.ambientcol
[23:20:48.419] |T| [write_file]: *** TTY: Name = u_LightEnv.m_pointLights_diffusecol
[23:20:48.419] |T| [write_file]: *** TTY: Name = u_LightEnv.m_pointLights_posrange
[23:20:48.420] |T| [write_file]: *** TTY: Name = u_LightEnv.numPointLights
[23:20:48.420] |T| [write_file]: *** TTY: Name = u_LightEnv.m_dirLights_diffusecol
[23:20:48.420] |T| [write_file]: *** TTY: Name = u_LightEnv.m_dirLights_dir
[23:20:48.421] |T| [write_file]: *** TTY: Name = u_LightEnv.numDirLights
[23:20:48.421] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.422] |T| [write_file]: *** TTY: Name = gm_FogColour
[23:20:48.422] |T| [write_file]: *** TTY: Name = gm_AlphaRefValue
[23:20:48.423] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.424] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.424] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.424] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.425] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.425] |T| [write_file]: *** TTY: Name = gm_FogStart
[23:20:48.428] |T| [write_file]: *** TTY: Name = gm_RcpFogRange
[23:20:48.428] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.429] |T| [write_file]: *** TTY: Name = gm_FogColour
[23:20:48.429] |T| [write_file]: *** TTY: Name = gm_AlphaRefValue
[23:20:48.430] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.430] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.430] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.431] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.431] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.431] |T| [write_file]: *** TTY: Name = gm_FogStart
[23:20:48.432] |T| [write_file]: *** TTY: Name = gm_RcpFogRange
[23:20:48.432] |T| [write_file]: *** TTY: Fragment params:
[23:20:48.432] |T| [write_file]: *** TTY: Name = gm_FogColour
[23:20:48.433] |T| [write_file]: *** TTY: Name = gm_BaseTexture
[23:20:48.433] |T| [write_file]: *** TTY: Vertex params:
[23:20:48.434] |T| [write_file]: *** TTY: Name = input.aPosition
[23:20:48.434] |T| [write_file]: *** TTY: Name = input.aNormal
[23:20:48.435] |T| [write_file]: *** TTY: Name = input.aColour
[23:20:48.436] |T| [write_file]: *** TTY: Name = input.aTexCoord
[23:20:48.436] |T| [write_file]: *** TTY: Name = gm_Matrices
[23:20:48.436] |T| [write_file]: *** TTY: Name = gm_FogStart
[23:20:48.437] |T| [write_file]: *** TTY: Name = gm_RcpFogRange
[23:20:48.437] |T| [write_file]: *** TTY: Name = u_LightEnv.ambientcol
