[08:45:36.526] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:45:36.550] |I| [config::init_config]: backend-renderer: Vulkan
[08:45:36.551] |I| [config::init_config]: log-level: 0
[08:45:36.590] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[08:45:36.590] |I| [SDL_main]: Number of logical CPU cores: 4
[08:45:36.591] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:45:36.999] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[08:45:36.999] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[08:45:37.028] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[08:45:38.708] |W| [compat::load_compat_app_db]: App with Title ID PCSG00576 has an issue but no status label. Please check GitHub issue 1528 and request a status label be added.
[08:45:39.126] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:45:47.182] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/data/GAME.cpk
[08:45:59.837] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/data/MOVIE.cpk
[08:46:10.153] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/data/SOUND.cpk
[08:46:32.500] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/data/SYSTEM.cpk
[08:46:32.659] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/eboot.bin
[08:46:32.723] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_module/libc.suprx
[08:46:32.745] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_module/libface.suprx
[08:46:32.749] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_module/libfios2.suprx
[08:46:32.784] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_module/libsmart.suprx
[08:46:32.804] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_module/libult.suprx
[08:46:32.807] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_pfs/files.db
[08:46:32.809] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_pfs/pflist
[08:46:32.813] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_pfs/unicv.db
[08:46:32.854] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/about/right.suprx
[08:46:32.856] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/clearsign
[08:46:32.858] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/icon0.png
[08:46:32.862] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/keystone
[08:46:32.864] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/livearea/contents/bg0.png
[08:46:32.869] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/livearea/contents/startup.png
[08:46:32.874] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/livearea/contents/template.xml
[08:46:32.877] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/001.png
[08:46:32.906] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/002.png
[08:46:32.922] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/003.png
[08:46:32.936] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/004.png
[08:46:32.988] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/005.png
[08:46:33.002] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/006.png
[08:46:33.011] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/007.png
[08:46:33.052] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/008.png
[08:46:33.069] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/009.png
[08:46:33.115] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/010.png
[08:46:33.127] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/011.png
[08:46:33.152] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/012.png
[08:46:33.189] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/manual/013.png
[08:46:33.210] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/package/body.bin
[08:46:33.212] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/package/head.bin
[08:46:33.219] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/package/stat.bin
[08:46:33.227] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/package/tail.bin
[08:46:33.229] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/package/temp.bin
[08:46:33.232] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/package/work.bin
[08:46:33.234] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/param.sfo
[08:46:33.237] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/pic0.png
[08:46:33.264] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/sce_sys/trophy/NPWR04952_00/TROPHY.TRP
[08:46:33.433] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/thumbnail/copyright.png
[08:46:33.435] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/thumbnail/icon.png
[08:46:33.439] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/thumbnail/icon_00.png
[08:46:33.441] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00203/thumbnail/icon_01.png
