[09:53:41.461] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[09:53:41.475] |I| [config::init_config]: backend-renderer: Vulkan
[09:53:41.475] |I| [config::init_config]: log-level: 0
[09:53:41.511] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[09:53:41.512] |I| [SDL_main]: Number of logical CPU cores: 4
[09:53:41.512] |I| [SDL_main]: Available ram memory: 16312 MiB
[09:53:41.918] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[09:53:41.918] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[09:53:41.953] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[09:53:43.490] |W| [compat::load_compat_app_db]: App with Title ID PCSG00470 has an issue but no status label. Please check GitHub issue 1529 and request a status label be added.
[09:53:43.491] |W| [compat::load_compat_app_db]: App with Title ID PCSG00576 has an issue but no status label. Please check GitHub issue 1528 and request a status label be added.
[09:53:44.171] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[09:53:50.878] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/data/GAME.cpk
[09:54:19.680] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/data/MOVIE.cpk
[09:54:28.055] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/data/sound.cpk
[09:54:50.071] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/data/system.cpk
[09:54:50.158] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/data/TEST.cpk
[09:54:50.162] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/eboot.bin
[09:54:50.187] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_module/libc.suprx
[09:54:50.191] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_module/libface.suprx
[09:54:50.193] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_module/libfios2.suprx
[09:54:50.197] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_module/libsmart.suprx
[09:54:50.215] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_module/libult.suprx
[09:54:50.218] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_pfs/files.db
[09:54:50.219] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_pfs/pflist
[09:54:50.221] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_pfs/unicv.db
[09:54:50.247] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/about/right.suprx
[09:54:50.248] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/clearsign
[09:54:50.250] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/icon0.png
[09:54:50.252] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/keystone
[09:54:50.256] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/livearea/contents/bg0.png
[09:54:50.259] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/livearea/contents/startup.png
[09:54:50.283] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/livearea/contents/template.xml
[09:54:50.286] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/001.png
[09:54:50.289] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/002.png
[09:54:50.297] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/003.png
[09:54:50.302] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/004.png
[09:54:50.311] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/005.png
[09:54:50.374] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/006.png
[09:54:50.391] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/007.png
[09:54:50.436] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/008.png
[09:54:50.493] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/009.png
[09:54:50.529] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/010.png
[09:54:50.553] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/011.png
[09:54:50.581] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/012.png
[09:54:50.611] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/013.png
[09:54:50.629] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/014.png
[09:54:50.643] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/015.png
[09:54:50.655] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/manual/016.png
[09:54:50.668] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/package/body.bin
[09:54:50.671] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/package/head.bin
[09:54:50.674] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/package/stat.bin
[09:54:50.676] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/package/tail.bin
[09:54:50.678] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/package/temp.bin
[09:54:50.679] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/package/work.bin
[09:54:50.681] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/param.sfo
[09:54:50.682] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/pic0.png
[09:54:50.689] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/sce_sys/trophy/NPWR05441_00/TROPHY.TRP
[09:54:50.826] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/copyright.png
[09:54:50.828] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_00.png
[09:54:50.830] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_01.png
[09:54:50.832] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_02.png
[09:54:50.833] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_03.png
[09:54:50.836] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_04.png
[09:54:50.838] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_05.png
[09:54:50.840] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_06.png
[09:54:50.844] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_07.png
[09:54:50.847] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_08.png
[09:54:50.851] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_09.png
[09:54:50.854] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_10.png
[09:54:50.856] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_empty.png
[09:54:50.859] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00276/thumbnail/icon_system.png
[09:54:50.862] |I| [is_nonpdrm]: Decrypt layer: ./sdcard/ux0\app\PCSG00276
