[01:03:29.483] |I| [config::init_config]: backend-renderer: OpenGL
[01:03:29.486] |I| [config::init_config]: log-level: 0
[01:03:29.546] |I| [SDL_main]: Vita3K v0.1.5 2682-a8bf70e7
[01:03:29.547] |I| [SDL_main]: Number of logical CPU cores: 6
[01:03:29.547] |I| [SDL_main]: Available ram memory: 16327 mo
[01:03:29.762] |I| [renderer::gl::create]: Swap interval = -1
[01:03:29.765] |I| [renderer::gl::create]: GPU = /PCIe/SSE2
[01:03:29.765] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 457.09
[01:03:29.765] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[01:03:29.767] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[01:03:29.767] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[01:04:39.920] |I| [load_app_impl]: cpu-backend: Dynarmic
[01:04:39.921] |I| [load_app_impl]: CPU Optimisation state: false
[01:04:39.921] |I| [load_app_impl]: ngs state: true
[01:04:39.921] |I| [load_app_impl]: Resolution multiplier: 1
[01:04:39.921] |I| [load_app_impl]: modules mode: Automatic
[01:04:39.921] |I| [load_app_impl]: Title: A.W. : Phoenix Festa
[01:04:39.921] |I| [load_app_impl]: Serial: PCSE00871
[01:04:39.922] |I| [load_app_impl]: Version: 1.00
[01:04:39.922] |I| [load_app_impl]: Category: gd
[01:04:39.935] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:04:39.935] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[01:04:39.935] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[01:04:39.935] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:04:39.937] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[01:04:39.937] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[01:04:39.937] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[01:04:39.938] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
