[10:51:48.165] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[10:51:48.180] |I| [config::init_config]: backend-renderer: Vulkan
[10:51:48.180] |I| [config::init_config]: log-level: 0
[10:51:48.237] |I| [SDL_main]: Vita3K v0.1.6 3130-ca4e2bb5
[10:51:48.237] |I| [SDL_main]: Number of logical CPU cores: 16
[10:51:48.238] |I| [SDL_main]: Available ram memory: 32701 MiB
[10:51:48.667] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce GT 1030
[10:51:48.667] |I| [renderer::vulkan::VKState::create]: Driver version: 522.25.0.0
[10:51:48.667] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[10:51:48.888] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[10:51:49.500] |W| [compat::load_compat_app_db]: App with Title ID PCSE00813 has an issue but no status label. Please check GitHub issue 1451 and request a status label be added.
[10:51:49.501] |W| [compat::load_compat_app_db]: App with Title ID PCSB00232 has an issue but no status label. Please check GitHub issue 1450 and request a status label be added.
[10:51:49.501] |W| [compat::load_compat_app_db]: App with Title ID PCSH00225 has an issue but no status label. Please check GitHub issue 1446 and request a status label be added.
[10:51:49.603] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[10:51:53.945] |I| [load_app_impl]: cpu-backend: Dynarmic
[10:51:53.946] |I| [load_app_impl]: CPU Optimisation state: true
[10:51:53.947] |I| [load_app_impl]: ngs state: true
[10:51:53.948] |I| [load_app_impl]: Resolution multiplier: 1
[10:51:53.953] |I| [load_app_impl]: 1 Controllers Connected
[10:51:53.954] |I| [load_app_impl]: Controller 0: Xbox 360 Controller
[10:51:53.955] |I| [load_app_impl]: modules mode: Automatic
[10:51:53.956] |I| [load_app_impl]: Title: Adventures of Mana
[10:51:53.958] |I| [load_app_impl]: Serial: PCSE00905
[10:51:53.958] |I| [load_app_impl]: Version: 1.00
[10:51:53.959] |I| [load_app_impl]: Category: gd
[10:51:53.995] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[10:51:53.997] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[10:51:53.999] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
