[13:09:08.285] |I| [config::init_config]: backend-renderer: OpenGL
[13:09:08.287] |I| [config::init_config]: log-level: 0
[13:09:08.384] |I| [SDL_main]: Vita3K v0.1.5 2631-aa88739b
[13:09:08.385] |I| [SDL_main]: Number of logical CPU cores: 8
[13:09:08.385] |I| [SDL_main]: Available ram memory: 16215 mo
[13:09:08.782] |I| [renderer::gl::create]: Swap interval = -1
[13:09:08.786] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[13:09:08.787] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[13:09:08.788] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[13:09:08.789] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[13:09:14.493] |I| [gui::delete_app]: Application successfully deleted 'PCSB00050 [ARMY CORPS OF HELL]'.
[13:09:17.993] |I| [gui::delete_app]: Application successfully deleted 'PCSB01092 [Bad Apple Wars]'.
[13:09:22.837] |I| [gui::delete_app]: Application successfully deleted 'PCSH10075 [魔法電腦戰機]'.
[13:09:26.307] |I| [load_app_impl]: cpu-backend: Dynarmic
[13:09:26.308] |I| [load_app_impl]: CPU Optimisation state: true
[13:09:26.308] |I| [load_app_impl]: ngs state: true
[13:09:26.309] |I| [load_app_impl]: Resolution multiplier: 1
[13:09:26.309] |I| [load_app_impl]: modules mode: Auto & Manual
[13:09:26.310] |I| [load_app_impl]: lle-modules: libhttp
[13:09:26.311] |I| [load_app_impl]: Title: 穢翼のユースティア Angel's blessing
[13:09:26.311] |I| [load_app_impl]: Serial: PCSG00338
[13:09:26.312] |I| [load_app_impl]: Version: 1.00
[13:09:26.313] |I| [load_app_impl]: Category: gd
[13:09:26.359] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:26.359] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000543BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[13:09:26.360] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x000576F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[13:09:26.361] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[13:09:26.363] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4A164
[13:09:26.364] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x400FC
[13:09:26.367] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x440BC, setting to stub value 0xDEADBEEF
[13:09:26.376] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x45B70, setting to stub value 0xDEADBEEF
[13:09:26.380] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[13:09:26.408] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:26.408] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x0008512C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[13:09:26.415] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x0008B23D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[13:09:26.417] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[13:09:26.418] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x85034
[13:09:26.419] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7C548
[13:09:26.420] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[13:09:26.430] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:26.431] |I| [load_self]: Loaded module segment 0 @ [0x0008C000 - 0x0009FA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[13:09:26.434] |I| [load_self]: Loaded module segment 1 @ [0x000A0000 - 0x000A0814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[13:09:26.435] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[13:09:26.436] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9E3C8
[13:09:26.436] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9B944
[13:09:26.437] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[13:09:26.453] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x000F1F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[13:09:26.454] |I| [load_self]: Loaded module segment 1 @ [0x000F2000 - 0x000F22F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[13:09:26.457] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[13:09:26.458] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDD7DC
[13:09:26.461] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDCF10
[13:09:26.463] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[13:09:26.471] |I| [load_self]: Loaded module segment 0 @ [0x000F3000 - 0x00102F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[13:09:26.472] |I| [load_self]: Loaded module segment 1 @ [0x00103000 - 0x00103008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[13:09:26.475] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[13:09:26.480] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x101710
[13:09:26.481] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x101300
[13:09:26.482] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[13:09:26.544] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:26.545] |I| [load_self]: Loaded module segment 0 @ [0x00104000 - 0x001B8AA8 / 0x81000000] (size: 0x000B4AA8) of module app0:eboot.bin
[13:09:26.546] |I| [load_self]: Loaded module segment 1 @ [0x001B9000 - 0x006EB7E8 / 0x810B5000] (size: 0x005327E8) of module app0:eboot.bin
[13:09:26.547] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[13:09:26.548] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x196AF0
[13:09:26.548] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2182A0
[13:09:26.551] |I| [load_app_impl]: Main executable test (eboot.bin) loaded
[13:09:26.571] |D| [run_app]: Running module_start of library: SceLibc at address 0x7809
[13:09:26.595] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[13:09:26.596] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[13:09:26.600] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[13:09:26.613] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[13:09:26.621] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5A001
[13:09:26.641] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[13:09:26.642] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[13:09:26.643] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[13:09:26.653] |D| [run_app]: Running module_start of library: SceUlt at address 0x8F769
[13:09:26.673] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[13:09:26.674] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[13:09:26.926] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[13:09:27.121] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[13:09:27.148] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[13:09:27.181] |I| [load_module]: Loading module ID: 0x13
[13:09:27.184] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:27.185] |I| [load_self]: Loaded module segment 0 @ [0x120CD000 - 0x120D008C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[13:09:27.187] |I| [load_self]: Loaded module segment 1 @ [0x120D1000 - 0x120D1BF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[13:09:27.188] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[13:09:27.189] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x120D0074
[13:09:27.190] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x120CFBD4
[13:09:27.190] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[13:09:27.192] |D| [load_module]: Running module_start of module: SceSystemGesture
[13:09:27.196] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[13:09:27.197] |I| [load_module]: Loading module ID: 0xD
[13:09:27.285] |I| [load_self]: Loaded module segment 0 @ [0x120D2000 - 0x120E9244 / 0x81000000] (size: 0x00017244) of module sys/external/libsas.suprx
[13:09:27.286] |I| [load_self]: Loaded module segment 1 @ [0x120EA000 - 0x120EA038 / 0x81018000] (size: 0x00000038) of module sys/external/libsas.suprx
[13:09:27.287] |I| [load_self]: Loading symbols for SELF: sys/external/libsas.suprx
[13:09:27.288] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x120E6004
[13:09:27.289] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x120E5BF0
[13:09:27.291] |I| [load_module]: Module SceSasUser (at "sys/external/libsas.suprx") loaded
[13:09:27.292] |I| [load_module]: Loading module ID: 0x30
[13:09:27.325] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:27.326] |I| [load_self]: Loaded module segment 0 @ [0x120EB000 - 0x120EE55C / 0x81000000] (size: 0x0000355C) of module sys/external/libatrac.suprx
[13:09:27.327] |I| [load_self]: Loaded module segment 1 @ [0x120EF000 - 0x120F0038 / 0x81004000] (size: 0x00001038) of module sys/external/libatrac.suprx
[13:09:27.328] |I| [load_self]: Loading symbols for SELF: sys/external/libatrac.suprx
[13:09:27.329] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x120EE558
[13:09:27.329] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x120EDDB4
[13:09:27.330] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") loaded
[13:09:27.332] |D| [load_module]: Running module_start of module: SceAtrac
[13:09:27.334] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") module_start returned 0x0
[13:09:27.334] |I| [load_module]: Loading module ID: 0x4C
[13:09:27.365] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:27.366] |I| [load_self]: Loaded module segment 0 @ [0x120F1000 - 0x121059FC / 0x81000000] (size: 0x000149FC) of module sys/external/libsceavplayer.suprx
[13:09:27.367] |I| [load_self]: Loaded module segment 1 @ [0x12106000 - 0x1210606C / 0x81015000] (size: 0x0000006C) of module sys/external/libsceavplayer.suprx
[13:09:27.370] |I| [load_self]: Loading symbols for SELF: sys/external/libsceavplayer.suprx
[13:09:27.371] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x12102D40
