[03:19:06.279] |I| [config::init_config]: backend-renderer: OpenGL
[03:19:06.280] |I| [config::init_config]: log-level: 0
[03:19:06.437] |I| [SDL_main]: Vita3K v0.1.5 2635-cdbd461a
[03:19:06.437] |I| [SDL_main]: Number of logical CPU cores: 8
[03:19:06.438] |I| [SDL_main]: Available ram memory: 16215 mo
[03:19:06.725] |I| [renderer::gl::create]: Swap interval = -1
[03:19:06.732] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[03:19:06.732] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[03:19:06.733] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[03:19:06.734] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[03:19:13.195] |I| [load_app_impl]: cpu-backend: Dynarmic
[03:19:13.196] |I| [load_app_impl]: CPU Optimisation state: true
[03:19:13.196] |I| [load_app_impl]: ngs state: true
[03:19:13.197] |I| [load_app_impl]: Resolution multiplier: 1
[03:19:13.198] |I| [load_app_impl]: modules mode: Automatic
[03:19:13.198] |I| [load_app_impl]: Title: アンジェリーク ルトゥール
[03:19:13.198] |I| [load_app_impl]: Serial: PCSG00696
[03:19:13.199] |I| [load_app_impl]: Version: 1.00
[03:19:13.199] |I| [load_app_impl]: Category: gd
[03:19:13.224] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:19:13.225] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[03:19:13.226] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[03:19:13.226] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[03:19:13.227] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[03:19:13.227] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[03:19:13.227] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[03:19:13.229] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[03:19:13.232] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:19:13.244] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:19:13.245] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[03:19:13.248] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[03:19:13.250] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[03:19:13.251] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[03:19:13.252] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[03:19:13.252] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:19:13.260] |C| [load_self]: Unknown segment type 0x6FFFFF01
