[02:06:50.429] |I| [config::init_config]: backend-renderer: OpenGL
[02:06:50.430] |I| [config::init_config]: lle-modules: libsas,libatrac,libsystemgesture,libSceJson,libssl,libhttp,libSceXml
[02:06:50.430] |I| [config::init_config]: log-level: 0
[02:06:50.431] |I| [SDL_main]: Vita3K v0.1 1333-47bc370b
[02:06:51.537] |I| [renderer::gl::create]: Swap interval = -1
[02:06:51.547] |I| [renderer::gl::create]: GPU = GeForce RTX 2070 SUPER/PCIe/SSE2
[02:06:51.548] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 441.87
[02:06:51.548] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[02:06:51.553] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[02:06:51.553] |W| [renderer::gl::create]: Shader interlock on GeForce RTX GPU driver is disabled due to a bug in the driver pending to be fixed.
[02:06:51.689] |I| [gui::init_icons]: Default icon found for title AVCDEC001, AVCDEC001.
[02:06:51.701] |I| [gui::init_icons]: Default icon found for title GXMFUN001, GXMFUN001.
[02:06:51.709] |I| [gui::init_icons]: Default icon found for title MP4PLAYER, Mp4 Pl.
[02:06:52.149] |I| [gui::init_icons]: Default icon found for title SKGCBSMGR, Custom Boot Splash Manager.
[02:06:52.150] |I| [gui::init_icons]: Default icon found for title SKGTLSE12, iTLS-Enso.
[02:06:52.150] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[02:06:52.155] |I| [gui::init_icons]: Default icon found for title VCID00001, VitaCID.
[02:06:52.157] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[02:06:52.158] |I| [gui::init_icons]: Default icon found for title VSDK00009, Microphone Sample.
[02:07:01.055] |I| [load_app_impl]: Title: Atelier Meruru Plus: The Apprentice of Arland
[02:07:01.056] |I| [load_app_impl]: Serial: PCSB00377
[02:07:01.056] |I| [load_app_impl]: Version: 01.00
[02:07:01.056] |I| [load_app_impl]: Category: gd
[02:07:01.099] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:07:01.100] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0004B4B0] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[02:07:01.100] |I| [load_self]: Loaded module segment 1 @ [0x0004C000 - 0x0004E6F4] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[02:07:01.101] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[02:07:01.102] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x37F30
[02:07:01.103] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x3BDF0, setting to stub value 0xDEADBEEF
[02:07:01.104] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x3D4A4, setting to stub value 0xDEADBEEF
[02:07:01.106] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[02:07:01.115] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:07:01.116] |I| [load_self]: Loaded module segment 0 @ [0x00051000 - 0x00075220] (size: 0x00024220) of module app0:sce_module/libfios2.suprx
[02:07:01.117] |I| [load_self]: Loaded module segment 1 @ [0x00076000 - 0x0007B1A4] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[02:07:01.118] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[02:07:01.122] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x6DB64
[02:07:01.123] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[02:07:01.138] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:07:01.138] |I| [load_self]: Loaded module segment 0 @ [0x0007C000 - 0x00090144] (size: 0x00014144) of module app0:sce_module/libult.suprx
[02:07:01.143] |I| [load_self]: Loaded module segment 1 @ [0x00091000 - 0x00091814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[02:07:01.145] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[02:07:01.146] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8C1CC
[02:07:01.147] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x8CA00, setting to stub value 0xDEADBEEF
[02:07:01.148] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[02:07:01.462] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:07:01.463] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x816F3BF4] (size: 0x006F3BF4) of module app0:eboot.bin
[02:07:01.464] |I| [load_self]: Loaded module segment 1 @ [0x816F4000 - 0x81A4D0F4] (size: 0x003590F4) of module app0:eboot.bin
[02:07:01.466] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:07:01.467] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8148B194
[02:07:01.468] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x818C83D4
[02:07:01.469] |I| [load_app_impl]: Main executable A13V_ReleaseEU (eboot.bin) loaded
[02:07:01.474] |D| [run_app]: Running module_start of library: SceLibc at address 0x17F1
[02:07:01.480] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[02:07:01.481] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[02:07:01.481] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[02:07:01.486] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[02:07:01.487] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x51001
[02:07:01.490] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
