[11:33:08.412] |I| [config::init_config]: backend-renderer: Vulkan
[11:33:08.419] |I| [config::init_config]: log-level: 0
[11:33:08.679] |I| [SDL_main]: Vita3K v0.1.8 3191-a197d981
[11:33:08.682] |I| [SDL_main]: Number of logical CPU cores: 2
[11:33:08.682] |I| [SDL_main]: Available ram memory: 3959 MiB
[11:33:08.898] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[11:33:09.620] |I| [renderer::vulkan::VKState::create]: Vulkan device: Intel(R) HD Graphics 500
[11:33:09.621] |I| [renderer::vulkan::VKState::create]: Driver version: 101.2111
[11:33:09.623] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[11:33:09.706] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[11:33:11.500] |W| [compat::load_compat_app_db]: App with Title ID PCSG00666 has an issue but no status label. Please check GitHub issue 1543 and request a status label be added.
[11:33:12.129] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[11:37:22.623] |I| [load_app_impl]: cpu-backend: Dynarmic
[11:37:22.624] |I| [load_app_impl]: CPU Optimisation state: true
[11:37:22.625] |I| [load_app_impl]: ngs state: true
[11:37:22.625] |I| [load_app_impl]: Resolution multiplier: 1
[11:37:22.625] |I| [load_app_impl]: modules mode: Auto & Manual
[11:37:22.625] |I| [load_app_impl]: Title: Atomic Ninjas
[11:37:22.625] |I| [load_app_impl]: Serial: PCSB00274
[11:37:22.626] |I| [load_app_impl]: Version: 1.00
[11:37:22.626] |I| [load_app_impl]: Category: gd
[11:37:22.743] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[11:37:22.744] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00052A2C / 0x81000000] (size: 0x0004DA2C) of module app0:sce_module/libc.suprx
[11:37:22.745] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F8 / 0x8104E000] (size: 0x000026F8) of module app0:sce_module/libc.suprx
[11:37:22.747] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[11:37:22.748] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x3e798
[11:37:22.749] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x487d4
[11:37:22.751] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:37:22.830] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[11:37:22.831] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0007EB8C / 0x81000000] (size: 0x00028B8C) of module app0:sce_module/libfios2.suprx
[11:37:22.836] |I| [load_self]: Loaded module segment 1 @ [0x0007F000 - 0x000841FD / 0x81029000] (size: 0x000051FD) of module app0:sce_module/libfios2.suprx
[11:37:22.838] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[11:37:22.840] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x76884
[11:37:22.842] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x7ea74
[11:37:22.844] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[11:37:22.889] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[11:37:22.890] |I| [load_self]: Loaded module segment 0 @ [0x00085000 - 0x00099744 / 0x81000000] (size: 0x00014744) of module app0:sce_module/libult.suprx
[11:37:22.895] |I| [load_self]: Loaded module segment 1 @ [0x0009A000 - 0x0009A814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[11:37:22.896] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[11:37:22.898] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x95658
[11:37:22.900] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x980a0
[11:37:22.902] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[11:37:22.944] |I| [load_self]: Loaded module segment 0 @ [0x0009B000 - 0x000EBF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[11:37:22.946] |I| [load_self]: Loaded module segment 1 @ [0x000EC000 - 0x000EC2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[11:37:22.951] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[11:37:22.953] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xd77dc
[11:37:22.954] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xd6f10
[11:37:22.955] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[11:37:22.988] |I| [load_self]: Loaded module segment 0 @ [0x000ED000 - 0x000FCF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[11:37:22.993] |I| [load_self]: Loaded module segment 1 @ [0x000FD000 - 0x000FD008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[11:37:22.995] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[11:37:22.997] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xfb710
[11:37:22.999] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xfb300
[11:37:23.000] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[11:37:23.573] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[11:37:23.576] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x8140CA94 / 0x81000000] (size: 0x0040CA94) of module app0:eboot.bin
[11:37:23.579] |I| [load_self]: Loaded module segment 1 @ [0x8140D000 - 0x816CBCC8 / 0x8140D000] (size: 0x002BECC8) of module app0:eboot.bin
[11:37:23.582] |I| [load_self]: Linking SELF app0:eboot.bin...
[11:37:23.585] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x8138dfe4
[11:37:23.587] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x8140d094
[11:37:23.589] |I| [load_app_impl]: Main executable GamePSP2 (eboot.bin) loaded
[11:37:23.886] |D| [run_app]: Running module_start of library: SceLibc at address 0x5809
[11:37:24.174] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[11:37:24.176] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[11:37:24.178] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
