[08:17:56.064] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:17:56.076] |I| [config::init_config]: backend-renderer: OpenGL
[08:17:56.076] |I| [config::init_config]: log-level: 0
[08:17:56.127] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[08:17:56.127] |I| [SDL_main]: Number of logical CPU cores: 4
[08:17:56.127] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:17:56.773] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[08:17:56.774] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[08:17:56.774] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[08:17:56.774] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:17:56.774] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[08:17:59.138] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:18:09.983] |I| [gui::set_vsync_state]: V-Sync state: true
[08:18:09.999] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:18:09.999] |I| [load_app_impl]: CPU Optimisation state: true
[08:18:10.000] |I| [load_app_impl]: ngs state: true
[08:18:10.000] |I| [load_app_impl]: Resolution multiplier: 1
[08:18:10.000] |I| [load_app_impl]: modules mode: Automatic
[08:18:10.001] |I| [load_app_impl]: Title: 猛獣使いと王子様
[08:18:10.001] |I| [load_app_impl]: Serial: PCSG00244
[08:18:10.002] |I| [load_app_impl]: Version: 1.00
[08:18:10.002] |I| [load_app_impl]: Category: gd
[08:18:10.025] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[08:18:10.026] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000523BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[08:18:10.026] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[08:18:10.027] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[08:18:10.027] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x48164
[08:18:10.028] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x3e0fc
[08:18:10.028] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[08:18:10.042] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[08:18:10.043] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008112C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[08:18:10.043] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[08:18:10.044] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[08:18:10.044] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x81034
[08:18:10.044] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x78548
[08:18:10.045] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[08:18:10.052] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[08:18:10.053] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009B84C / 0x81000000] (size: 0x0001384C) of module app0:sce_module/libult.suprx
[08:18:10.054] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[08:18:10.054] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[08:18:10.054] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9a1a8
[08:18:10.055] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x97738
[08:18:10.055] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[08:18:10.071] |I| [load_self]: Loaded module segment 0 @ [0x0009D000 - 0x000EDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[08:18:10.072] |I| [load_self]: Loaded module segment 1 @ [0x000EE000 - 0x000EE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[08:18:10.072] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[08:18:10.073] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xd97dc
[08:18:10.073] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xd8f10
[08:18:10.073] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[08:18:10.079] |I| [load_self]: Loaded module segment 0 @ [0x000EF000 - 0x000FEF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[08:18:10.080] |I| [load_self]: Loaded module segment 1 @ [0x000FF000 - 0x000FF008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[08:18:10.080] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[08:18:10.080] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xfd710
[08:18:10.081] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xfd300
[08:18:10.081] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[08:18:10.167] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[08:18:10.168] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x811F832C / 0x81000000] (size: 0x001F832C) of module app0:eboot.bin
[08:18:10.168] |I| [load_self]: Loaded module segment 1 @ [0x811F9000 - 0x817314E0 / 0x811F9000] (size: 0x005384E0) of module app0:eboot.bin
[08:18:10.169] |I| [load_self]: Linking SELF app0:eboot.bin...
[08:18:10.169] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x811a3cc4
[08:18:10.170] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x811fbe58
[08:18:10.170] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[08:18:10.194] |D| [run_app]: Running module_start of library: SceLibc at address 0x5809
[08:18:10.237] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[08:18:10.238] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[08:18:10.239] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[08:18:10.251] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[08:18:10.254] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x56001
[08:18:10.274] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[08:18:10.275] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[08:18:10.278] |D| [run_app]: Running module_start of library: SceUlt at address 0x8b661
[08:18:10.298] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[08:18:10.299] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[08:18:10.320] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[08:18:10.441] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
