[10:33:41.687] |I| [config::init_config]: backend-renderer: Vulkan
[10:33:41.688] |I| [config::init_config]: log-level: 0
[10:33:41.688] |I| [config::init_config]: log-uniforms: enabled
[10:33:41.768] |I| [SDL_main]: Vita3K v0.1.6 3041-c70d5266
[10:33:41.769] |I| [SDL_main]: Number of logical CPU cores: 4
[10:33:41.769] |I| [SDL_main]: Available ram memory: 32702 MiB
[10:33:41.886] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce GTX 1050 Ti
[10:33:41.886] |I| [renderer::vulkan::VKState::create]: Driver version: 526.47.0.0
[10:33:41.887] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[10:33:42.312] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[10:33:42.670] |W| [compat::load_compat_app_db]: App with title ID Madden 13 has an issue but no status label. Please check GitHub issue 1328 and request a status label to be added.
[10:33:43.137] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[10:33:51.240] |I| [gui::delete_app]: Application successfully deleted 'PCSG00209 [無双OROCHI２ Ultimate]'.
[10:35:40.027] |I| [load_app_impl]: cpu-backend: Dynarmic
[10:35:40.028] |I| [load_app_impl]: CPU Optimisation state: true
[10:35:40.028] |I| [load_app_impl]: ngs state: true
[10:35:40.028] |I| [load_app_impl]: Resolution multiplier: 1
[10:35:40.082] |I| [load_app_impl]: 1 Controllers Connected
[10:35:40.083] |I| [load_app_impl]: Controller 0: PS3 Controller
[10:35:40.083] |I| [load_app_impl]: modules mode: Automatic
[10:35:40.083] |I| [load_app_impl]: Title: Bodycheck
[10:35:40.083] |I| [load_app_impl]: Serial: PCSE01019
[10:35:40.083] |I| [load_app_impl]: Version: 1.00
[10:35:40.083] |I| [load_app_impl]: Category: gd
[10:35:40.118] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[10:35:40.118] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[10:35:40.118] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[10:35:40.119] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[10:35:40.119] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C314
[10:35:40.120] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x414DC
[10:35:40.121] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[10:35:40.153] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[10:35:40.154] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[10:35:40.155] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[10:35:40.155] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[10:35:40.156] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x86BC8
[10:35:40.156] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7DF08
[10:35:40.157] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[10:35:40.170] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[10:35:40.170] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[10:35:40.171] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[10:35:40.172] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[10:35:40.172] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9F2E8
[10:35:40.173] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9C870
[10:35:40.173] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[10:35:40.186] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[10:35:40.187] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[10:35:40.187] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[10:35:40.188] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDE7DC
[10:35:40.188] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDDF10
[10:35:40.189] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[10:35:40.193] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[10:35:40.193] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[10:35:40.194] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[10:35:40.195] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x102710
[10:35:40.195] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x102300
[10:35:40.195] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[10:35:40.494] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6FFFFF01...
