[11:30:58.630] |I| [config::init_config]: backend-renderer: OpenGL
[11:30:58.632] |I| [config::init_config]: log-level: 0
[11:30:58.767] |I| [SDL_main]: Vita3K v0.1 1804-9230dc8e
[11:31:00.347] |I| [renderer::gl::create]: Swap interval = 0
[11:31:00.388] |I| [renderer::gl::create]: GPU = GeForce GT 740M/PCIe/SSE2
[11:31:00.389] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 425.31
[11:31:00.389] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[11:31:00.407] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[11:31:00.408] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[11:31:00.415] |W| [gui::init_live_area_font]: Could not find firmware font file at "C:/Users/User/AppData/Roaming/Vita3K/Vita3K/sa0/data/font/pvf/jpn0.pvf", using defaut vita3k font.
[11:31:00.605] |I| [gui::init_apps_icon]: Default icon found for title NPXS10008, [Trophy Collection].
[11:31:00.607] |I| [gui::init_apps_icon]: Default icon found for title NPXS10015, [Theme & Background].
[11:31:00.609] |I| [gui::init_apps_icon]: Default icon found for title NPXS10026, [Content Manager].
[11:31:08.115] |I| [load_app_impl]: ngs experimental state: false
[11:31:08.116] |I| [load_app_impl]: Title: Burn the Rope™
[11:31:08.118] |I| [load_app_impl]: Serial: PCSE00117
[11:31:08.118] |I| [load_app_impl]: Version: 01.00
[11:31:08.119] |I| [load_app_impl]: Category: gd
[11:31:08.135] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:31:08.136] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000407DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[11:31:08.136] |I| [load_self]: Loaded module segment 1 @ [0x00041000 - 0x00043374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[11:31:08.137] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[11:31:08.138] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x32220
[11:31:08.139] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x359F0, setting to stub value 0xDEADBEEF
[11:31:08.139] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:31:08.150] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:31:08.151] |I| [load_self]: Loaded module segment 0 @ [0x00045000 - 0x000671B0 / 0x81000000] (size: 0x000221B0) of module app0:sce_module/libfios2.suprx
[11:31:08.154] |I| [load_self]: Loaded module segment 1 @ [0x00068000 - 0x0006D1B8 / 0x81023000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[11:31:08.158] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
