[23:38:33.266] |I| [config::init_config]: hardware-flip: true
[23:38:33.268] |I| [config::init_config]: log-level: 0
[23:38:33.268] |I| [config::init_config]: log-imports: false
[23:38:33.268] |I| [config::init_config]: log-exports: false
[23:38:33.268] |I| [config::init_config]: log-active-shaders: false
[23:38:33.268] |I| [config::init_config]: log-uniforms: false
[23:38:33.270] |I| [SDL_main]: Vita3K v0.1 1276-3ee33b5e
[23:38:33.775] |I| [renderer::gl::create]: Swap interval = -1
[23:38:33.780] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 431.60
[23:38:33.780] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[23:38:33.782] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[23:38:35.666] |I| [load_app_impl]: Title: CHAOS;HEAD DUAL
[23:38:35.667] |I| [load_app_impl]: Serial: PCSG00411
[23:38:35.667] |I| [load_app_impl]: Version: 01.00
[23:38:35.667] |I| [load_app_impl]: Category: gd
[23:38:35.678] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:38:35.678] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x44164
[23:38:35.679] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3A0FC
[23:38:35.679] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x3E0BC, setting to stub value 0xDEADBEEF
[23:38:35.679] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x3FB70, setting to stub value 0xDEADBEEF
[23:38:35.679] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:38:35.686] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:38:35.686] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7F034
[23:38:35.687] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x76548
[23:38:35.687] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:38:35.691] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:38:35.692] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x983C8
[23:38:35.692] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x95944
[23:38:35.694] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x961A0, setting to stub value 0xDEADBEEF
[23:38:35.695] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:38:35.724] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[23:38:35.725] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81010940
[23:38:35.726] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x8108246C
[23:38:35.726] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81013164
[23:38:35.727] |I| [load_app_impl]: Main executable Menu (eboot.bin) loaded
[23:38:35.732] |D| [run_app]: Running module_start of library: SceLibc
[23:38:35.740] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[23:38:35.741] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[23:38:35.741] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[23:38:35.746] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[23:38:35.747] |D| [run_app]: Running module_start of library: SceLibFios2
[23:38:35.752] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[23:38:35.752] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[23:38:35.753] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[23:38:35.755] |D| [run_app]: Running module_start of library: SceUlt
[23:38:35.759] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[23:38:35.759] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[23:38:35.762] |W| [io_error_impl]: open_file (sceKernelLoadStartModule) returned 0x80010002
[23:38:35.763] |E| [logging::ret_error_impl]: sceKernelLoadStartModule returned file (0x80010002)
[23:38:35.770] |W| [stubbed_impl]: Stubbed sceKernelDelayThreadCB import called. (no CB)
[23:38:35.934] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[23:38:35.934] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[23:38:35.979] |W| [unimplemented_impl]: Unimplemented sceKernelCreateTimer import called.
[23:38:35.979] |W| [unimplemented_impl]: Unimplemented sceKernelStartTimer import called.
[23:38:35.980] |W| [stubbed_impl]: Stubbed sceNgsSystemGetRequiredMemorySize import called. (size = 1)
[23:38:35.981] |W| [unimplemented_impl]: Unimplemented sceNgsSystemInit import called.
[23:38:35.982] |W| [unimplemented_impl]: Unimplemented sceNgsVoiceDefGetMasterBuss import called.
[23:38:35.982] |W| [stubbed_impl]: Stubbed sceNgsRackGetRequiredMemorySize import called. (size = 1)
[23:38:35.983] |W| [unimplemented_impl]: Unimplemented sceNgsRackInit import called.
[23:38:35.983] |W| [unimplemented_impl]: Unimplemented sceNgsRackGetVoiceHandle import called.
[23:38:35.984] |W| [unimplemented_impl]: Unimplemented sceAudioOutSetVolume import called.
[23:38:35.990] |W| [unimplemented_impl]: Unimplemented sceNgsVoicePlay import called.
[23:38:35.990] |W| [unimplemented_impl]: Unimplemented sceNgsSystemUpdate import called.
[23:38:35.991] |W| [unimplemented_impl]: Unimplemented sceSystemGestureInitializePrimitiveTouchRecognizer import called.
[23:38:35.991] |W| [unimplemented_impl]: Unimplemented sceNgsVoiceGetStateData import called.
[23:38:35.992] |W| [unimplemented_impl]: Unimplemented sceSystemGestureCreateTouchRecognizer import called.
[23:38:35.994] |T| [stat_file]: sceIoGetstat: Statting file: app0:/USRDIR0/dual_bg.png (ux0:/app/PCSG00411/USRDIR0/dual_bg.png)
[23:38:35.995] |T| [stat_file]: sceIoGetstat: Statting file: app0:/USRDIR0/dual_bg.png (ux0:/app/PCSG00411/USRDIR0/dual_bg.png)
[23:38:35.998] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR0/dual_bg.png
[23:38:35.999] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR0/dual_bg.png (ux0:/app/PCSG00411/USRDIR0/dual_bg.png), fd: 0x3
[23:38:36.001] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[23:38:36.001] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.002] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1000, whence: SCE_SEEK_SET
[23:38:36.002] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.003] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x2000, whence: SCE_SEEK_SET
[23:38:36.003] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.004] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x3000, whence: SCE_SEEK_SET
[23:38:36.004] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.005] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x4000, whence: SCE_SEEK_SET
[23:38:36.005] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.006] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x5000, whence: SCE_SEEK_SET
[23:38:36.006] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.007] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x6000, whence: SCE_SEEK_SET
[23:38:36.008] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.010] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x7000, whence: SCE_SEEK_SET
[23:38:36.010] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.011] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x8000, whence: SCE_SEEK_SET
[23:38:36.011] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.012] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x9000, whence: SCE_SEEK_SET
[23:38:36.012] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.012] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0xA000, whence: SCE_SEEK_SET
[23:38:36.013] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.013] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0xB000, whence: SCE_SEEK_SET
[23:38:36.014] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.014] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0xC000, whence: SCE_SEEK_SET
[23:38:36.015] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.015] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0xD000, whence: SCE_SEEK_SET
[23:38:36.016] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.017] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0xE000, whence: SCE_SEEK_SET
[23:38:36.017] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.019] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0xF000, whence: SCE_SEEK_SET
[23:38:36.020] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.020] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x10000, whence: SCE_SEEK_SET
[23:38:36.021] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.022] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x11000, whence: SCE_SEEK_SET
[23:38:36.022] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.023] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x12000, whence: SCE_SEEK_SET
[23:38:36.023] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.024] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x13000, whence: SCE_SEEK_SET
[23:38:36.024] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.025] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x14000, whence: SCE_SEEK_SET
[23:38:36.025] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.026] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x15000, whence: SCE_SEEK_SET
[23:38:36.026] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.027] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x16000, whence: SCE_SEEK_SET
[23:38:36.027] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.028] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x17000, whence: SCE_SEEK_SET
[23:38:36.029] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.030] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x18000, whence: SCE_SEEK_SET
[23:38:36.030] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.031] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x19000, whence: SCE_SEEK_SET
[23:38:36.031] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.032] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1A000, whence: SCE_SEEK_SET
[23:38:36.032] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.033] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1B000, whence: SCE_SEEK_SET
[23:38:36.034] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.034] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1C000, whence: SCE_SEEK_SET
[23:38:36.035] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.035] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1D000, whence: SCE_SEEK_SET
[23:38:36.036] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.036] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1E000, whence: SCE_SEEK_SET
[23:38:36.037] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.038] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x1F000, whence: SCE_SEEK_SET
[23:38:36.038] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.040] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x20000, whence: SCE_SEEK_SET
[23:38:36.041] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.042] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x21000, whence: SCE_SEEK_SET
[23:38:36.042] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.043] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x22000, whence: SCE_SEEK_SET
[23:38:36.044] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.044] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x23000, whence: SCE_SEEK_SET
[23:38:36.045] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.045] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x24000, whence: SCE_SEEK_SET
[23:38:36.046] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.046] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x25000, whence: SCE_SEEK_SET
[23:38:36.046] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.047] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x26000, whence: SCE_SEEK_SET
[23:38:36.047] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.048] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x27000, whence: SCE_SEEK_SET
[23:38:36.050] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.050] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x28000, whence: SCE_SEEK_SET
[23:38:36.051] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.051] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x29000, whence: SCE_SEEK_SET
[23:38:36.052] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.052] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x2A000, whence: SCE_SEEK_SET
[23:38:36.053] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.053] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x2B000, whence: SCE_SEEK_SET
[23:38:36.054] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.054] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x2C000, whence: SCE_SEEK_SET
[23:38:36.055] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.055] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x2D000, whence: SCE_SEEK_SET
[23:38:36.056] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
[23:38:36.056] |T| [seek_file]: sceIoLseek: Seeking fd: 0x3, offset: 0x2E000, whence: SCE_SEEK_SET
[23:38:36.057] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x3
