[02:27:42.360] |I| [load_app_impl]: cpu-backend: Dynarmic
[02:27:42.360] |I| [load_app_impl]: CPU Optimisation state: true
[02:27:42.360] |I| [load_app_impl]: ngs state: true
[02:27:42.360] |I| [load_app_impl]: Resolution multiplier: 2
[02:27:42.363] |I| [load_app_impl]: 1 Controllers Connected
[02:27:42.363] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[02:27:42.363] |I| [load_app_impl]: modules mode: Automatic
[02:27:42.363] |I| [load_app_impl]: Title: この世の果てで恋を唄う少女ＹＵ－ＮＯ オリジナルNEC PC-9800シリーズ版
[02:27:42.364] |I| [load_app_impl]: Serial: PCSG00996
[02:27:42.364] |I| [load_app_impl]: Version: 1.00
[02:27:42.364] |I| [load_app_impl]: Category: gd
[02:27:42.375] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:27:42.375] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[02:27:42.375] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[02:27:42.375] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[02:27:42.376] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[02:27:42.376] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[02:27:42.376] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[02:27:42.376] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[02:27:42.377] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[02:27:42.383] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:27:42.383] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[02:27:42.383] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[02:27:42.383] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[02:27:42.384] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[02:27:42.384] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[02:27:42.385] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[02:27:42.389] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:27:42.390] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[02:27:42.390] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[02:27:42.391] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[02:27:42.391] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[02:27:42.392] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[02:27:42.392] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[02:27:42.400] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[02:27:42.401] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[02:27:42.401] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[02:27:42.402] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[02:27:42.402] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[02:27:42.402] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[02:27:42.405] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[02:27:42.406] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[02:27:42.407] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[02:27:42.407] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[02:27:42.407] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[02:27:42.408] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[02:27:42.523] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:27:42.523] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x001952B3 / 0x81000000] (size: 0x0008C2B3) of module app0:eboot.bin
[02:27:42.524] |I| [load_self]: Loaded module segment 1 @ [0x00196000 - 0x01EED6B0 / 0x8108D000] (size: 0x01D576B0) of module app0:eboot.bin
[02:27:42.524] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:27:42.525] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x175484
[02:27:42.525] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x63C7AC
[02:27:42.525] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x182CE4
[02:27:42.526] |I| [load_app_impl]: Main executable Game (eboot.bin) loaded
[02:27:42.537] |I| [renderer::gl::compile_shader]: frag shader compiled: daa9ebb383d8bdc393e23e17085f02235158033c5eb9d3ab9550816c87f3ec38
[02:27:42.540] |I| [renderer::gl::compile_shader]: vert shader compiled: eb675b91ee3fb6561692358d4b6615f445b0f49d381eac5dfc44aca3f6fae6ff
[02:27:42.549] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/7
[02:27:42.559] |I| [renderer::gl::compile_shader]: frag shader compiled: 47aee9294e6df809f2d6766ead2da3edd7022bf8eb154b829eda21ee12ac86a0
[02:27:42.561] |I| [renderer::gl::compile_shader]: vert shader compiled: b045800284d0ff2272002f3c109556d88debe9d38bc40e635d611b9fa99a71fe
[02:27:42.567] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/7
[02:27:42.571] |I| [renderer::gl::compile_shader]: frag shader compiled: 4186a3a03574be1549570a87423b2edbab5b1c95eded61239794b64055f300df
[02:27:42.572] |I| [renderer::gl::compile_shader]: vert shader compiled: 3d49a8071fbca22740572de2aa0904ba701b0665b38abf62d2bac222a70e49f4
[02:27:42.578] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/7
[02:27:42.581] |I| [renderer::gl::compile_shader]: frag shader compiled: ad88a20dd6aaf3414208b653cf97ee1fc4652f9a1fc7f7101a57c5d2af819ca3
