[08:55:26.661] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:55:26.662] |I| [load_app_impl]: CPU Optimisation state: true
[08:55:26.662] |I| [load_app_impl]: ngs state: true
[08:55:26.662] |I| [load_app_impl]: Resolution multiplier: 2
[08:55:26.662] |I| [load_app_impl]: modules mode: Automatic
[08:55:26.662] |I| [load_app_impl]: Title: Cladun Returns: This is Sengoku!
[08:55:26.662] |I| [load_app_impl]: Serial: PCSE00999
[08:55:26.662] |I| [load_app_impl]: Version: 1.00
[08:55:26.662] |I| [load_app_impl]: Category: gd
[08:55:26.677] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:55:26.677] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[08:55:26.677] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[08:55:26.677] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[08:55:26.677] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[08:55:26.677] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[08:55:26.678] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[08:55:26.678] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[08:55:26.678] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[08:55:26.685] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:55:26.687] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[08:55:26.687] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[08:55:26.687] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[08:55:26.687] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[08:55:26.687] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[08:55:26.687] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[08:55:26.691] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:55:26.691] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[08:55:26.692] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[08:55:26.693] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[08:55:26.693] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[08:55:26.694] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[08:55:26.694] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[08:55:26.705] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[08:55:26.705] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[08:55:26.706] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[08:55:26.707] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[08:55:26.707] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[08:55:26.707] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[08:55:26.711] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[08:55:26.712] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[08:55:26.712] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[08:55:26.713] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[08:55:26.714] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[08:55:26.714] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[08:55:26.797] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:55:26.798] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x003B1223 / 0x81000000] (size: 0x002A8223) of module app0:eboot.bin
[08:55:26.798] |I| [load_self]: Loaded module segment 1 @ [0x003B2000 - 0x009573D8 / 0x812A9000] (size: 0x005A53D8) of module app0:eboot.bin
[08:55:26.799] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
