[08:46:52.185] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:46:52.205] |I| [config::init_config]: backend-renderer: OpenGL
[08:46:52.205] |I| [config::init_config]: log-level: 0
[08:46:52.238] |I| [SDL_main]: Vita3K v0.1.8 3171-a8275855
[08:46:52.239] |I| [SDL_main]: Number of logical CPU cores: 4
[08:46:52.239] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:46:52.810] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[08:46:52.810] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[08:46:52.810] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[08:46:52.811] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:46:52.811] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[08:46:54.117] |W| [compat::load_compat_app_db]: Title ID i Enyouta is invalid. Please check GitHub issue 1527 and verify it!
[08:46:54.511] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[09:04:59.269] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/c.png
[09:04:59.271] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/GAME.cpk
[09:05:10.361] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/MOVIE.cpk
[09:05:20.494] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/SOUND.cpk
[09:05:41.284] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/STORY.cpk
[09:05:41.373] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/SYSTEM.cpk
[09:05:41.581] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/data/VOICE01.cpk
[09:05:41.583] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/eboot.bin
[09:05:41.600] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_module/libc.suprx
[09:05:41.605] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_module/libface.suprx
[09:05:41.607] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_module/libfios2.suprx
[09:05:41.612] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_module/libsmart.suprx
[09:05:41.692] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_module/libult.suprx
[09:05:41.696] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_pfs/files.db
[09:05:41.698] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_pfs/pflist
[09:05:41.700] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_pfs/unicv.db
[09:05:41.792] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/about/right.suprx
[09:05:41.797] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/clearsign
[09:05:41.800] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/icon0.png
[09:05:41.802] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/keystone
[09:05:41.804] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/livearea/contents/bg0.png
[09:05:41.809] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/livearea/contents/startup.png
[09:05:41.813] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/livearea/contents/template.xml
[09:05:41.815] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/001.png
[09:05:41.822] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/002.png
[09:05:41.829] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/003.png
[09:05:41.836] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/004.png
[09:05:41.843] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/005.png
[09:05:41.852] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/006.png
[09:05:41.861] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/007.png
[09:05:41.871] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/008.png
[09:05:41.881] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/009.png
[09:05:41.891] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/010.png
[09:05:41.897] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/011.png
[09:05:41.905] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/012.png
[09:05:41.943] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00909/sce_sys/manual/013.png
