[00:13:32.491] |I| [config::init_config]: backend-renderer: Vulkan
[00:13:32.492] |I| [config::init_config]: log-level: 0
[00:13:32.659] |I| [SDL_main]: Vita3K v0.1.6 2979-eb9baefe
[00:13:32.660] |I| [SDL_main]: Number of logical CPU cores: 12
[00:13:32.664] |I| [SDL_main]: Available ram memory: 16332 MiB
[00:13:32.828] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Ti
[00:13:32.828] |I| [renderer::vulkan::VKState::create]: Driver version: 527.56.0.0
[00:13:33.206] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[00:14:14.657] |I| [load_app_impl]: cpu-backend: Dynarmic
[00:14:14.658] |I| [load_app_impl]: CPU Optimisation state: true
[00:14:14.658] |I| [load_app_impl]: ngs state: true
[00:14:14.658] |I| [load_app_impl]: Resolution multiplier: 1
[00:14:14.658] |I| [load_app_impl]: modules mode: Automatic
[00:14:14.658] |I| [load_app_impl]: Title: CONCEPTION II Children of the Seven Stars (Demo)
[00:14:14.658] |I| [load_app_impl]: Serial: PCSB00547
[00:14:14.658] |I| [load_app_impl]: Version: 1.00
[00:14:14.659] |I| [load_app_impl]: Category: gd
[00:14:14.674] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[00:14:14.674] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x00051A2C / 0x81000000] (size: 0x0004DA2C) of module app0:sce_module/libc.suprx
[00:14:14.675] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F8 / 0x8104E000] (size: 0x000026F8) of module app0:sce_module/libc.suprx
[00:14:14.675] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[00:14:14.675] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D798
[00:14:14.675] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x477D4
[00:14:14.675] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x41758, setting to stub value 0xDEADBEEF
[00:14:14.676] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4321C, setting to stub value 0xDEADBEEF
[00:14:14.677] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
