[00:28:07.782] |I| [config::init_config]: backend-renderer: Vulkan
[00:28:07.782] |I| [config::init_config]: log-level: 0
[00:28:07.928] |I| [SDL_main]: Vita3K v0.1.6 2979-eb9baefe
[00:28:07.928] |I| [SDL_main]: Number of logical CPU cores: 12
[00:28:07.929] |I| [SDL_main]: Available ram memory: 16332 MiB
[00:28:08.081] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Ti
[00:28:08.081] |I| [renderer::vulkan::VKState::create]: Driver version: 527.56.0.0
[00:28:08.440] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[00:28:13.716] |I| [load_app_impl]: cpu-backend: Dynarmic
[00:28:13.717] |I| [load_app_impl]: CPU Optimisation state: true
[00:28:13.717] |I| [load_app_impl]: ngs state: true
[00:28:13.717] |I| [load_app_impl]: Resolution multiplier: 1
[00:28:13.717] |I| [load_app_impl]: modules mode: Automatic
[00:28:13.717] |I| [load_app_impl]: Title: CONCEPTIONⅡ　七星の導きとマズルの悪夢　体験版
[00:28:13.717] |I| [load_app_impl]: Serial: PCSG90087
[00:28:13.717] |I| [load_app_impl]: Version: 1.00
[00:28:13.718] |I| [load_app_impl]: Category: gd
[00:28:13.733] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[00:28:13.733] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x00051A2C / 0x81000000] (size: 0x0004DA2C) of module app0:sce_module/libc.suprx
[00:28:13.733] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F8 / 0x8104E000] (size: 0x000026F8) of module app0:sce_module/libc.suprx
[00:28:13.734] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[00:28:13.734] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D798
[00:28:13.734] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x477D4
[00:28:13.734] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x41758, setting to stub value 0xDEADBEEF
[00:28:13.735] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4321C, setting to stub value 0xDEADBEEF
[00:28:13.736] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[00:28:13.745] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[00:28:13.745] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0007F928 / 0x81000000] (size: 0x00028928) of module app0:sce_module/libfios2.suprx
[00:28:13.746] |I| [load_self]: Loaded module segment 1 @ [0x00080000 - 0x000851FD / 0x81029000] (size: 0x000051FD) of module app0:sce_module/libfios2.suprx
[00:28:13.747] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[00:28:13.748] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x776A8
[00:28:13.748] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7F810
[00:28:13.749] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[00:28:13.755] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[00:28:13.755] |I| [load_self]: Loaded module segment 0 @ [0x00086000 - 0x0009A744 / 0x81000000] (size: 0x00014744) of module app0:sce_module/libult.suprx
