[03:05:19.909] |I| [config::init_config]: backend-renderer: OpenGL
[03:05:19.910] |I| [config::init_config]: log-level: 0
[03:05:20.074] |I| [SDL_main]: Vita3K v0.1.5 2635-cdbd461a
[03:05:20.075] |I| [SDL_main]: Number of logical CPU cores: 8
[03:05:20.075] |I| [SDL_main]: Available ram memory: 16215 mo
[03:05:20.437] |I| [renderer::gl::create]: Swap interval = -1
[03:05:20.441] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[03:05:20.441] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[03:05:20.442] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[03:05:20.442] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[03:05:27.084] |I| [load_app_impl]: cpu-backend: Dynarmic
[03:05:27.085] |I| [load_app_impl]: CPU Optimisation state: true
[03:05:27.085] |I| [load_app_impl]: ngs state: true
[03:05:27.086] |I| [load_app_impl]: Resolution multiplier: 1
[03:05:27.088] |I| [load_app_impl]: 1 Controllers Connected
[03:05:27.089] |I| [load_app_impl]: Controller 0: Xbox 360 Controller
[03:05:27.089] |I| [load_app_impl]: modules mode: Automatic
[03:05:27.089] |I| [load_app_impl]: Title: クランク・イン
[03:05:27.089] |I| [load_app_impl]: Serial: PCSG00941
[03:05:27.090] |I| [load_app_impl]: Version: 1.00
[03:05:27.090] |I| [load_app_impl]: Category: gd
[03:05:27.113] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:05:27.113] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[03:05:27.114] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[03:05:27.114] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[03:05:27.115] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[03:05:27.115] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[03:05:27.116] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[03:05:27.119] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[03:05:27.123] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:05:27.137] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:05:27.137] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[03:05:27.142] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[03:05:27.143] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[03:05:27.144] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[03:05:27.145] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[03:05:27.146] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:05:27.155] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:05:27.156] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[03:05:27.163] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[03:05:27.164] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[03:05:27.165] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[03:05:27.166] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[03:05:27.166] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[03:05:27.185] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[03:05:27.186] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[03:05:27.190] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[03:05:27.191] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[03:05:27.191] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[03:05:27.192] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[03:05:27.197] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[03:05:27.199] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[03:05:27.206] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[03:05:27.207] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[03:05:27.207] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[03:05:27.208] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[03:05:27.264] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:05:27.265] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x001FE4CC / 0x81000000] (size: 0x000F54CC) of module app0:eboot.bin
[03:05:27.266] |I| [load_self]: Loaded module segment 1 @ [0x001FF000 - 0x008AEBD8 / 0x810F6000] (size: 0x006AFBD8) of module app0:eboot.bin
[03:05:27.267] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[03:05:27.268] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1D4DA0
[03:05:27.269] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2127B8
[03:05:27.270] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x1F8DB4
[03:05:27.270] |I| [load_app_impl]: Main executable GA4 (eboot.bin) loaded
[03:05:27.272] |I| [renderer::gl::compile_shader]: frag shader compiled: 5c97b3a16760f36b9d9ad9996390a689da04c26aac9a80b51d493f6fd5bab37d
[03:05:27.273] |I| [renderer::gl::compile_shader]: vert shader compiled: 4d4f383778be3dd2e419e8f485f6e22a33f4f3b95fbf54d86a5aaf456cf82e97
[03:05:27.274] |E| [renderer::gl::compile_program]: Fragment info
-------------
0(38) : warning C7050: "outs[0]" might be used before being initialized


[03:05:27.274] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/3
[03:05:27.279] |I| [renderer::gl::compile_shader]: frag shader compiled: e9fe36427c7115971bff47d919b4565e82432541452e37e5ca6474d70b4c8388
[03:05:27.280] |I| [renderer::gl::compile_shader]: vert shader compiled: 2087f7cdcc16502d0bcf347cee6d70c60f053817bba482d29e84c72b1a9a4efe
[03:05:27.282] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/3
[03:05:27.292] |I| [renderer::gl::compile_shader]: frag shader compiled: b36c71b6dfaf38d30e3f9c00d9b45105d357cbd08ea81688cf6138514bdb75c2
[03:05:27.295] |I| [renderer::gl::compile_shader]: vert shader compiled: 68eb90b6c793109df500726461ed65f2c31942ee4c1121d8175f63f4721eb171
[03:05:27.298] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/3
[03:05:27.323] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[03:05:27.445] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[03:05:27.445] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[03:05:27.446] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[03:05:27.460] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[03:05:27.469] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5E001
[03:05:27.487] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[03:05:27.487] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[03:05:27.488] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[03:05:27.498] |D| [run_app]: Running module_start of library: SceUlt at address 0x94771
[03:05:27.515] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[03:05:27.516] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[03:05:27.745] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[03:05:27.745] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[03:05:27.894] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetRecommendedScheduler02 import called.
[03:05:27.900] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/cmp.psarc (ux0:/app/PCSG00941/cmp.psarc)
[03:05:27.926] |I| [export_sceIoOpen]: Opening file: app0:/cmp.psarc
[03:05:27.927] |T| [open_file]: sceIoOpen: Opening file app0:/cmp.psarc (ux0:/app/PCSG00941/cmp.psarc), fd: 0x3
[03:05:27.928] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/cmp.psarc (ux0:/app/PCSG00941/cmp.psarc)
[03:05:27.937] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[03:05:27.939] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x3
[03:05:27.940] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[03:05:27.967] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x20, whence: SCE_SEEK_SET
[03:05:27.968] |T| [read_file]: sceIoPread: Reading 30 bytes of fd 0x3
[03:05:27.970] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[03:05:27.976] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[03:05:27.990] |I| [export_sceIoOpen]: Opening file: app0:/cmp.psarc
[03:05:27.991] |T| [open_file]: sceIoOpen: Opening file app0:/cmp.psarc (ux0:/app/PCSG00941/cmp.psarc), fd: 0x4
[03:05:27.991] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/cmp.psarc (ux0:/app/PCSG00941/cmp.psarc)
[03:05:28.001] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x4
[03:05:28.002] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.004] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x4
[03:05:28.004] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.006] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x20, whence: SCE_SEEK_SET
[03:05:28.007] |T| [read_file]: sceIoPread: Reading 107442 bytes of fd 0x4
[03:05:28.008] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.056] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x1A200, whence: SCE_SEEK_SET
[03:05:28.057] |T| [read_file]: sceIoPread: Reading 7680 bytes of fd 0x4
[03:05:28.058] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.059] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x1BE00, whence: SCE_SEEK_SET
[03:05:28.060] |T| [read_file]: sceIoPread: Reading 1536 bytes of fd 0x4
[03:05:28.062] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.097] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/cmpi.psarc (ux0:/app/PCSG00941/cmpi.psarc)
[03:05:28.099] |I| [export_sceIoOpen]: Opening file: app0:/cmpi.psarc
[03:05:28.100] |T| [open_file]: sceIoOpen: Opening file app0:/cmpi.psarc (ux0:/app/PCSG00941/cmpi.psarc), fd: 0x5
[03:05:28.101] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/cmpi.psarc (ux0:/app/PCSG00941/cmpi.psarc)
[03:05:28.103] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.103] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x5
[03:05:28.104] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.105] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x20, whence: SCE_SEEK_SET
[03:05:28.105] |T| [read_file]: sceIoPread: Reading 30 bytes of fd 0x5
[03:05:28.107] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.107] |T| [close_file]: sceIoClose: Closing file fd: 0x5
[03:05:28.112] |I| [export_sceIoOpen]: Opening file: app0:/cmpi.psarc
[03:05:28.113] |T| [open_file]: sceIoOpen: Opening file app0:/cmpi.psarc (ux0:/app/PCSG00941/cmpi.psarc), fd: 0x6
[03:05:28.113] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/cmpi.psarc (ux0:/app/PCSG00941/cmpi.psarc)
[03:05:28.114] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x6
[03:05:28.115] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.115] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x6
[03:05:28.115] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.117] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x20, whence: SCE_SEEK_SET
[03:05:28.118] |T| [read_file]: sceIoPread: Reading 178156 bytes of fd 0x6
[03:05:28.118] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.144] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x2B800, whence: SCE_SEEK_SET
[03:05:28.145] |T| [read_file]: sceIoPread: Reading 7168 bytes of fd 0x6
[03:05:28.145] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.150] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x2D200, whence: SCE_SEEK_SET
[03:05:28.151] |T| [read_file]: sceIoPread: Reading 3072 bytes of fd 0x6
[03:05:28.154] |T| [seek_file]: sceIoPread: Seeking fd: 0x6, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.169] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/bgm.psarc (ux0:/app/PCSG00941/bgm.psarc)
[03:05:28.170] |I| [export_sceIoOpen]: Opening file: app0:/bgm.psarc
[03:05:28.171] |T| [open_file]: sceIoOpen: Opening file app0:/bgm.psarc (ux0:/app/PCSG00941/bgm.psarc), fd: 0x7
[03:05:28.173] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/bgm.psarc (ux0:/app/PCSG00941/bgm.psarc)
[03:05:28.174] |T| [seek_file]: sceIoPread: Seeking fd: 0x7, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.176] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x7
[03:05:28.176] |T| [seek_file]: sceIoPread: Seeking fd: 0x7, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.177] |T| [seek_file]: sceIoPread: Seeking fd: 0x7, offset: 0x20, whence: SCE_SEEK_SET
[03:05:28.178] |T| [read_file]: sceIoPread: Reading 30 bytes of fd 0x7
[03:05:28.178] |T| [seek_file]: sceIoPread: Seeking fd: 0x7, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.180] |T| [close_file]: sceIoClose: Closing file fd: 0x7
[03:05:28.181] |I| [export_sceIoOpen]: Opening file: app0:/bgm.psarc
[03:05:28.181] |T| [open_file]: sceIoOpen: Opening file app0:/bgm.psarc (ux0:/app/PCSG00941/bgm.psarc), fd: 0x8
[03:05:28.188] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/bgm.psarc (ux0:/app/PCSG00941/bgm.psarc)
[03:05:28.189] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x8
[03:05:28.191] |T| [seek_file]: sceIoPread: Seeking fd: 0x8, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.192] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x8
[03:05:28.192] |T| [seek_file]: sceIoPread: Seeking fd: 0x8, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.193] |T| [seek_file]: sceIoPread: Seeking fd: 0x8, offset: 0x20, whence: SCE_SEEK_SET
[03:05:28.193] |T| [read_file]: sceIoPread: Reading 3580 bytes of fd 0x8
[03:05:28.194] |T| [seek_file]: sceIoPread: Seeking fd: 0x8, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.197] |T| [seek_file]: sceIoPread: Seeking fd: 0x8, offset: 0xE00, whence: SCE_SEEK_SET
[03:05:28.198] |T| [read_file]: sceIoPread: Reading 512 bytes of fd 0x8
[03:05:28.201] |T| [seek_file]: sceIoPread: Seeking fd: 0x8, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.204] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/se.psarc (ux0:/app/PCSG00941/se.psarc)
[03:05:28.209] |I| [export_sceIoOpen]: Opening file: app0:/se.psarc
[03:05:28.210] |T| [open_file]: sceIoOpen: Opening file app0:/se.psarc (ux0:/app/PCSG00941/se.psarc), fd: 0x9
[03:05:28.210] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/se.psarc (ux0:/app/PCSG00941/se.psarc)
[03:05:28.211] |T| [seek_file]: sceIoPread: Seeking fd: 0x9, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.212] |T| [read_file]: sceIoPread: Reading 48 bytes of fd 0x9
[03:05:28.212] |T| [seek_file]: sceIoPread: Seeking fd: 0x9, offset: 0x0, whence: SCE_SEEK_SET
[03:05:28.213] |T| [seek_file]: sceIoPread: Seeking fd: 0x9, offset: 0x20, whence: SCE_SEEK_SET
[03:05:28.214] |T| [read_file]: sceIoPread: Reading 30 bytes of fd 0x9
