[16:03:48.852] |I| [config::init_config]: backend-renderer: OpenGL
[16:03:48.854] |I| [config::init_config]: log-level: 0
[16:03:48.911] |I| [SDL_main]: Vita3K v0.1.5 2624-bb84106c
[16:03:48.911] |I| [SDL_main]: Number of logical CPU cores: 8
[16:03:48.912] |I| [SDL_main]: Available ram memory: 16215 mo
[16:03:49.658] |I| [renderer::gl::create]: Swap interval = -1
[16:03:49.661] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[16:03:49.662] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[16:03:49.662] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[16:03:49.663] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[16:05:19.484] |I| [load_app_impl]: cpu-backend: Dynarmic
[16:05:19.485] |I| [load_app_impl]: CPU Optimisation state: true
[16:05:19.485] |I| [load_app_impl]: ngs state: true
[16:05:19.486] |I| [load_app_impl]: modules mode: Automatic
[16:05:19.486] |I| [load_app_impl]: Title: Criminal Girls 2 Party Favors
[16:05:19.487] |I| [load_app_impl]: Serial: PCSE00916
[16:05:19.487] |I| [load_app_impl]: Version: 1.00
[16:05:19.487] |I| [load_app_impl]: Category: gd
[16:05:19.507] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:19.508] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[16:05:19.508] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[16:05:19.509] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[16:05:19.509] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[16:05:19.509] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[16:05:19.509] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[16:05:19.511] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[16:05:19.512] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[16:05:19.524] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:19.524] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[16:05:19.528] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[16:05:19.528] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[16:05:19.529] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[16:05:19.529] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[16:05:19.530] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[16:05:19.537] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:19.537] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[16:05:19.540] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[16:05:19.540] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[16:05:19.541] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[16:05:19.541] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[16:05:19.542] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[16:05:19.555] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[16:05:19.556] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[16:05:19.559] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[16:05:19.559] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[16:05:19.560] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[16:05:19.560] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[16:05:19.565] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[16:05:19.566] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[16:05:19.573] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[16:05:19.573] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[16:05:19.574] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[16:05:19.574] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[16:05:19.640] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:19.641] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x002A05C4 / 0x81000000] (size: 0x001975C4) of module app0:eboot.bin
[16:05:19.647] |I| [load_self]: Loaded module segment 1 @ [0x002A1000 - 0x00370AD4 / 0x81198000] (size: 0x000CFAD4) of module app0:eboot.bin
[16:05:19.647] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[16:05:19.648] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x26EB1C
[16:05:19.649] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2A4A2C
[16:05:19.649] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x28C718
[16:05:19.650] |I| [load_app_impl]: Main executable PP058_Application (eboot.bin) loaded
[16:05:19.667] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[16:05:19.690] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[16:05:19.690] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[16:05:19.692] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[16:05:19.704] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[16:05:19.711] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5E001
[16:05:19.727] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[16:05:19.728] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[16:05:19.729] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[16:05:19.737] |D| [run_app]: Running module_start of library: SceUlt at address 0x94771
[16:05:19.753] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[16:05:19.754] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[16:05:19.764] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[16:05:19.804] |W| [unimplemented_impl]: Unimplemented sceScreenShotDisable import called.
[16:05:19.805] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[16:05:19.806] |W| [unimplemented_impl]: Unimplemented sceScreenShotEnable import called.
[16:05:20.009] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[16:05:20.011] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MB host mem)
[16:05:20.046] |I| [load_module]: Loading module ID: 0x4C
[16:05:20.054] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:20.054] |I| [load_self]: Loaded module segment 0 @ [0x15E40000 - 0x15E549FC / 0x81000000] (size: 0x000149FC) of module sys/external/libsceavplayer.suprx
[16:05:20.055] |I| [load_self]: Loaded module segment 1 @ [0x15E55000 - 0x15E5506C / 0x81015000] (size: 0x0000006C) of module sys/external/libsceavplayer.suprx
[16:05:20.057] |I| [load_self]: Loading symbols for SELF: sys/external/libsceavplayer.suprx
[16:05:20.057] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15E51D40
[16:05:20.058] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x15E50548
[16:05:20.061] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") loaded
[16:05:20.062] |D| [load_module]: Running module_start of module: SceAvPlayer
[16:05:20.064] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") module_start returned 0x0
[16:05:20.070] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:20.070] |I| [load_self]: Loaded module segment 0 @ [0x15E56000 - 0x15E65D20 / 0x81000000] (size: 0x0000FD20) of module sys/external/libscemp4.suprx
[16:05:20.072] |I| [load_self]: Loaded module segment 1 @ [0x15E66000 - 0x15E66028 / 0x81010000] (size: 0x00000028) of module sys/external/libscemp4.suprx
[16:05:20.073] |I| [load_self]: Loading symbols for SELF: sys/external/libscemp4.suprx
[16:05:20.073] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15E659D0
[16:05:20.074] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x15E648C4
[16:05:20.077] |I| [load_module]: Module SceMp4 (at "sys/external/libscemp4.suprx") loaded
[16:05:20.106] |I| [export_sceIoOpen]: Opening file: app0:data.dat
[16:05:20.107] |T| [open_file]: sceIoOpen: Opening file app0:data.dat (ux0:/app/PCSE00916/data.dat), fd: 0x3
[16:05:20.110] |I| [export_sceIoOpen]: Opening file: app0:data.dat
[16:05:20.111] |T| [open_file]: sceIoOpen: Opening file app0:data.dat (ux0:/app/PCSE00916/data.dat), fd: 0x4
[16:05:20.113] |I| [export_sceIoOpen]: Opening file: app0:data.dat
[16:05:20.113] |T| [open_file]: sceIoOpen: Opening file app0:data.dat (ux0:/app/PCSE00916/data.dat), fd: 0x5
[16:05:20.118] |T| [read_file]: sceIoRead: Reading 48 bytes of fd 0x3
[16:05:20.118] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x10, whence: SCE_SEEK_SET
[16:05:20.120] |T| [read_file]: sceIoPread: Reading 585472 bytes of fd 0x3
[16:05:20.120] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x30, whence: SCE_SEEK_SET
[16:05:20.141] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0xCEB4400, whence: SCE_SEEK_SET
[16:05:20.142] |T| [read_file]: sceIoPread: Reading 228352 bytes of fd 0x3
[16:05:20.142] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x30, whence: SCE_SEEK_SET
[16:05:20.219] |I| [load_module]: Loading module ID: 0xD
[16:05:20.225] |I| [load_self]: Loaded module segment 0 @ [0x15E6C000 - 0x15E83244 / 0x81000000] (size: 0x00017244) of module sys/external/libsas.suprx
[16:05:20.228] |I| [load_self]: Loaded module segment 1 @ [0x15E84000 - 0x15E84038 / 0x81018000] (size: 0x00000038) of module sys/external/libsas.suprx
[16:05:20.231] |I| [load_self]: Loading symbols for SELF: sys/external/libsas.suprx
[16:05:20.232] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15E80004
[16:05:20.238] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x15E7FBF0
[16:05:20.239] |I| [load_module]: Module SceSasUser (at "sys/external/libsas.suprx") loaded
[16:05:20.240] |I| [load_module]: Loading module ID: 0x30
[16:05:20.243] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:05:20.243] |I| [load_self]: Loaded module segment 0 @ [0x15E85000 - 0x15E8855C / 0x81000000] (size: 0x0000355C) of module sys/external/libatrac.suprx
[16:05:20.244] |I| [load_self]: Loaded module segment 1 @ [0x15E89000 - 0x15E8A038 / 0x81004000] (size: 0x00001038) of module sys/external/libatrac.suprx
[16:05:20.251] |I| [load_self]: Loading symbols for SELF: sys/external/libatrac.suprx
[16:05:20.252] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15E88558
[16:05:20.252] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x15E87DB4
[16:05:20.253] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") loaded
[16:05:20.253] |D| [load_module]: Running module_start of module: SceAtrac
[16:05:20.255] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") module_start returned 0x0
[16:05:20.255] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x180C6824 sceSasGetNeededMemorySize at 0x26DF50
[16:05:20.273] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x820D5F82 sceSasInitWithGrain at 0x26DFD0
