[21:17:21.637] |I| [config::init_config]: backend-renderer: Vulkan
[21:17:21.638] |I| [config::init_config]: log-level: 0
[21:17:21.768] |I| [SDL_main]: Vita3K v0.1.6 2968-0df79bb8
[21:17:21.768] |I| [SDL_main]: Number of logical CPU cores: 4
[21:17:21.769] |I| [SDL_main]: Available ram memory: 8135 MiB
[21:17:21.865] |I| [renderer::vulkan::VKState::create]: Vulkan device: GeForce GT 1030
[21:17:21.865] |I| [renderer::vulkan::VKState::create]: Driver version: 456.71.0.0
[21:17:22.169] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[21:18:32.970] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:18:32.971] |I| [load_app_impl]: CPU Optimisation state: true
[21:18:32.972] |I| [load_app_impl]: ngs state: true
[21:18:32.972] |I| [load_app_impl]: Resolution multiplier: 1
[21:18:32.973] |I| [load_app_impl]: 1 Controllers Connected
[21:18:32.973] |I| [load_app_impl]: Controller 0: PS4 Controller
[21:18:32.973] |I| [load_app_impl]: modules mode: Automatic
[21:18:32.974] |I| [load_app_impl]: Title: Criminal Girls 2 Party Favors
[21:18:32.974] |I| [load_app_impl]: Serial: PCSE00916
[21:18:32.974] |I| [load_app_impl]: Version: 1.00
[21:18:32.974] |I| [load_app_impl]: Category: gd
[21:18:32.989] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[21:18:32.989] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[21:18:32.990] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[21:18:32.991] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[21:18:32.991] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[21:18:32.992] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[21:18:32.992] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4463C, setting to stub value 0xDEADBEEF
[21:18:32.993] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[21:18:32.994] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:18:33.003] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[21:18:33.004] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[21:18:33.004] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[21:18:33.005] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[21:18:33.005] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x87BC8
[21:18:33.006] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7EF08
[21:18:33.006] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:18:33.011] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[21:18:33.012] |I| [load_self]: Loaded module segment 0 @ [0x0008E000 - 0x000A19BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[21:18:33.013] |I| [load_self]: Loaded module segment 1 @ [0x000A2000 - 0x000A2814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[21:18:33.015] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[21:18:33.017] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA02E8
[21:18:33.018] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9D870
[21:18:33.019] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[21:18:33.030] |I| [load_self]: Loaded module segment 0 @ [0x000A3000 - 0x000F3F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[21:18:33.032] |I| [load_self]: Loaded module segment 1 @ [0x000F4000 - 0x000F42F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[21:18:33.036] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[21:18:33.037] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDF7DC
[21:18:33.038] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDEF10
[21:18:33.039] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[21:18:33.043] |I| [load_self]: Loaded module segment 0 @ [0x000F5000 - 0x00104F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[21:18:33.044] |I| [load_self]: Loaded module segment 1 @ [0x00105000 - 0x00105008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[21:18:33.045] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[21:18:33.046] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x103710
[21:18:33.047] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x103300
[21:18:33.048] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[21:18:33.101] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6FFFFF01...
[21:18:33.102] |I| [load_self]: Loaded module segment 0 @ [0x00106000 - 0x0029D5C4 / 0x81000000] (size: 0x001975C4) of module app0:eboot.bin
[21:18:33.104] |I| [load_self]: Loaded module segment 1 @ [0x0029E000 - 0x0036DAD4 / 0x81198000] (size: 0x000CFAD4) of module app0:eboot.bin
[21:18:33.105] |I| [load_self]: Linking SELF app0:eboot.bin...
[21:18:33.106] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x26BB1C
[21:18:33.106] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2A1A2C
[21:18:33.107] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x289718
[21:18:33.108] |I| [load_app_impl]: Main executable PP058_Application (eboot.bin) loaded
[21:18:33.108] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[21:18:33.109] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[21:18:33.111] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/6
[21:18:33.112] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/6
[21:18:33.113] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/6
[21:18:33.115] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 4/6
[21:18:33.116] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 5/6
[21:18:33.118] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 6/6
[21:18:33.187] |D| [run_app]: Running module_start of library: SceLibc at address 0x4871
[21:18:33.252] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4870
[21:18:33.253] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4870, val = 0x41f0e92d
[21:18:33.254] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4870
[21:18:33.255] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4870, val = 0x41f0e92d
[21:18:33.256] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4874
[21:18:33.256] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4874, val = 0x6020f248
[21:18:33.256] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4874
[21:18:33.257] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4874, val = 0x6020f248
[21:18:33.257] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4878
[21:18:33.258] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4878, val = 0x5f2c0
[21:18:33.258] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4878
[21:18:33.259] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4878, val = 0x5f2c0
[21:18:33.259] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x487C
[21:18:33.260] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x487c, val = 0xf00e6000
[21:18:33.260] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x487C
[21:18:33.261] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x487c, val = 0xf00e6000
[21:18:33.261] |T| [ArmDynarmicCallback::MemoryReadCode]: Instruction fetch at addr 0x4880
[21:18:33.262] |T| [ArmDynarmicCallback::MemoryRead]: Read uint32_t at address: 0x4880, val = 0xf247ff27
[21:18:33.263] |T| [ArmDynarmicCallback::TraceInstruction]: 0x26497523870 (8): 0x4870 push.w {r4, r5, r6, r7, r8, lr}
[21:18:33.263] |T| [ArmDynarmicCallback::MemoryWrite]: Write uint32_t at addr: 0x3b1fe8, val = 0x0
[21:18:33.264] |T| [ArmDynarmicCallback::MemoryWrite]: Write uint32_t at addr: 0x3b1fec, val = 0x0
[21:18:33.265] |T| [ArmDynarmicCallback::MemoryWrite]: Write uint32_t at addr: 0x3b1ff0, val = 0x0
[21:18:33.265] |T| [ArmDynarmicCallback::MemoryWrite]: Write uint32_t at addr: 0x3b1ff4, val = 0x0
[21:18:33.266] |T| [ArmDynarmicCallback::MemoryWrite]: Write uint32_t at addr: 0x3b1ff8, val = 0x0
[21:18:33.266] |T| [ArmDynarmicCallback::MemoryWrite]: Write uint32_t at addr: 0x3b1ffc, val = 0x3b0001
