[16:00:07.143] |I| [config::init_config]: backend-renderer: OpenGL
[16:00:07.145] |I| [config::init_config]: log-level: 0
[16:00:07.200] |I| [SDL_main]: Vita3K v0.1.5 2624-bb84106c
[16:00:07.201] |I| [SDL_main]: Number of logical CPU cores: 8
[16:00:07.201] |I| [SDL_main]: Available ram memory: 16215 mo
[16:00:07.564] |I| [renderer::gl::create]: Swap interval = -1
[16:00:07.567] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[16:00:07.567] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[16:00:07.567] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[16:00:07.568] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[16:00:34.994] |I| [load_app_impl]: cpu-backend: Dynarmic
[16:00:34.995] |I| [load_app_impl]: CPU Optimisation state: true
[16:00:34.996] |I| [load_app_impl]: ngs state: true
[16:00:34.996] |I| [load_app_impl]: modules mode: Automatic
[16:00:34.997] |I| [load_app_impl]: Title: クリミナルガールズ２
[16:00:34.997] |I| [load_app_impl]: Serial: PCSG00681
[16:00:34.998] |I| [load_app_impl]: Version: 1.00
[16:00:34.998] |I| [load_app_impl]: Category: gd
[16:00:35.018] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:00:35.018] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[16:00:35.019] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[16:00:35.020] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[16:00:35.020] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[16:00:35.020] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[16:00:35.021] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[16:00:35.022] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[16:00:35.023] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[16:00:35.035] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:00:35.035] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[16:00:35.039] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[16:00:35.040] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
