[23:49:44.987] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:49:44.987] |I| [load_app_impl]: CPU Optimisation state: true
[23:49:44.987] |I| [load_app_impl]: ngs state: true
[23:49:44.987] |I| [load_app_impl]: Resolution multiplier: 2
[23:49:44.990] |I| [load_app_impl]: 1 Controllers Connected
[23:49:44.990] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[23:49:44.990] |I| [load_app_impl]: modules mode: Automatic
[23:49:44.990] |I| [load_app_impl]: Title: 大戦略パーフェクト～戦場の覇者～
[23:49:44.990] |I| [load_app_impl]: Serial: PCSG00779
[23:49:44.990] |I| [load_app_impl]: Version: 1.00
[23:49:44.990] |I| [load_app_impl]: Category: gd
[23:49:45.000] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:49:45.000] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[23:49:45.000] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[23:49:45.000] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:49:45.001] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[23:49:45.001] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[23:49:45.001] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[23:49:45.002] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[23:49:45.002] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:49:45.008] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:49:45.008] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[23:49:45.008] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[23:49:45.008] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:49:45.008] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[23:49:45.009] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[23:49:45.009] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:49:45.013] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:49:45.017] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[23:49:45.018] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:49:45.018] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:49:45.019] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[23:49:45.019] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[23:49:45.019] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:49:45.027] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[23:49:45.028] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[23:49:45.028] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[23:49:45.029] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[23:49:45.029] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[23:49:45.029] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[23:49:45.032] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[23:49:45.033] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[23:49:45.034] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[23:49:45.034] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[23:49:45.034] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[23:49:45.034] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[23:49:45.116] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:49:45.116] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x00389A24 / 0x81000000] (size: 0x00280A24) of module app0:eboot.bin
[23:49:45.117] |I| [load_self]: Loaded module segment 1 @ [0x0038A000 - 0x0068A2B0 / 0x81281000] (size: 0x003002B0) of module app0:eboot.bin
[23:49:45.117] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[23:49:45.118] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30B60C
[23:49:45.118] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x39D480
[23:49:45.119] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x336828
[23:49:45.119] |I| [load_app_impl]: Main executable dsp (eboot.bin) loaded
[23:49:45.139] |I| [renderer::gl::compile_shader]: frag shader compiled: da5dbd088b34e3578373fd7238b68c48704ed1bfbecc7090fa054a3c80653342
[23:49:45.144] |I| [renderer::gl::compile_shader]: vert shader compiled: 4843d768165ea8f7c321dbe9fa088efd3e8901ff1c8b89943788eced6ab2b3c2
[23:49:45.178] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/5
[23:49:45.190] |I| [renderer::gl::compile_shader]: frag shader compiled: 93b5a8fcbb500d140dddc5627edfaf2c158283038da60724e04a3ef555b94a64
[23:49:45.191] |I| [renderer::gl::compile_shader]: vert shader compiled: 4843d768165ea8f7c321dbe9fa088efd3e8901ff1c8b89943788eced6ab2b3c2
