[04:41:27.231] |I| [config::init_config]: backend-renderer: OpenGL
[04:41:27.233] |I| [config::init_config]: log-level: 0
[04:41:27.368] |I| [SDL_main]: Vita3K v0.1.5 2642-4e1e255a
[04:41:27.368] |I| [SDL_main]: Number of logical CPU cores: 8
[04:41:27.369] |I| [SDL_main]: Available ram memory: 16215 mo
[04:41:27.832] |I| [renderer::gl::create]: Swap interval = -1
[04:41:27.835] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[04:41:27.836] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[04:41:27.836] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[04:41:27.837] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[04:41:29.480] |W| [gui::set_notice_info]: Content not found for id: JP0031-PCSG00910_00-DIABOLIKLOVERSLE, in path: app\PCSG00910
[04:44:54.764] |I| [load_app_impl]: cpu-backend: Dynarmic
[04:44:54.764] |I| [load_app_impl]: CPU Optimisation state: true
[04:44:54.765] |I| [load_app_impl]: ngs state: true
[04:44:54.765] |I| [load_app_impl]: Resolution multiplier: 1
[04:44:54.766] |I| [load_app_impl]: modules mode: Automatic
[04:44:54.766] |I| [load_app_impl]: Title: DIABOLIK LOVERS VANDEAD CARNIVAL
[04:44:54.767] |I| [load_app_impl]: Serial: PCSG00472
[04:44:54.768] |I| [load_app_impl]: Version: 1.00
[04:44:54.768] |I| [load_app_impl]: Category: gd
[04:44:54.790] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:54.790] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056BD4 / 0x81000000] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[04:44:54.791] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[04:44:54.792] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[04:44:54.792] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C6C4
[04:44:54.793] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x42488
[04:44:54.793] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x464A8, setting to stub value 0xDEADBEEF
[04:44:54.795] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4802C, setting to stub value 0xDEADBEEF
[04:44:54.800] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[04:44:54.813] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:54.813] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x00086AA8 / 0x81000000] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[04:44:54.814] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C23D / 0x8102B000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[04:44:54.814] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[04:44:54.815] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x869B0
[04:44:54.815] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7E138
[04:44:54.817] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[04:44:54.825] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:54.826] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09C4 / 0x81000000] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[04:44:54.826] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[04:44:54.827] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[04:44:54.827] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9F2F0
[04:44:54.828] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9C874
[04:44:54.829] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[04:44:54.842] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[04:44:54.844] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[04:44:54.845] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[04:44:54.846] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDE7DC
[04:44:54.846] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDDF10
[04:44:54.847] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[04:44:54.853] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[04:44:54.853] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[04:44:54.854] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[04:44:54.854] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x102710
[04:44:54.854] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x102300
[04:44:54.854] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[04:44:54.966] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:54.967] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x00316378 / 0x81000000] (size: 0x00211378) of module app0:eboot.bin
[04:44:54.967] |I| [load_self]: Loaded module segment 1 @ [0x00317000 - 0x007B0EF0 / 0x81212000] (size: 0x00499EF0) of module app0:eboot.bin
[04:44:54.968] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[04:44:54.968] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2BC18C
[04:44:54.968] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x318170
[04:44:54.969] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2E5718
[04:44:54.969] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[04:44:54.991] |D| [run_app]: Running module_start of library: SceLibc at address 0x7805
[04:44:55.039] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[04:44:55.041] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[04:44:55.042] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[04:44:55.055] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[04:44:55.062] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5C001
[04:44:55.079] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[04:44:55.080] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[04:44:55.085] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[04:44:55.091] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[04:44:55.107] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[04:44:55.107] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[04:44:55.132] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[04:44:55.296] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[04:44:55.342] |E| [call_import]: Import function for NID 0xD7F0F610 not found (thread name: PCSG00472, thread ID: 8)
[04:44:55.346] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[04:44:55.362] |I| [load_module]: Loading module ID: 0x13
[04:44:55.367] |C| [load_self]: Unknown segment type 0x6FFFFF01
