[14:55:03.428] |I| [config::init_config]: backend-renderer: Vulkan
[14:55:03.429] |I| [config::init_config]: log-level: 0
[14:55:03.532] |I| [SDL_main]: Vita3K v0.1.8 3230-c571602e
[14:55:03.532] |I| [SDL_main]: Number of logical CPU cores: 12
[14:55:03.532] |I| [SDL_main]: Available ram memory: 32655 MiB
[14:55:03.630] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3070
[14:55:03.631] |I| [renderer::vulkan::VKState::create]: Driver version: 536.23.0.0
[14:55:03.631] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[14:55:03.939] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[14:55:04.187] |W| [compat::load_compat_app_db]: App with Title ID PCSG00959 has an issue but no status label. Please check GitHub issue 1723 and request a status label be added.
[14:55:04.187] |W| [compat::load_compat_app_db]: App with Title ID PCSG01122 has an issue but no status label. Please check GitHub issue 1722 and request a status label be added.
[14:55:04.188] |W| [compat::load_compat_app_db]: App with Title ID PCSE00248 has an issue but no status label. Please check GitHub issue 1720 and request a status label be added.
[14:55:04.188] |W| [compat::load_compat_app_db]: App with Title ID PCSE00578 has an issue but no status label. Please check GitHub issue 1719 and request a status label be added.
[14:55:04.188] |W| [compat::load_compat_app_db]: App with Title ID PCSH10100 has an issue but no status label. Please check GitHub issue 1716 and request a status label be added.
[14:55:04.188] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[14:55:04.188] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[14:55:04.188] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[14:55:04.555] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[14:56:52.498] |I| [load_app_impl]: cpu-backend: Dynarmic
[14:56:52.499] |I| [load_app_impl]: CPU Optimisation state: true
[14:56:52.499] |I| [load_app_impl]: ngs state: true
[14:56:52.499] |I| [load_app_impl]: Resolution multiplier: 1
[14:56:52.499] |I| [load_app_impl]: 1 Controllers Connected
[14:56:52.499] |I| [load_app_impl]: Controller 0: Controller (Xbox One For Windows)
[14:56:52.500] |I| [load_app_impl]: modules mode: Automatic
[14:56:52.500] |I| [load_app_impl]: Title: Doodle Kingdom
[14:56:52.501] |I| [load_app_impl]: Serial: PCSB00556
[14:56:52.502] |I| [load_app_impl]: Version: 1.00
[14:56:52.502] |I| [load_app_impl]: Category: gd
[14:56:52.520] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[14:56:52.520] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054C54 / 0x81000000] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[14:56:52.520] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[14:56:52.521] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[14:56:52.522] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a744
[14:56:52.522] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x404f8
[14:56:52.522] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:56:52.534] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[14:56:52.534] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x0008333C / 0x81000000] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[14:56:52.536] |I| [load_self]: Loaded module segment 1 @ [0x00084000 - 0x0008923D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[14:56:52.537] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[14:56:52.537] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x83244
[14:56:52.537] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7a878
[14:56:52.538] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:56:52.546] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[14:56:52.546] |I| [load_self]: Loaded module segment 0 @ [0x0008A000 - 0x0009D9A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[14:56:52.546] |I| [load_self]: Loaded module segment 1 @ [0x0009E000 - 0x0009E814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[14:56:52.548] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[14:56:52.548] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9c2d0
[14:56:52.549] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x99858
[14:56:52.549] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[14:56:52.558] |I| [load_self]: Loaded module segment 0 @ [0x0009F000 - 0x000EFF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[14:56:52.559] |I| [load_self]: Loaded module segment 1 @ [0x000F0000 - 0x000F02F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[14:56:52.560] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[14:56:52.560] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xdb7dc
[14:56:52.560] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xdaf10
[14:56:52.561] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[14:56:52.564] |I| [load_self]: Loaded module segment 0 @ [0x000F1000 - 0x00100F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[14:56:52.564] |I| [load_self]: Loaded module segment 1 @ [0x00101000 - 0x00101008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[14:56:52.565] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[14:56:52.565] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xff710
[14:56:52.566] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xff300
[14:56:52.566] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[14:56:52.709] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[14:56:52.710] |I| [load_self]: Loaded module segment 0 @ [0x00102000 - 0x005D73E4 / 0x81000000] (size: 0x004D53E4) of module app0:eboot.bin
[14:56:52.711] |I| [load_self]: Loaded module segment 1 @ [0x005D8000 - 0x0085A1C8 / 0x814D6000] (size: 0x002821C8) of module app0:eboot.bin
[14:56:52.711] |I| [load_self]: Linking SELF app0:eboot.bin...
