[21:38:26.044] |I| [config::init_config]: backend-renderer: OpenGL
[21:38:26.044] |I| [config::init_config]: log-level: 0
[21:38:26.126] |I| [SDL_main]: Vita3K v0.1.3 2321-5fad7f08
[21:38:26.409] |I| [renderer::gl::create]: Swap interval = -1
[21:38:26.411] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 2070/PCIe/SSE2
[21:38:26.411] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 496.13
[21:38:26.411] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[21:38:26.411] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[21:38:29.715] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:38:29.715] |I| [load_app_impl]: CPU Optimisation state: true
[21:38:29.715] |I| [load_app_impl]: at9 audio decoder state: true
[21:38:29.715] |I| [load_app_impl]: ngs experimental state: true
[21:38:29.715] |I| [load_app_impl]: video player state: true
[21:38:29.717] |I| [load_app_impl]: 1 Controllers Connected
[21:38:29.717] |I| [load_app_impl]: Controller 0: Controller (Xbox One For Windows)
[21:38:29.717] |I| [load_app_impl]: auto-lle: enabled
[21:38:29.717] |I| [load_app_impl]: Title: ダンジョントラベラーズ２－２ 闇堕ちの乙女とはじまりの書
[21:38:29.718] |I| [load_app_impl]: Serial: PCSG00841
[21:38:29.718] |I| [load_app_impl]: Version: 1.00
[21:38:29.718] |I| [load_app_impl]: Category: gd
[21:38:29.725] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:38:29.725] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[21:38:29.725] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[21:38:29.725] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[21:38:29.726] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[21:38:29.726] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[21:38:29.726] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[21:38:29.727] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[21:38:29.728] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:38:29.732] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:38:29.732] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[21:38:29.733] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[21:38:29.735] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[21:38:29.735] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[21:38:29.736] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[21:38:29.736] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:38:29.739] |C| [load_self]: Unknown segment type 0x6FFFFF01
