[05:41:22.950] |I| [config::init_config]: backend-renderer: OpenGL
[05:41:22.951] |I| [config::init_config]: log-level: 0
[05:41:23.109] |I| [SDL_main]: Vita3K v0.1.5 2642-4e1e255a
[05:41:23.110] |I| [SDL_main]: Number of logical CPU cores: 8
[05:41:23.110] |I| [SDL_main]: Available ram memory: 16215 mo
[05:41:23.666] |I| [renderer::gl::create]: Swap interval = -1
[05:41:23.671] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[05:41:23.671] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[05:41:23.671] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[05:41:23.672] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[05:41:32.114] |I| [load_app_impl]: cpu-backend: Dynarmic
[05:41:32.115] |I| [load_app_impl]: CPU Optimisation state: true
[05:41:32.115] |I| [load_app_impl]: ngs state: true
[05:41:32.116] |I| [load_app_impl]: Resolution multiplier: 1
[05:41:32.116] |I| [load_app_impl]: modules mode: Automatic
[05:41:32.116] |I| [load_app_impl]: Title: 円環のメモーリア -カケラ灯し-
[05:41:32.117] |I| [load_app_impl]: Serial: PCSG01167
[05:41:32.117] |I| [load_app_impl]: Version: 1.00
[05:41:32.118] |I| [load_app_impl]: Category: gd
[05:41:32.140] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:41:32.141] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[05:41:32.142] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[05:41:32.142] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:41:32.143] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[05:41:32.143] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[05:41:32.144] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
