[20:19:45.432] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[20:19:45.454] |I| [config::init_config]: backend-renderer: OpenGL
[20:19:45.454] |I| [config::init_config]: log-level: 0
[20:19:45.493] |I| [SDL_main]: Vita3K v0.1.8 3203-2101d1ea
[20:19:45.493] |I| [SDL_main]: Number of logical CPU cores: 4
[20:19:45.493] |I| [SDL_main]: Available ram memory: 16312 MiB
[20:19:45.838] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[20:19:45.838] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[20:19:45.839] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[20:19:45.839] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[20:19:45.839] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[20:19:47.172] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[20:19:47.172] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[20:19:47.597] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[20:21:33.550] |I| [gui::set_vsync_state]: V-Sync state: true
[20:21:33.558] |I| [load_app_impl]: cpu-backend: Dynarmic
[20:21:33.558] |I| [load_app_impl]: CPU Optimisation state: true
[20:21:33.559] |I| [load_app_impl]: ngs state: true
[20:21:33.559] |I| [load_app_impl]: Resolution multiplier: 1
[20:21:33.559] |I| [load_app_impl]: modules mode: Automatic
[20:21:33.559] |I| [load_app_impl]: Title: ピオフィオーレの晩鐘
[20:21:33.560] |I| [load_app_impl]: Serial: PCSG01139
[20:21:33.560] |I| [load_app_impl]: Version: 1.00
[20:21:33.560] |I| [load_app_impl]: Category: gd
[20:21:33.582] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[20:21:33.583] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[20:21:33.583] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[20:21:33.583] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[20:21:33.584] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[20:21:33.584] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[20:21:33.585] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[20:21:33.597] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[20:21:33.598] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[20:21:33.598] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[20:21:33.599] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[20:21:33.599] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[20:21:33.599] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[20:21:33.599] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[20:21:33.606] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[20:21:33.607] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[20:21:33.608] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[20:21:33.608] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[20:21:33.608] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[20:21:33.609] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[20:21:33.609] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[20:21:33.885] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[20:21:33.886] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[20:21:33.886] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[20:21:33.887] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[20:21:33.888] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[20:21:33.888] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[20:21:33.897] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[20:21:33.898] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[20:21:33.899] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[20:21:33.899] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[20:21:33.899] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[20:21:33.900] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[20:21:34.029] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[20:21:34.029] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x0034EBC0 / 0x81000000] (size: 0x00249BC0) of module app0:eboot.bin
[20:21:34.030] |I| [load_self]: Loaded module segment 1 @ [0x0034F000 - 0x0048DC68 / 0x8124A000] (size: 0x0013EC68) of module app0:eboot.bin
[20:21:34.030] |I| [load_self]: Linking SELF app0:eboot.bin...
[20:21:34.030] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x2ece98
[20:21:34.030] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x34fc24
[20:21:34.030] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x316914
[20:21:34.031] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[20:21:34.047] |I| [renderer::gl::compile_shader]: frag shader compiled: 3cc305218caf9f172cc3c0670dfc13618955b93ec8081857996c598591ab0299
[20:21:34.050] |I| [renderer::gl::compile_shader]: vert shader compiled: 4e7bb0209785217dcff60d4c150adda5cf134e0db5769b9a0b322370cbad7cd3
[20:21:34.069] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/4
[20:21:34.096] |I| [renderer::gl::compile_shader]: frag shader compiled: e62462a2044ae6191f911d4fdd485fec364a0f1e75e6ba089fdd5ba4e345983b
[20:21:34.099] |I| [renderer::gl::compile_shader]: vert shader compiled: 288cf1080431cfa971296783473b8565e61d8a1aa79d122db60e18a53207be35
[20:21:34.109] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/4
[20:21:34.118] |I| [renderer::gl::compile_shader]: frag shader compiled: 1e2782f9da171ed3edc91c5fd221004c94c1f437f3af40a60670987781552e97
[20:21:34.121] |I| [renderer::gl::compile_shader]: vert shader compiled: 78def85f6fb48f9ca8968e6c42abcd32f80fe3aae44b8fbce44f2993b47fd1af
[20:21:34.135] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/4
[20:21:34.142] |I| [renderer::gl::compile_shader]: frag shader compiled: e66926ca3ca2c3f942bc31df5aabc1b96916afb96f20d954bc4fe4f34859dde4
[20:21:34.143] |I| [renderer::gl::compile_shader]: vert shader compiled: 78def85f6fb48f9ca8968e6c42abcd32f80fe3aae44b8fbce44f2993b47fd1af
[20:21:34.157] |I| [renderer::gl::pre_compile_program]: Program Compiled 4/4
[20:21:34.188] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[20:21:34.246] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[20:21:34.246] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[20:21:34.246] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[20:21:34.259] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[20:21:34.261] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[20:21:34.282] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[20:21:34.282] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[20:21:34.285] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[20:21:34.305] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[20:21:34.306] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[20:21:34.324] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[20:21:34.465] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[20:21:34.515] |E| [call_import]: Import function for NID 0xd7f0f610 not found (thread name: PCSG01139, thread ID: 7)
[20:21:34.519] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[20:21:34.534] |I| [load_module]: Loading module ID: 0x13
[20:21:34.537] |I| [load_self]: sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[20:21:34.537] |I| [load_self]: Loaded module segment 0 @ [0x02EE3000 - 0x02EE608C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[20:21:34.538] |I| [load_self]: Loaded module segment 1 @ [0x026DF000 - 0x026DFBF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[20:21:34.538] |I| [load_self]: Linking SELF sys/external/libsystemgesture.suprx...
[20:21:34.539] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x2ee6074
[20:21:34.539] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x2ee5bd4
[20:21:34.539] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[20:21:34.539] |D| [load_module]: Running module_start of module: SceSystemGesture
[20:21:34.540] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[20:21:34.541] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x6078a08b sceSystemGestureInitializePrimitiveTouchRecognizer at 0x2ec438
[20:21:34.542] |W| [stubbed_impl]: Stubbed sceTouchGetPixelDensity2 import called. (Return constant values (22.0))
[20:21:34.543] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xc3367370 sceSystemGestureCreateTouchRecognizer at 0x2ec468
[20:21:34.546] |W| [unimplemented_impl]: Unimplemented sceMotionStartSampling import called.
[20:21:34.547] |W| [unimplemented_impl]: Unimplemented sceMotionReset import called.
[20:21:34.548] |W| [unimplemented_impl]: Unimplemented sceMotionMagnetometerOn import called.
[20:21:34.583] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[20:21:34.605] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MiB emuenv mem)
[20:21:34.638] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[20:21:34.660] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampEnable import called.
[20:21:34.661] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampValue import called.
[20:21:34.662] |W| [unimplemented_impl]: Unimplemented sceGxmSetWBufferEnable import called.
[20:21:34.663] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetParam import called.
[20:21:34.664] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[20:21:34.664] |W| [unimplemented_impl]: Unimplemented sceScreenShotEnable import called.
[20:21:34.672] |E| [logging::ret_error_impl]: sceSysmoduleIsLoaded returned SCE_SYSMODULE_ERROR_UNLOADED (0x805a1001)
[20:21:34.673] |W| [ngs::create_voice_definition]: Missing voice definition for Buss Type 7, using passthrough.
[20:21:34.675] |W| [unimplemented_impl]: Unimplemented sceSysmoduleUnloadModule import called.
[20:21:34.795] |T| [export_sceNgsPatchCreateRouting]: Patching 0x9548CA0:0:0 to 0x954DBA0:0
[20:21:34.949] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[20:21:34.950] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[20:21:35.282] |I| [export_sceIoOpen]: Opening file: app0:/data/SYSTEM.cpk
[20:21:35.282] |T| [open_file]: sceIoOpen: Opening file app0:/data/SYSTEM.cpk (ux0:/app/PCSG01139/data/SYSTEM.cpk), fd: 0x3
[20:21:35.292] |I| [float_to_half_init]: AVX+F16C instruction set is supported. Using fast f32 to f16 conversion
[20:21:35.302] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[20:21:35.309] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[20:21:35.320] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xdf4c665a sceSystemGestureUpdatePrimitiveTouchRecognizer at 0x2ec478
[20:21:35.327] |I| [export_sceIoOpen]: Opening file: app0:/data/SYSTEM.cpk
[20:21:35.334] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x851fb144 sceSystemGestureUpdateTouchRecognizer at 0x2ec458
[20:21:35.335] |T| [open_file]: sceIoOpen: Opening file app0:/data/SYSTEM.cpk (ux0:/app/PCSG01139/data/SYSTEM.cpk), fd: 0x4
[20:21:35.358] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x13ad2218 sceSystemGestureGetTouchEventsCount at 0x2ec418
[20:21:35.372] |W| [stubbed_impl]: Stubbed sceMotionGetState import called. (Set value to zero)
[20:21:35.388] |I| [export_sceIoOpen]: Opening file: app0:/data/STORY.cpk
[20:21:35.391] |T| [open_file]: sceIoOpen: Opening file app0:/data/STORY.cpk (ux0:/app/PCSG01139/data/STORY.cpk), fd: 0x5
[20:21:35.394] |T| [close_file]: sceIoClose: Closing file fd: 0x5
[20:21:35.405] |I| [export_sceIoOpen]: Opening file: app0:/data/STORY.cpk
[20:21:35.406] |T| [open_file]: sceIoOpen: Opening file app0:/data/STORY.cpk (ux0:/app/PCSG01139/data/STORY.cpk), fd: 0x6
[20:21:35.439] |I| [export_sceIoOpen]: Opening file: app0:/data/GAME.cpk
[20:21:35.440] |T| [open_file]: sceIoOpen: Opening file app0:/data/GAME.cpk (ux0:/app/PCSG01139/data/GAME.cpk), fd: 0x7
[20:21:35.441] |T| [close_file]: sceIoClose: Closing file fd: 0x7
