[17:54:50.290] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[17:54:50.339] |I| [config::init_config]: backend-renderer: OpenGL
[17:54:50.340] |I| [config::init_config]: log-level: 0
[17:54:50.379] |I| [SDL_main]: Vita3K v0.1.8 3210-da447324
[17:54:50.379] |I| [SDL_main]: Number of logical CPU cores: 4
[17:54:50.379] |I| [SDL_main]: Available ram memory: 16312 MiB
[17:54:51.085] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[17:54:51.086] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[17:54:51.086] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[17:54:51.086] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[17:54:51.086] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[17:54:52.333] |W| [compat::load_compat_app_db]: App with Title ID PCSG00468 has an issue but no status label. Please check GitHub issue 1663 and request a status label be added.
[17:54:52.333] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[17:54:52.333] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[17:54:53.233] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-20-2023 09:49:28
[17:54:54.311] |W| [compat::load_compat_app_db]: App with Title ID PCSG00780 has an issue but no status label. Please check GitHub issue 1669 and request a status label be added.
[17:54:54.312] |W| [compat::load_compat_app_db]: App with Title ID PCSG00623 has an issue but no status label. Please check GitHub issue 1666 and request a status label be added.
[17:54:54.313] |W| [compat::load_compat_app_db]: App with Title ID PCSG00022 has an issue but no status label. Please check GitHub issue 1665 and request a status label be added.
[17:54:54.314] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[17:54:54.316] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[17:57:01.093] |I| [gui::set_vsync_state]: V-Sync state: true
[17:57:01.137] |I| [load_app_impl]: cpu-backend: Dynarmic
[17:57:01.137] |I| [load_app_impl]: CPU Optimisation state: true
[17:57:01.138] |I| [load_app_impl]: ngs state: true
[17:57:01.138] |I| [load_app_impl]: Resolution multiplier: 1
[17:57:01.138] |I| [load_app_impl]: modules mode: Automatic
[17:57:01.138] |I| [load_app_impl]: Title: Farming Simulator 14 - 虚拟农场14
[17:57:01.138] |I| [load_app_impl]: Serial: PCSH00117
[17:57:01.139] |I| [load_app_impl]: Version: 1.00
[17:57:01.139] |I| [load_app_impl]: Category: gd
[17:57:01.279] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[17:57:01.280] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000523BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[17:57:01.281] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[17:57:01.281] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[17:57:01.281] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x48164
[17:57:01.281] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x3e0fc
[17:57:01.282] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[17:57:01.296] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[17:57:01.297] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008112C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[17:57:01.297] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[17:57:01.298] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[17:57:01.298] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x81034
[17:57:01.298] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x78548
[17:57:01.298] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[17:57:01.349] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[17:57:01.350] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009BA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[17:57:01.351] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[17:57:01.351] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[17:57:01.352] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9a3c8
[17:57:01.352] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x97944
[17:57:01.352] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[17:57:01.447] |I| [load_self]: Loaded module segment 0 @ [0x0009D000 - 0x000EDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[17:57:01.448] |I| [load_self]: Loaded module segment 1 @ [0x000EE000 - 0x000EE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[17:57:01.448] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[17:57:01.448] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xd97dc
[17:57:01.449] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xd8f10
[17:57:01.449] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[17:57:01.466] |I| [load_self]: Loaded module segment 0 @ [0x000EF000 - 0x000FEF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[17:57:01.467] |I| [load_self]: Loaded module segment 1 @ [0x000FF000 - 0x000FF008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[17:57:01.468] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[17:57:01.468] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xfd710
[17:57:01.468] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xfd300
[17:57:01.469] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[17:57:01.530] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[17:57:01.531] |I| [load_self]: Loaded module segment 0 @ [0x00100000 - 0x001C80D8 / 0x81000000] (size: 0x000C80D8) of module app0:eboot.bin
[17:57:01.532] |I| [load_self]: Loaded module segment 1 @ [0x001C9000 - 0x00231200 / 0x810C9000] (size: 0x00068200) of module app0:eboot.bin
[17:57:01.532] |I| [load_self]: Linking SELF app0:eboot.bin...
[17:57:01.532] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x18bcf0
[17:57:01.532] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x1dc4f4
[17:57:01.532] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[17:57:01.560] |I| [renderer::gl::compile_shader]: frag shader compiled: a1c77f9fb5ce9a8b53ae5373a13e328c621640c11dd09e706264d8ff5f8edd05
[17:57:01.573] |I| [renderer::gl::compile_shader]: vert shader compiled: f36ffeb1bf471d06174c8b404fa7e25d71ad47e3c98b9016ecc09737d406798e
[17:57:01.575] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/15
