[18:36:58.291] |I| [config::init]: input-vpk-path: games\PCSE00404_Fez.zip
[18:36:58.292] |I| [config::init]: log-level: 0
[18:36:58.292] |I| [config::init]: log-imports: false
[18:36:58.293] |I| [config::init]: log-exports: false
[18:36:58.293] |I| [config::init]: log-active-shaders: false
[18:36:58.293] |I| [config::init]: log-uniforms: false
[18:36:58.294] |I| [SDL_main]: Vita3K v0.1 805-4279f96
[18:36:58.765] |I| [init]: Swap interval = -1
[18:37:00.935] |I| [install_vpk]: PCSE00404 already installed, launching application...
[18:37:00.936] |I| [load_app_impl]: Title: FEZ
[18:37:00.936] |I| [load_app_impl]: Serial: PCSE00404
[18:37:00.936] |I| [load_app_impl]: Category: gd
[18:37:01.000] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[18:37:01.001] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x44164
[18:37:01.001] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3A0FC
[18:37:01.001] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x3E0BC, setting to stub value 0xDEADBEEF
[18:37:01.002] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x3FB70, setting to stub value 0xDEADBEEF
[18:37:01.002] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[18:37:01.027] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[18:37:01.028] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7F034
[18:37:01.028] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x76548
[18:37:01.028] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x76F7C, setting to stub value 0xDEADBEEF
[18:37:01.029] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[18:37:01.054] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[18:37:01.054] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x993C8
[18:37:01.055] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x96944
[18:37:01.055] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x96ECC, setting to stub value 0xDEADBEEF
[18:37:01.055] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x971A0, setting to stub value 0xDEADBEEF
[18:37:01.056] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[18:37:01.448] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[18:37:01.449] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x68EF80
[18:37:01.450] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x7D64FC
[18:37:01.450] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.450] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.450] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.451] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.451] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.451] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.451] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.452] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.452] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.452] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.452] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.453] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.453] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.453] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBCC 
[18:37:01.453] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBEC 
[18:37:01.453] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBEC 
[18:37:01.454] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBEC 
[18:37:01.454] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBEC 
[18:37:01.460] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBEC 
[18:37:01.460] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0x9E000, s: 0x4DBEC 
