[23:25:00.555] |I| [config::init_config]: backend-renderer: OpenGL
[23:25:00.556] |I| [config::init_config]: log-level: 0
[23:25:00.660] |I| [SDL_main]: Vita3K v0.1.5 2631-aa88739b
[23:25:00.660] |I| [SDL_main]: Number of logical CPU cores: 8
[23:25:00.660] |I| [SDL_main]: Available ram memory: 16215 mo
[23:25:01.457] |I| [renderer::gl::create]: Swap interval = -1
[23:25:01.464] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[23:25:01.464] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[23:25:01.465] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[23:25:01.467] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[23:27:28.256] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:27:28.257] |I| [load_app_impl]: CPU Optimisation state: true
[23:27:28.257] |I| [load_app_impl]: ngs state: true
[23:27:28.258] |I| [load_app_impl]: Resolution multiplier: 2
[23:27:28.259] |I| [load_app_impl]: modules mode: Auto & Manual
[23:27:28.260] |I| [load_app_impl]: lle-modules: libhttp
[23:27:28.261] |I| [load_app_impl]: Title: 學戰都市　THE　ASTERISK　WAR　鳳華絢爛
[23:27:28.262] |I| [load_app_impl]: Serial: PCSH00249
[23:27:28.265] |I| [load_app_impl]: Version: 1.00
[23:27:28.265] |I| [load_app_impl]: Category: gd
[23:27:28.286] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:27:28.286] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[23:27:28.290] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[23:27:28.293] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:27:28.295] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[23:27:28.295] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[23:27:28.296] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[23:27:28.298] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[23:27:28.299] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:27:28.311] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:27:28.311] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[23:27:28.314] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[23:27:28.315] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:27:28.316] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[23:27:28.317] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[23:27:28.319] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:27:28.325] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:27:28.326] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[23:27:28.327] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:27:28.329] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:27:28.329] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[23:27:28.330] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[23:27:28.330] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:27:28.346] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[23:27:28.347] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[23:27:28.351] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[23:27:28.354] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[23:27:28.355] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[23:27:28.356] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[23:27:28.361] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[23:27:28.362] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
