[08:40:31.197] |I| [config::init_config]: input-vpk-path: games\PCSG01029_GalGunDoublePeace_Bilingual.zip
[08:40:31.198] |I| [config::init_config]: backend-renderer: OpenGL
[08:40:31.198] |I| [config::init_config]: hardware-flip: enabled
[08:40:31.198] |I| [config::init_config]: log-level: 0
[08:40:31.199] |I| [SDL_main]: Vita3K v0.1 1315-5b070aac
[08:40:31.604] |I| [renderer::gl::create]: Swap interval = -1
[08:40:31.606] |I| [renderer::gl::create]: GPU = AMD Radeon HD 6700 Series
[08:40:31.606] |I| [renderer::gl::create]: GL_VERSION = 4.5.13399 Core Profile Context 15.200.1062.1004
[08:40:31.606] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.40
[08:40:31.607] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:40:31.607] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[08:40:31.705] |I| [gui::init_icons]: Default icon found for title PETTANKO0, Pettanko Test.
[08:40:31.709] |I| [gui::init_icons]: Default icon found for title VITA2DTST, vita2dsample.
[08:40:31.710] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[08:40:31.712] |I| [gui::init_icons]: Default icon found for title VSDK01337, SoLoud example.
[08:40:31.713] |I| [gui::init_icons]: Default icon found for title WF0000000, Test.
[08:40:31.714] |I| [gui::init_icons]: Default icon found for title WF0000011, Test.
[08:40:31.714] |I| [gui::init_icons]: Default icon found for title WF0000099, Tank test.
[08:40:33.079] |I| [install_vpk]: PCSG01029 already installed, launching application...
[08:40:33.080] |I| [load_app_impl]: Title: ぎゃる☆がんW ばいりんぎゃる
[08:40:33.081] |I| [load_app_impl]: Serial: PCSG01029
[08:40:33.081] |I| [load_app_impl]: Version: 01.00
[08:40:33.081] |I| [load_app_impl]: Category: gd
[08:40:33.194] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00050C54] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[08:40:33.195] |I| [load_self]: Loaded module segment 1 @ [0x00051000 - 0x00053688] (size: 0x00002688) of module app0:sce_module/libc.suprx
[08:40:33.195] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[08:40:33.196] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x46744
[08:40:33.196] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[08:40:33.197] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[08:40:33.197] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[08:40:33.197] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
