[03:14:39.564] |I| [SDL_main]:  Vita3K v0.1 685-2eee7b1
[03:14:39.857] |I| [init]:  Swap interval = -1
[03:14:41.448] |I| [install_vpk]:  PCSG00699 already installed, launching application...
[03:14:41.449] |I| [load_app_impl]:  Title: ぎゃる☆がん
だぶるぴーす
[03:14:41.449] |I| [load_app_impl]:  Serial: PCSG00699
[03:14:41.450] |I| [load_app_impl]:  Category: gd
[03:14:41.522] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[03:14:41.523] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x46744
[03:14:41.523] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[03:14:41.524] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[03:14:41.524] |W| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[03:14:41.525] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:14:41.543] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[03:14:41.544] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x81244
[03:14:41.544] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78878
[03:14:41.545] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x792D4, setting to stub value 0xDEADBEEF
[03:14:41.545] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:14:41.568] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[03:14:41.569] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x9B2D0
[03:14:41.570] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98858
[03:14:41.570] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x98DE0, setting to stub value 0xDEADBEEF
[03:14:41.570] |W| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x990A4, setting to stub value 0xDEADBEEF
[03:14:41.571] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[03:14:42.429] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[03:14:42.430] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x83C0AB80
[03:14:42.430] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x83F3D344
[03:14:42.430] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x83D7DC04
[03:14:42.431] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x83C0BF78, setting to stub value 0xDEADBEEF
[03:14:42.431] |I| [load_app_impl]:  Main executable GG2GAME_NGP_SHIPPING (eboot.bin) loaded
[03:14:42.437] |D| [run_app]:  Running module_start of library: SceLibc
[03:14:42.504] |T| [open_file]:  sceKernelGetStdin: Opening file tty0: (tty0:)
[03:14:42.504] |T| [open_file]:  sceKernelGetStdout: Opening file tty0: (tty0:)
[03:14:42.505] |T| [open_file]:  sceKernelGetStderr: Opening file tty0: (tty0:)
[03:14:42.511] |I| [run_app]:  Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[03:14:42.514] |D| [run_app]:  Running module_start of library: SceLibFios2
