[21:54:10.698] |I| [config::init]:  input-vpk-path: games\PCSG00699_GalGunDoublePeace_JP.zip
[21:54:10.700] |I| [config::init]:  log-level: 0
[21:54:10.700] |I| [config::init]:  log-imports: false
[21:54:10.701] |I| [config::init]:  log-exports: false
[21:54:10.701] |I| [config::init]:  log-active-shaders: false
[21:54:10.701] |I| [config::init]:  log-uniforms: false
[21:54:10.701] |I| [SDL_main]:  Vita3K v0.1 696-b915fa1
[21:54:10.964] |I| [init]:  Swap interval = -1
[21:54:14.511] |I| [install_vpk]:  PCSG00699 already installed, launching application...
[21:54:14.512] |I| [load_app_impl]:  Title: ぎゃる☆がん
だぶるぴーす
[21:54:14.513] |I| [load_app_impl]:  Serial: PCSG00699
[21:54:14.513] |I| [load_app_impl]:  Category: gd
[21:54:14.527] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[21:54:14.528] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x46744
[21:54:14.528] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[21:54:14.529] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[21:54:14.529] |W| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[21:54:14.530] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:54:14.538] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[21:54:14.539] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x81244
[21:54:14.540] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78878
[21:54:14.540] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x792D4, setting to stub value 0xDEADBEEF
[21:54:14.541] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:54:14.545] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[21:54:14.546] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x9B2D0
[21:54:14.546] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98858
[21:54:14.547] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x98DE0, setting to stub value 0xDEADBEEF
[21:54:14.547] |W| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x990A4, setting to stub value 0xDEADBEEF
[21:54:14.547] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[21:54:15.268] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[21:54:15.268] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x83C0AB80
[21:54:15.268] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x83F3D344
[21:54:15.269] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x83D7DC04
[21:54:15.269] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x83C0BF78, setting to stub value 0xDEADBEEF
[21:54:15.269] |I| [load_app_impl]:  Main executable GG2GAME_NGP_SHIPPING (eboot.bin) loaded
[21:54:15.275] |D| [run_app]:  Running module_start of library: SceLibc
[21:54:15.339] |T| [open_file]:  sceKernelGetStdin: Opening file tty0: (tty0:)
[21:54:15.339] |T| [open_file]:  sceKernelGetStdout: Opening file tty0: (tty0:)
[21:54:15.340] |T| [open_file]:  sceKernelGetStderr: Opening file tty0: (tty0:)
[21:54:15.347] |I| [run_app]:  Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[21:54:15.349] |D| [run_app]:  Running module_start of library: SceLibFios2
[21:54:15.353] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[21:54:15.354] |W| [unimplemented_impl]:  Unimplemented sceFiosOverlayGetList02 import called.
[21:54:15.355] |I| [run_app]:  Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[21:54:15.356] |D| [run_app]:  Running module_start of library: SceUlt
[21:54:15.360] |E| [call_import]:  Import function for NID 0x50F2F2AA not found (thread name: SceUlt, thread ID: 36)
[21:54:15.360] |I| [run_app]:  Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[21:54:15.362] |T| [open_file]:  sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSG00699/mai_moe/mai.suprx)
[21:54:15.363] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_END
[21:54:15.363] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[21:54:15.363] |T| [read_file]:  sceKernelLoadStartModule: Reading file: fd: 0x3, size: 87866
[21:54:15.364] |I| [load_self]:  Loading symbols for SELF: app0:mai_moe/mai.suprx
[21:54:15.364] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xB4E57E4
[21:54:15.364] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xB4E5840
[21:54:15.364] |T| [close_file]:  sceKernelLoadStartModule: Closing file: fd: 0x3
[21:54:15.388] |W| [stubbed_impl]:  Stubbed sceKernelDelayThread import called. (bad accuracy)
