[21:29:35.889] |I| [config::init_config]: backend-renderer: Vulkan
[21:29:35.890] |I| [config::init_config]: log-level: 0
[21:29:36.132] |I| [SDL_main]: Vita3K v0.2.0 3588-2424f92c
[21:29:36.132] |I| [SDL_main]: OS: Microsoft Windows 10 Professional (build 19045)
[21:29:36.132] |I| [SDL_main]: CPU: AMD Ryzen 9 3950X 16-Core Processor | 32 Threads | 3.493 GHz
[21:29:36.132] |I| [SDL_main]: Available ram memory: 32648 MiB
[21:29:36.134] |I| [app::init]: Base path: C:\Users\tamag\Desktop\emu\windows-latest\
[21:29:36.134] |I| [app::init]: User pref path: F:\vita3k\
[21:29:36.227] |I| [renderer::vulkan::VKState::create]: Disabling Vulkan validation layers (may improve performance but provides limited error messages)
[21:29:36.266] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Ti
[21:29:36.266] |I| [renderer::vulkan::VKState::create]: Driver version: 551.61.0.0
[21:29:36.266] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[21:29:36.493] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[21:29:37.152] |I| [gui::load_app_icon]: Default icon found for App VDEC00001, [French American Games Decrypter] in path VDEC00001.
[21:29:37.156] |I| [gui::load_app_icon]: Default icon found for App VKBUG0000, [vita3k-bugs] in path VKBUG0000.
[21:29:37.157] |I| [gui::load_app_icon]: Default icon found for App VSDK00010, [Motion example] in path VSDK00010.
[21:29:37.157] |I| [gui::load_app_icon]: Default icon found for App WAVE00001, [Wave Viewer] in path WAVE00001.
[21:29:37.259] |I| [compat::update_app_compat_db]: Applications compatibility database is up to date.
[21:29:43.614] |I| [renderer::vulkan::VKState::late_init]: Using shader interlock for accurate framebuffer fetch emulation
[21:29:43.636] |I| [renderer::vulkan::PipelineCache::set_async_compilation]: Enabling asynchronous pipeline compilation with 6 threads
[21:29:43.638] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:29:43.638] |I| [load_app_impl]: CPU Optimisation state: true
[21:29:43.638] |I| [load_app_impl]: ngs state: true
[21:29:43.638] |I| [load_app_impl]: Resolution multiplier: 1
[21:29:43.638] |I| [load_app_impl]: 1 Controllers Connected
[21:29:43.638] |I| [load_app_impl]: Controller 0: PS4 Controller
[21:29:43.638] |I| [load_app_impl]: Controller has motion support
[21:29:43.639] |I| [load_app_impl]: modules mode: Automatic
[21:29:43.639] |I| [load_app_impl]: Title: 限界凸起 モエロクリスタル
[21:29:43.640] |I| [load_app_impl]: Serial: PCSG00695
[21:29:43.640] |I| [load_app_impl]: Version: 1.00
[21:29:43.641] |I| [load_app_impl]: Category: gd
[21:29:43.642] |I| [load_module]: Loading module "app0:eboot.bin"
[21:29:43.715] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[21:29:43.715] |I| [load_self]: Loaded module segment 0 @ [0x80004000 - 0x803413A8 / 0x81000000] (size: 0x0033D3A8) of module app0:eboot.bin
[21:29:43.716] |I| [load_self]: Loaded module segment 1 @ [0x80342000 - 0x80D2B470 / 0x8133E000] (size: 0x009E9470) of module app0:eboot.bin
[21:29:43.717] |I| [load_self]: Linking SELF app0:eboot.bin...
[21:29:43.717] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x802ba10c
[21:29:43.717] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x8034bc98
[21:29:43.718] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x802fced4
[21:29:43.718] |D| [load_var_imports]: 	NID NOT FOUND 0x36878958 (UNRECOGNISED) at 0x802c7b48, setting to stub value 0xdeadbeef
[21:29:43.719] |D| [load_var_imports]: 	NID NOT FOUND 0x3ce6109d (UNRECOGNISED) at 0x802c7af4, setting to stub value 0xdeadbeef
