[05:30:22.617] |I| [config::init_config]: backend-renderer: OpenGL
[05:30:22.619] |I| [config::init_config]: log-level: 0
[05:30:22.781] |I| [SDL_main]: Vita3K v0.1.5 2642-4e1e255a
[05:30:22.782] |I| [SDL_main]: Number of logical CPU cores: 8
[05:30:22.782] |I| [SDL_main]: Available ram memory: 16215 mo
[05:30:23.245] |I| [renderer::gl::create]: Swap interval = -1
[05:30:23.249] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[05:30:23.249] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[05:30:23.249] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[05:30:23.250] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[05:30:30.596] |I| [load_app_impl]: cpu-backend: Dynarmic
[05:30:30.597] |I| [load_app_impl]: CPU Optimisation state: true
[05:30:30.597] |I| [load_app_impl]: ngs state: true
[05:30:30.598] |I| [load_app_impl]: Resolution multiplier: 1
[05:30:30.598] |I| [load_app_impl]: modules mode: Automatic
[05:30:30.598] |I| [load_app_impl]: Title: 月影の鎖　～狂爛モラトリアム～
[05:30:30.599] |I| [load_app_impl]: Serial: PCSG00991
[05:30:30.599] |I| [load_app_impl]: Version: 1.00
[05:30:30.599] |I| [load_app_impl]: Category: gd
[05:30:30.628] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:30:30.628] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[05:30:30.629] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[05:30:30.630] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:30:30.631] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[05:30:30.631] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[05:30:30.631] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[05:30:30.633] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[05:30:30.636] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:30:30.648] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:30:30.649] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[05:30:30.656] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[05:30:30.663] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[05:30:30.664] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
