[23:42:58.880] |I| [config::init_config]: backend-renderer: OpenGL
[23:42:58.882] |I| [config::init_config]: log-level: 0
[23:42:58.984] |I| [SDL_main]: Vita3K v0.1.5 2647-d2e99945
[23:42:58.985] |I| [SDL_main]: Number of logical CPU cores: 8
[23:42:58.985] |I| [SDL_main]: Available ram memory: 16215 mo
[23:42:59.721] |I| [renderer::gl::create]: Swap interval = -1
[23:42:59.735] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[23:42:59.736] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[23:42:59.737] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[23:42:59.740] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[23:43:05.494] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:43:05.495] |I| [load_app_impl]: CPU Optimisation state: true
[23:43:05.495] |I| [load_app_impl]: ngs state: true
[23:43:05.496] |I| [load_app_impl]: Resolution multiplier: 1
[23:43:05.496] |I| [load_app_impl]: modules mode: Auto & Manual
[23:43:05.496] |I| [load_app_impl]: lle-modules: libhttp
[23:43:05.496] |I| [load_app_impl]: Title: ガールフレンド（仮）きみと過ごす夏休み
[23:43:05.496] |I| [load_app_impl]: Serial: PCSG00670
[23:43:05.496] |I| [load_app_impl]: Version: 1.00
[23:43:05.496] |I| [load_app_impl]: Category: gd
[23:43:05.519] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:43:05.519] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00058814 / 0x81000000] (size: 0x00051814) of module app0:sce_module/libc.suprx
[23:43:05.519] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[23:43:05.520] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:43:05.521] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E284
[23:43:05.521] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4344C
[23:43:05.521] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x475AC, setting to stub value 0xDEADBEEF
[23:43:05.523] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49140, setting to stub value 0xDEADBEEF
[23:43:05.525] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:43:05.542] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:43:05.543] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[23:43:05.546] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[23:43:05.547] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:43:05.549] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[23:43:05.550] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[23:43:05.552] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:43:05.566] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:43:05.567] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[23:43:05.570] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:43:05.571] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:43:05.571] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32D0
[23:43:05.572] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0858
[23:43:05.573] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:43:05.585] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[23:43:05.586] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[23:43:05.589] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[23:43:05.590] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[23:43:05.590] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[23:43:05.592] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[23:43:05.597] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[23:43:05.598] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[23:43:05.600] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[23:43:05.600] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[23:43:05.601] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[23:43:05.602] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[23:43:05.809] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:43:05.810] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x005074DC / 0x81000000] (size: 0x003FE4DC) of module app0:eboot.bin
[23:43:05.811] |I| [load_self]: Loaded module segment 1 @ [0x00508000 - 0x005E98F0 / 0x813FF000] (size: 0x000E18F0) of module app0:eboot.bin
[23:43:05.812] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[23:43:05.812] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x417DC4
[23:43:05.816] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x50910C
[23:43:05.816] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x45BA34
[23:43:05.817] |I| [load_app_impl]: Main executable gfPSP2 (eboot.bin) loaded
[23:43:05.850] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[23:43:05.878] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[23:43:05.878] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[23:43:05.879] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[23:43:05.896] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[23:43:05.915] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5E001
[23:43:05.946] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[23:43:05.946] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[23:43:05.947] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[23:43:05.955] |D| [run_app]: Running module_start of library: SceUlt at address 0x94769
[23:43:05.982] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[23:43:05.983] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[23:43:06.400] |I| [load_module]: Loading module ID: 0x13
[23:43:06.402] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:43:06.402] |I| [load_self]: Loaded module segment 0 @ [0x029F0000 - 0x029F308C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[23:43:06.403] |I| [load_self]: Loaded module segment 1 @ [0x029F4000 - 0x029F4BF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[23:43:06.405] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[23:43:06.406] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x29F3074
[23:43:06.407] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x29F2BD4
[23:43:06.407] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[23:43:06.408] |D| [load_module]: Running module_start of module: SceSystemGesture
