oadExec]: sceAppMgrLoadExec run self: app0:GOW2.self
[23:20:58.518] |I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run with argument at 0: -g
[23:20:58.521] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Saving pipeline cache...
[23:20:58.522] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Pipeline cache saved
[23:20:58.566] |I| [config::init_config]: input-content-path: Stuff\Emu\Vita
[23:20:58.568] |I| [config::init_config]: input-installed-path: PCSA00126
[23:20:58.568] |I| [config::init_config]: backend-renderer: Vulkan
[23:20:58.569] |I| [config::init_config]: log-level: 0
[23:20:58.673] |I| [SDL_main]: Vita3K v0.1.6 3005-5d61fa82-Zangetsu38/savedata
[23:20:58.673] |I| [SDL_main]: Number of logical CPU cores: 4
[23:20:58.675] |I| [SDL_main]: Available ram memory: 8077 MiB
[23:20:58.904] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce GTX 650
[23:20:58.904] |I| [renderer::vulkan::VKState::create]: Driver version: 472.98.0.0
[23:20:59.249] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[23:20:59.924] |I| [gui::load_app_icon]: Default icon found for App Sound backup neptune, [Sound backup neptune] in path Sound backup neptune.
[23:21:00.173] |E| [SDL_main]: File dropped: [Stuff\Emu\Vita] is not supported.
[23:21:00.490] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:21:00.491] |I| [load_app_impl]: CPU Optimisation state: true
[23:21:00.492] |I| [load_app_impl]: ngs state: true
[23:21:00.492] |I| [load_app_impl]: Resolution multiplier: 2
[23:21:00.493] |I| [load_app_impl]: modules mode: Automatic
[23:21:00.493] |I| [load_app_impl]: Title: God of War® Collection
[23:21:00.494] |I| [load_app_impl]: Serial: PCSA00126
[23:21:00.495] |I| [load_app_impl]: Version: 1.00
[23:21:00.495] |I| [load_app_impl]: Category: gd
[23:21:00.516] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[23:21:00.517] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000523BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[23:21:00.518] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[23:21:00.520] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[23:21:00.521] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48164
[23:21:00.522] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3E0FC
[23:21:00.522] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:21:00.537] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[23:21:00.538] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008112C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[23:21:00.539] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[23:21:00.540] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[23:21:00.543] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81034
[23:21:00.544] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78548
[23:21:00.545] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:21:00.553] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[23:21:00.553] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009BA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[23:21:00.554] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:21:00.555] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[23:21:00.556] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A3C8
[23:21:00.557] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97944
[23:21:00.557] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[23:21:00.572] |I| [load_self]: Loaded module segment 0 @ [0x0009D000 - 0x000EDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[23:21:00.573] |I| [load_self]: Loaded module segment 1 @ [0x000EE000 - 0x000EE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[23:21:00.575] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[23:21:00.575] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD97DC
[23:21:00.576] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD8F10
[23:21:00.577] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[23:21:00.581] |I| [load_self]: Loaded module segment 0 @ [0x000EF000 - 0x000FEF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[23:21:00.585] |I| [load_self]: Loaded module segment 1 @ [0x000FF000 - 0x000FF008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[23:21:00.586] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[23:21:00.587] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFD710
[23:21:00.587] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFD300
[23:21:00.588] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[23:21:00.723] |I| [load_self]: app0:GOW2.self: Skipping special segment 0x6FFFFF01...
[23:21:00.724] |I| [load_self]: Loaded module segment 0 @ [0x00100000 - 0x003345E0 / 0x81000000] (size: 0x002345E0) of module app0:GOW2.self
[23:21:00.725] |I| [load_self]: Loaded module segment 1 @ [0x00335000 - 0x0077DEF8 / 0x81235000] (size: 0x00448EF8) of module app0:GOW2.self
[23:21:00.727] |I| [load_self]: Linking SELF app0:GOW2.self...
[23:21:00.727] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2F5820
[23:21:00.728] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x3D8230
[23:21:00.729] |I| [load_app_impl]: Main executable Game_PS2_PSP2_Ship_AMERICA (GOW2.self) loaded
[23:21:00.729] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[23:21:00.732] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[23:21:00.742] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/102
[23:21:00.746] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/102
[23:21:00.750] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/102
[23:21:00.753] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 4/102
[23:21:00.756] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 5/102
[23:21:00.758] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 6/102
[23:21:00.759] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 7/102
[23:21:00.760] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 8/102
[23:21:00.761] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 9/102
[23:21:00.762] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 10/102
[23:21:00.763] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 11/102
[23:21:00.764] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 12/102
[23:21:00.765] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 13/102
[23:21:00.767] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 14/102
[23:21:00.769] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 15/102
[23:21:00.770] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 16/102
