[04:51:08.048] |I| [config::init_config]: backend-renderer: OpenGL
[04:51:08.049] |I| [config::init_config]: log-level: 0
[04:51:08.098] |I| [SDL_main]: Vita3K v0.1.3 2265-bf29a917
[04:51:08.182] |I| [renderer::gl::create]: Swap interval = -1
[04:51:08.184] |I| [renderer::gl::create]: GPU = GeForce GTX 1080/PCIe/SSE2
[04:51:08.184] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 460.89
[04:51:08.184] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[04:51:08.185] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[04:51:42.999] |I| [load_app_impl]: cpu-backend: Dynarmic
[04:51:42.999] |I| [load_app_impl]: CPU Optimisation state: true
[04:51:42.999] |I| [load_app_impl]: at9 audio decoder state: true
[04:51:42.999] |I| [load_app_impl]: ngs experimental state: true
[04:51:43.000] |I| [load_app_impl]: video player state: true
[04:51:43.000] |I| [load_app_impl]: Title: Grand Kingdom
[04:51:43.000] |I| [load_app_impl]: Serial: PCSE00879
[04:51:43.000] |I| [load_app_impl]: Version: 1.00
[04:51:43.000] |I| [load_app_impl]: Category: gd
[04:51:43.014] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:51:43.014] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[04:51:43.015] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[04:51:43.015] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[04:51:43.016] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[04:51:43.016] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[04:51:43.016] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[04:51:43.017] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[04:51:43.018] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[04:51:43.026] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:51:43.026] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[04:51:43.027] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[04:51:43.028] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[04:51:43.028] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
