[19:14:13.508] |I| [config::init]:  log-level: 0
[19:14:13.510] |I| [config::init]:  log-imports: false
[19:14:13.510] |I| [config::init]:  log-exports: false
[19:14:13.510] |I| [config::init]:  log-active-shaders: false
[19:14:13.510] |I| [config::init]:  log-uniforms: false
[19:14:13.511] |I| [SDL_main]:  Vita3K v0.1 709-47cf33d
[19:14:13.945] |I| [init]:  Swap interval = -1
[19:14:15.427] |I| [load_app_impl]:  Title: グリザイアの果実スピンアウト！？ アイドル魔法少女ちるちる☆みちる
[19:14:15.427] |I| [load_app_impl]:  Serial: PCSG00620
[19:14:15.428] |I| [load_app_impl]:  Category: gd
[19:14:15.448] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[19:14:15.450] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x48284
[19:14:15.450] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D44C
[19:14:15.450] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x415AC, setting to stub value 0xDEADBEEF
[19:14:15.450] |W| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43140, setting to stub value 0xDEADBEEF
[19:14:15.450] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:14:15.462] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[19:14:15.463] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[19:14:15.463] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[19:14:15.463] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x7C9D4, setting to stub value 0xDEADBEEF
[19:14:15.463] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:14:15.469] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[19:14:15.469] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x9E2D0
[19:14:15.470] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9B858
[19:14:15.470] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x9BDE0, setting to stub value 0xDEADBEEF
[19:14:15.470] |W| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9C0A4, setting to stub value 0xDEADBEEF
[19:14:15.470] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[19:14:15.531] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[19:14:15.532] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x16EB78
[19:14:15.532] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1A7918
[19:14:15.533] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x17A92C
[19:14:15.533] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x16FA68, setting to stub value 0xDEADBEEF
[19:14:15.534] |I| [load_app_impl]:  Main executable grisaiaMGM (eboot.bin) loaded
[19:14:15.541] |D| [run_app]:  Running module_start of library: SceLibc
[19:14:15.559] |T| [open_file]:  sceKernelGetStdin: Opening file tty0: (tty0:)
[19:14:15.560] |T| [open_file]:  sceKernelGetStdout: Opening file tty0: (tty0:)
[19:14:15.560] |T| [open_file]:  sceKernelGetStderr: Opening file tty0: (tty0:)
[19:14:15.572] |I| [run_app]:  Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[19:14:15.573] |D| [run_app]:  Running module_start of library: SceLibFios2
[19:14:15.580] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[19:14:15.581] |W| [unimplemented_impl]:  Unimplemented sceFiosOverlayGetList02 import called.
[19:14:15.582] |I| [run_app]:  Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[19:14:15.583] |D| [run_app]:  Running module_start of library: SceUlt
[19:14:15.589] |E| [call_import]:  Import function for NID 0x50F2F2AA not found (thread name: SceUlt, thread ID: 36)
[19:14:15.589] |I| [run_app]:  Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[19:14:15.592] |T| [open_file]:  sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSG00620/mai_moe/mai.suprx)
[19:14:15.593] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_END
[19:14:15.593] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[19:14:15.594] |T| [read_file]:  sceKernelLoadStartModule: Reading file: fd: 0x3, size: 87866
[19:14:15.594] |I| [load_self]:  Loading symbols for SELF: app0:mai_moe/mai.suprx
[19:14:15.595] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x17877E4
[19:14:15.595] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1787840
[19:14:15.597] |T| [close_file]:  sceKernelLoadStartModule: Closing file: fd: 0x3
