[15:03:49.025] |I| [config::init_config]: backend-renderer: Vulkan
[15:03:49.026] |I| [config::init_config]: log-level: 0
[15:03:49.119] |I| [SDL_main]: Vita3K v0.1.8 3237-eb521c25
[15:03:49.119] |I| [SDL_main]: Number of logical CPU cores: 12
[15:03:49.119] |I| [SDL_main]: Available ram memory: 32655 MiB
[15:03:49.211] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3070
[15:03:49.211] |I| [renderer::vulkan::VKState::create]: Driver version: 536.23.0.0
[15:03:49.212] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[15:03:49.512] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSG01218 has an issue but no status label. Please check GitHub issue 1774 and request a status label be added.
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSG01149 has an issue but no status label. Please check GitHub issue 1773 and request a status label be added.
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSG00639 has an issue but no status label. Please check GitHub issue 1772 and request a status label be added.
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSH10100 has an issue but no status label. Please check GitHub issue 1716 and request a status label be added.
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[15:03:49.754] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[15:03:49.797] |I| [gui::load_app_icon]: Default icon found for App PCSB01124, [PCSB01124] in path PCSB01124.
[15:03:50.109] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:04:01.517] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:04:01.518] |I| [load_app_impl]: CPU Optimisation state: true
[15:04:01.518] |I| [load_app_impl]: ngs state: true
[15:04:01.518] |I| [load_app_impl]: Resolution multiplier: 1
[15:04:01.518] |I| [load_app_impl]: 1 Controllers Connected
[15:04:01.518] |I| [load_app_impl]: Controller 0: Controller (Xbox One For Windows)
[15:04:01.519] |I| [load_app_impl]: modules mode: Automatic
