[15:12:33.162] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[15:12:33.182] |I| [config::init_config]: input-installed-path: PCSG00930
[15:12:33.182] |I| [config::init_config]: backend-renderer: Vulkan
[15:12:33.183] |I| [config::init_config]: log-level: 0
[15:12:33.231] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[15:12:33.231] |I| [SDL_main]: Number of logical CPU cores: 4
[15:12:33.231] |I| [SDL_main]: Available ram memory: 16312 MiB
[15:12:33.635] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[15:12:33.636] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[15:12:33.662] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[15:12:35.280] |W| [compat::load_compat_app_db]: App with Title ID PCSE00406 has an issue but no status label. Please check GitHub issue 1579 and request a status label be added.
[15:12:35.281] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[15:12:35.281] |W| [compat::load_compat_app_db]: App with Title ID PCSA00138 has an issue but no status label. Please check GitHub issue 1577 and request a status label be added.
[15:12:35.281] |W| [compat::load_compat_app_db]: App with Title ID PCSE00092 has an issue but no status label. Please check GitHub issue 1576 and request a status label be added.
[15:12:35.281] |W| [compat::load_compat_app_db]: App with Title ID PCSE00268 has an issue but no status label. Please check GitHub issue 1575 and request a status label be added.
[15:12:35.567] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:12:35.569] |I| [load_app_impl]: CPU Optimisation state: true
[15:12:35.570] |I| [load_app_impl]: ngs state: true
[15:12:35.571] |I| [load_app_impl]: Resolution multiplier: 1
[15:12:35.572] |I| [load_app_impl]: modules mode: Automatic
[15:12:35.573] |I| [load_app_impl]: Title: 薄桜鬼 遊戯録　隊士達の大宴会
[15:12:35.574] |I| [load_app_impl]: Serial: PCSG00930
[15:12:35.575] |I| [load_app_impl]: Version: 1.00
[15:12:35.576] |I| [load_app_impl]: Category: gd
[15:12:35.735] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[15:12:35.736] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:12:35.737] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:12:35.737] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:12:35.738] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
