[15:26:25.599] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[15:26:25.616] |I| [config::init_config]: backend-renderer: Vulkan
[15:26:25.616] |I| [config::init_config]: log-level: 0
[15:26:25.650] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[15:26:25.650] |I| [SDL_main]: Number of logical CPU cores: 4
[15:26:25.650] |I| [SDL_main]: Available ram memory: 16312 MiB
[15:26:26.059] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[15:26:26.059] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[15:26:26.088] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[15:26:27.621] |W| [compat::load_compat_app_db]: App with Title ID PCSG00930 has an issue but no status label. Please check GitHub issue 1581 and request a status label be added.
[15:26:27.621] |W| [compat::load_compat_app_db]: App with Title ID PCSE00460 has an issue but no status label. Please check GitHub issue 1580 and request a status label be added.
[15:26:27.621] |W| [compat::load_compat_app_db]: App with Title ID PCSE00406 has an issue but no status label. Please check GitHub issue 1579 and request a status label be added.
[15:26:27.621] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[15:26:27.622] |W| [compat::load_compat_app_db]: App with Title ID PCSA00138 has an issue but no status label. Please check GitHub issue 1577 and request a status label be added.
[15:26:27.624] |W| [compat::load_compat_app_db]: App with Title ID PCSE00092 has an issue but no status label. Please check GitHub issue 1576 and request a status label be added.
[15:26:27.627] |W| [compat::load_compat_app_db]: App with Title ID PCSE00268 has an issue but no status label. Please check GitHub issue 1575 and request a status label be added.
[15:26:28.345] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:26:33.001] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:26:33.002] |I| [load_app_impl]: CPU Optimisation state: true
[15:26:33.003] |I| [load_app_impl]: ngs state: true
[15:26:33.004] |I| [load_app_impl]: Resolution multiplier: 1
[15:26:33.006] |I| [load_app_impl]: modules mode: Automatic
[15:26:33.007] |I| [load_app_impl]: Title: 薄桜鬼 随想録 面影げ花
[15:26:33.008] |I| [load_app_impl]: Serial: PCSG00485
[15:26:33.008] |I| [load_app_impl]: Version: 1.00
[15:26:33.009] |I| [load_app_impl]: Category: gd
[15:26:33.075] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[15:26:33.077] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054C54 / 0x81000000] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[15:26:33.079] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[15:26:33.081] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:26:33.082] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a744
[15:26:33.083] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x404f8
