[08:30:48.587] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:30:48.927] |I| [config::init_config]: backend-renderer: Vulkan
[08:30:48.928] |I| [config::init_config]: log-level: 0
[08:30:48.973] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[08:30:48.974] |I| [SDL_main]: Number of logical CPU cores: 4
[08:30:48.974] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:30:49.502] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[08:30:49.503] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[08:30:49.557] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[08:30:51.542] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:31:07.945] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:31:07.946] |I| [load_app_impl]: CPU Optimisation state: true
[08:31:07.946] |I| [load_app_impl]: ngs state: true
[08:31:07.947] |I| [load_app_impl]: Resolution multiplier: 1
[08:31:07.947] |I| [load_app_impl]: modules mode: Automatic
[08:31:07.947] |I| [load_app_impl]: Title: 華ヤカ哉、我ガ一族 幻燈ノスタルジィ
[08:31:07.947] |I| [load_app_impl]: Serial: PCSG00576
[08:31:07.948] |I| [load_app_impl]: Version: 1.00
[08:31:07.948] |I| [load_app_impl]: Category: gd
[08:31:07.968] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[08:31:07.970] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054C54 / 0x81000000] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[08:31:07.971] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[08:31:07.973] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[08:31:07.974] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a744
[08:31:07.975] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x404f8
[08:31:07.976] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[08:31:07.989] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[08:31:07.991] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x0008333C / 0x81000000] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[08:31:07.992] |I| [load_self]: Loaded module segment 1 @ [0x00084000 - 0x0008923D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[08:31:07.994] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[08:31:07.995] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x83244
[08:31:07.996] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7a878
[08:31:07.997] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[08:31:08.005] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[08:31:08.007] |I| [load_self]: Loaded module segment 0 @ [0x0008A000 - 0x0009D9A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[08:31:08.008] |I| [load_self]: Loaded module segment 1 @ [0x0009E000 - 0x0009E814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[08:31:08.010] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[08:31:08.010] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9c2d0
[08:31:08.011] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x99858
[08:31:08.013] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[08:31:08.029] |I| [load_self]: Loaded module segment 0 @ [0x0009F000 - 0x000EFF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[08:31:08.031] |I| [load_self]: Loaded module segment 1 @ [0x000F0000 - 0x000F02F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[08:31:08.032] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[08:31:08.034] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xdb7dc
[08:31:08.035] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xdaf10
[08:31:08.037] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[08:31:08.044] |I| [load_self]: Loaded module segment 0 @ [0x000F1000 - 0x00100F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[08:31:08.045] |I| [load_self]: Loaded module segment 1 @ [0x00101000 - 0x00101008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[08:31:08.047] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[08:31:08.048] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xff710
[08:31:08.048] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xff300
[08:31:08.050] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[08:31:08.132] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[08:31:08.134] |I| [load_self]: Loaded module segment 0 @ [0x00102000 - 0x0029E3F0 / 0x81000000] (size: 0x0019C3F0) of module app0:eboot.bin
[08:31:08.136] |I| [load_self]: Loaded module segment 1 @ [0x0029F000 - 0x0033ADE8 / 0x8119D000] (size: 0x0009BDE8) of module app0:eboot.bin
[08:31:08.137] |I| [load_self]: Linking SELF app0:eboot.bin...
[08:31:08.138] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x25dad4
[08:31:08.139] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x2aa624
[08:31:08.140] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x287554
[08:31:08.141] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[08:31:08.166] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[08:31:08.206] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[08:31:08.207] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[08:31:08.208] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[08:31:08.221] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[08:31:08.225] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[08:31:08.250] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[08:31:08.252] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[08:31:08.256] |D| [run_app]: Running module_start of library: SceUlt at address 0x8d769
[08:31:08.279] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[08:31:08.281] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[08:31:08.505] |W| [stubbed_impl]: Stubbed sceRtcGetAccumulativeTime import called. (sceRtcGetAccumulativeTime)
[08:31:08.539] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[08:31:08.794] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[08:31:09.111] |I| [load_module]: Loading module ID: 0x13
[08:31:09.113] |I| [load_self]: sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[08:31:09.115] |I| [load_self]: Loaded module segment 0 @ [0x01AA5000 - 0x01AA808C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[08:31:09.116] |I| [load_self]: Loaded module segment 1 @ [0x0174F000 - 0x0174FBF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[08:31:09.118] |I| [load_self]: Linking SELF sys/external/libsystemgesture.suprx...
[08:31:09.120] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x1aa8074
[08:31:09.120] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1aa7bd4
[08:31:09.122] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[08:31:09.123] |D| [load_module]: Running module_start of module: SceSystemGesture
[08:31:09.125] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[08:31:09.126] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x6078a08b sceSystemGestureInitializePrimitiveTouchRecognizer at 0x25cf04
[08:31:09.128] |W| [stubbed_impl]: Stubbed sceTouchGetPixelDensity2 import called. (Return constant values (22.0))
[08:31:09.131] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xc3367370 sceSystemGestureCreateTouchRecognizer at 0x25cf44
[08:31:09.196] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[08:31:09.198] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[08:31:09.274] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[08:31:09.277] |W| [unimplemented_impl]: Unimplemented sceScreenShotDisable import called.
[08:31:09.279] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[08:31:09.280] |W| [unimplemented_impl]: Unimplemented sceScreenShotEnable import called.
[08:31:09.316] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xdf4c665a sceSystemGestureUpdatePrimitiveTouchRecognizer at 0x25cf54
[08:31:09.320] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x851fb144 sceSystemGestureUpdateTouchRecognizer at 0x25cf24
[08:31:09.323] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x13ad2218 sceSystemGestureGetTouchEventsCount at 0x25cef4
[08:31:09.338] |E| [logging::ret_error_impl]: sceGxmSetVertexStream returned SCE_GXM_ERROR_INVALID_POINTER (0x805b0004)
[08:31:09.341] |E| [logging::ret_error_impl]: sceGxmDraw returned SCE_GXM_ERROR_INVALID_POINTER (0x805b0004)
[08:31:09.349] |E| [logging::ret_error_impl]: sceGxmSetFragmentTexture returned SCE_GXM_ERROR_INVALID_POINTER (0x805b0004)
[08:31:09.352] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[08:31:09.377] |I| [export_sceIoOpen]: Opening file: app0:/Data/CORE.DAT
[08:31:09.381] |T| [open_file]: sceIoOpen: Opening file app0:/Data/CORE.DAT (ux0:/app/PCSG00576/Data/CORE.DAT), fd: 0x3
[08:31:09.415] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[08:31:09.601] |I| [export_sceIoOpen]: Opening file: app0:/Data/VOICE_KM.IDX
