[16:28:59.764] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[16:28:59.778] |I| [config::init_config]: backend-renderer: Vulkan
[16:28:59.778] |I| [config::init_config]: log-level: 0
[16:28:59.884] |I| [SDL_main]: Vita3K v0.1.6 2820-3b725b5b
[16:28:59.884] |I| [SDL_main]: Number of logical CPU cores: 4
[16:28:59.884] |I| [SDL_main]: Available ram memory: 18348 MiB
[16:29:00.054] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[16:29:00.209] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon(TM) Vega 3 Graphics 
[16:29:00.209] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.220
[16:29:00.265] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: FifoRelaxed
[16:29:07.944] |I| [gui::set_vsync_state]: V-Sync state: true
[16:29:08.016] |I| [load_app_impl]: cpu-backend: Dynarmic
[16:29:08.017] |I| [load_app_impl]: CPU Optimisation state: true
[16:29:08.017] |I| [load_app_impl]: ngs state: true
[16:29:08.017] |I| [load_app_impl]: Resolution multiplier: 2
[16:29:08.018] |I| [load_app_impl]: modules mode: Automatic
[16:29:08.018] |I| [load_app_impl]: Title: IA/VT -COLORFUL-
[16:29:08.018] |I| [load_app_impl]: Serial: PCSG00355
[16:29:08.018] |I| [load_app_impl]: Version: 1.00
[16:29:08.018] |I| [load_app_impl]: Category: gd
[16:29:08.057] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056C54 / 0x81000000] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[16:29:08.058] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[16:29:08.058] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[16:29:08.059] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C744
[16:29:08.060] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x424F8
[16:29:08.060] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x46520, setting to stub value 0xDEADBEEF
[16:29:08.063] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x480A4, setting to stub value 0xDEADBEEF
[16:29:08.066] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[16:29:08.085] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x0008733C / 0x81000000] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[16:29:08.085] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D23D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[16:29:08.089] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[16:29:08.090] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x87244
[16:29:08.091] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7E878
[16:29:08.092] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[16:29:08.106] |I| [load_self]: Loaded module segment 0 @ [0x0008E000 - 0x000A19A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[16:29:08.107] |I| [load_self]: Loaded module segment 1 @ [0x000A2000 - 0x000A2814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[16:29:08.109] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[16:29:08.110] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA02D0
[16:29:08.111] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9D858
[16:29:08.115] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[16:29:08.150] |I| [load_self]: Loaded module segment 0 @ [0x000A3000 - 0x000F3F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[16:29:08.153] |I| [load_self]: Loaded module segment 1 @ [0x000F4000 - 0x000F42F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[16:29:08.156] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[16:29:08.158] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDF7DC
[16:29:08.159] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDEF10
[16:29:08.160] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[16:29:08.172] |I| [load_self]: Loaded module segment 0 @ [0x000F5000 - 0x00104F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[16:29:08.173] |I| [load_self]: Loaded module segment 1 @ [0x00105000 - 0x00105008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[16:29:08.175] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[16:29:08.176] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x103710
[16:29:08.178] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x103300
[16:29:08.179] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[16:29:08.374] |I| [load_self]: Loaded module segment 0 @ [0x00106000 - 0x003AB3E0 / 0x81000000] (size: 0x002A53E0) of module app0:eboot.bin
[16:29:08.376] |I| [load_self]: Loaded module segment 1 @ [0x003AC000 - 0x005142C8 / 0x812A9000] (size: 0x001682C8) of module app0:eboot.bin
[16:29:08.378] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[16:29:08.380] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3541FC
[16:29:08.381] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x3AD02C
[16:29:08.383] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x380998
[16:29:08.387] |I| [load_app_impl]: Main executable ia (eboot.bin) loaded
[16:29:08.388] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[16:29:08.398] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[16:29:08.406] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/113
[16:29:08.413] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/113
[16:29:08.423] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/113
[16:29:08.428] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 4/113
[16:29:08.434] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 5/113
[16:29:08.443] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 6/113
[16:29:08.454] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 7/113
[16:29:08.473] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 8/113
[16:29:08.495] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 9/113
[16:29:08.515] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 10/113
[16:29:08.528] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 11/113
[16:29:08.535] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 12/113
[16:29:08.556] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 13/113
[16:29:08.571] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 14/113
[16:29:08.609] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 15/113
[16:29:08.636] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 16/113
[16:29:08.662] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 17/113
[16:29:08.683] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 18/113
[16:29:08.693] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 19/113
[16:29:08.710] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 20/113
[16:29:08.723] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 21/113
[16:29:08.738] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 22/113
[16:29:08.743] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 23/113
[16:29:08.750] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 24/113
[16:29:08.756] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 25/113
[16:29:08.776] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 26/113
[16:29:08.789] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 27/113
[16:29:08.817] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 28/113
[16:29:08.823] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 29/113
[16:29:08.837] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 30/113
[16:29:08.857] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 31/113
[16:29:08.871] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 32/113
[16:29:08.899] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 33/113
[16:29:08.921] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 34/113
[16:29:08.944] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 35/113
[16:29:08.968] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 36/113
[16:29:08.980] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 37/113
[16:29:09.004] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 38/113
[16:29:09.021] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 39/113
[16:29:09.055] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 40/113
[16:29:09.065] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 41/113
[16:29:09.078] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 42/113
[16:29:09.085] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 43/113
[16:29:09.090] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 44/113
[16:29:09.101] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 45/113
[16:29:09.109] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 46/113
[16:29:09.120] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 47/113
[16:29:09.141] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 48/113
[16:29:09.157] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 49/113
[16:29:09.177] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 50/113
[16:29:09.195] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 51/113
[16:29:09.209] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 52/113
[16:29:09.226] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 53/113
[16:29:09.236] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 54/113
[16:29:09.260] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 55/113
[16:29:09.277] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 56/113
[16:29:09.300] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 57/113
[16:29:09.311] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 58/113
[16:29:09.333] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 59/113
[16:29:09.342] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 60/113
[16:29:09.364] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 61/113
[16:29:09.375] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 62/113
[16:29:09.393] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 63/113
[16:29:09.404] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 64/113
[16:29:09.425] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 65/113
[16:29:09.437] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 66/113
[16:29:09.457] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 67/113
[16:29:09.480] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 68/113
[16:29:09.491] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 69/113
[16:29:09.514] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 70/113
[16:29:09.538] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 71/113
[16:29:09.552] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 72/113
[16:29:09.566] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 73/113
[16:29:09.578] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 74/113
[16:29:09.600] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 75/113
[16:29:09.624] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 76/113
[16:29:09.653] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 77/113
[16:29:09.673] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 78/113
[16:29:09.706] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 79/113
[16:29:09.734] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 80/113
[16:29:09.757] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 81/113
[16:29:09.768] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 82/113
[16:29:09.790] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 83/113
[16:29:09.827] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 84/113
[16:29:09.859] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 85/113
[16:29:09.889] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 86/113
[16:29:09.920] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 87/113
[16:29:09.951] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 88/113
[16:29:09.981] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 89/113
[16:29:10.008] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 90/113
[16:29:10.036] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 91/113
[16:29:10.057] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 92/113
[16:29:10.087] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 93/113
[16:29:10.124] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 94/113
[16:29:10.152] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 95/113
[16:29:10.165] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 96/113
[16:29:10.187] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 97/113
[16:29:10.211] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 98/113
[16:29:10.239] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 99/113
[16:29:10.278] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 100/113
[16:29:10.306] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 101/113
[16:29:10.328] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 102/113
[16:29:10.340] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 103/113
[16:29:10.355] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 104/113
[16:29:10.370] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 105/113
[16:29:10.384] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 106/113
[16:29:10.391] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 107/113
[16:29:10.397] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 108/113
[16:29:10.405] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 109/113
[16:29:10.425] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 110/113
[16:29:10.450] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 111/113
[16:29:10.472] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 112/113
