[06:04:11.534] |I| [config::init_config]: backend-renderer: OpenGL
[06:04:11.537] |I| [config::init_config]: hardware-flip: enabled
[06:04:11.537] |I| [config::init_config]: lle-modules: libpgf,libpvf,libsas,libatrac
[06:04:11.537] |I| [config::init_config]: log-level: 0
[06:04:11.541] |I| [SDL_main]: Vita3K v0.1 1395-76189aa5
[06:04:12.805] |I| [renderer::gl::create]: Swap interval = -1
[06:04:12.807] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[06:04:12.808] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.1 26.20.15029.20013
[06:04:12.808] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[06:04:12.809] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[06:04:12.810] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[06:04:13.029] |I| [gui::init_icons]: Default icon found for title TESTEEEEE, TESTEEEEE.
[06:04:43.119] |I| [load_app_impl]: Title: いけにえと雪のセツナ
[06:04:43.120] |I| [load_app_impl]: Serial: PCSG00756
[06:04:43.120] |I| [load_app_impl]: Version: 01.00
[06:04:43.121] |I| [load_app_impl]: Category: gd
[06:04:43.192] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:04:43.192] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x000528A4] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[06:04:43.193] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[06:04:43.193] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[06:04:43.194] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48314
[06:04:43.194] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D4DC
[06:04:43.194] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4163C, setting to stub value 0xDEADBEEF
[06:04:43.194] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x431D0, setting to stub value 0xDEADBEEF
[06:04:43.194] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[06:04:43.210] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:04:43.210] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[06:04:43.215] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[06:04:43.218] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[06:04:43.220] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[06:04:43.221] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[06:04:43.222] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[06:04:43.235] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:04:43.236] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[06:04:43.238] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[06:04:43.239] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[06:04:43.240] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[06:04:43.241] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[06:04:43.242] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[06:04:43.243] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[06:04:44.944] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:04:44.945] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x024D00FC] (size: 0x0242F0FC) of module app0:eboot.bin
[06:04:44.946] |I| [load_self]: Loaded module segment 1 @ [0x024D1000 - 0x02915B88] (size: 0x00444B88) of module app0:eboot.bin
[06:04:44.947] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[06:04:44.948] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x220A1EC
