[15:37:52.272] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[15:37:52.287] |I| [config::init_config]: backend-renderer: OpenGL
[15:37:52.287] |I| [config::init_config]: log-level: 0
[15:37:52.331] |I| [SDL_main]: Vita3K v0.1.9 3379-5393c53d
[15:37:52.332] |I| [SDL_main]: Number of logical CPU cores: 4
[15:37:52.332] |I| [SDL_main]: Available ram memory: 8136 MiB
[15:37:52.690] |I| [renderer::gl::create]: GPU = GeForce GTS 450/PCIe/SSE2
[15:37:52.690] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 388.13
[15:37:52.690] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[15:37:52.691] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[15:37:52.691] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[15:37:53.377] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
