[19:24:02.814] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[19:24:02.832] |I| [config::init_config]: backend-renderer: OpenGL
[19:24:02.832] |I| [config::init_config]: log-level: 0
[19:24:02.858] |I| [SDL_main]: Vita3K v0.1.8 3228-12224d7c
[19:24:02.858] |I| [SDL_main]: Number of logical CPU cores: 4
[19:24:02.858] |I| [SDL_main]: Available ram memory: 16312 MiB
[19:24:03.314] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[19:24:03.315] |I| [renderer::gl::create]: GL_VERSION = 4.6.14830 Core Profile Context 22.6.1 27.20.20913.2000
[19:24:03.315] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[19:24:03.315] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[19:24:03.315] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[19:24:04.723] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[19:24:04.724] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[19:24:04.724] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[19:24:05.102] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[19:24:10.647] |I| [gui::set_vsync_state]: V-Sync state: true
[19:24:10.665] |I| [load_app_impl]: cpu-backend: Dynarmic
[19:24:10.666] |I| [load_app_impl]: CPU Optimisation state: true
[19:24:10.666] |I| [load_app_impl]: ngs state: true
[19:24:10.666] |I| [load_app_impl]: Resolution multiplier: 1
[19:24:10.666] |I| [load_app_impl]: modules mode: Automatic
[19:24:10.666] |I| [load_app_impl]: Title: 殺し屋とストロベリー
[19:24:10.666] |I| [load_app_impl]: Serial: PCSG01132
[19:24:10.666] |I| [load_app_impl]: Version: 1.00
[19:24:10.666] |I| [load_app_impl]: Category: gd
[19:24:10.689] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[19:24:10.689] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x0005691C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[19:24:10.690] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[19:24:10.691] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[19:24:10.692] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c38c
[19:24:10.692] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x41550
[19:24:10.692] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:24:10.705] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[19:24:10.705] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[19:24:10.706] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[19:24:10.707] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[19:24:10.708] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[19:24:10.708] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[19:24:10.709] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:24:10.716] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[19:24:10.716] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[19:24:10.718] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[19:24:10.718] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[19:24:10.719] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[19:24:10.719] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[19:24:10.720] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[19:24:10.736] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[19:24:10.737] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[19:24:10.738] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[19:24:10.739] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[19:24:10.739] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[19:24:10.739] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[19:24:10.745] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[19:24:10.746] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[19:24:10.747] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[19:24:10.747] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[19:24:10.748] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[19:24:10.748] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[19:24:11.771] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[19:24:11.771] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x0137968C / 0x81000000] (size: 0x0127468C) of module app0:eboot.bin
[19:24:11.772] |I| [load_self]: Loaded module segment 1 @ [0x0137A000 - 0x01489AAC / 0x82275000] (size: 0x0010FAAC) of module app0:eboot.bin
[19:24:11.773] |I| [load_self]: Linking SELF app0:eboot.bin...
[19:24:11.773] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1140e84
[19:24:11.773] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x1390270
[19:24:11.774] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x12e524c
[19:24:11.774] |W| [load_var_imports]: 	NID NOT FOUND 0x6ef1e48 (UNRECOGNISED) at 0x11aaea4, setting to stub value 0xdeadbeef
[19:24:11.776] |W| [load_var_imports]: 	NID NOT FOUND 0x338b0bd1 (UNRECOGNISED) at 0x11aae18, setting to stub value 0xdeadbeef
[19:24:11.778] |W| [load_var_imports]: 	NID NOT FOUND 0x3a451b91 (UNRECOGNISED) at 0x11aae04, setting to stub value 0xdeadbeef
[19:24:11.780] |W| [load_var_imports]: 	NID NOT FOUND 0x550dfe23 (UNRECOGNISED) at 0x11aae2c, setting to stub value 0xdeadbeef
[19:24:11.781] |W| [load_var_imports]: 	NID NOT FOUND 0x56354517 (UNRECOGNISED) at 0x11aadcc, setting to stub value 0xdeadbeef
[19:24:11.783] |W| [load_var_imports]: 	NID NOT FOUND 0x5ef67445 (UNRECOGNISED) at 0x11aae90, setting to stub value 0xdeadbeef
[19:24:11.784] |W| [load_var_imports]: 	NID NOT FOUND 0x6aca1d57 (UNRECOGNISED) at 0x11aae54, setting to stub value 0xdeadbeef
[19:24:11.786] |W| [load_var_imports]: 	NID NOT FOUND 0x71a78083 (UNRECOGNISED) at 0x11aadf0, setting to stub value 0xdeadbeef
[19:24:11.787] |W| [load_var_imports]: 	NID NOT FOUND 0x79f9db75 (UNRECOGNISED) at 0x11aae40, setting to stub value 0xdeadbeef
[19:24:11.789] |W| [load_var_imports]: 	NID NOT FOUND 0xaa0340c3 (UNRECOGNISED) at 0x11aae68, setting to stub value 0xdeadbeef
[19:24:11.790] |W| [load_var_imports]: 	NID NOT FOUND 0xf9a1de92 (UNRECOGNISED) at 0x11aae7c, setting to stub value 0xdeadbeef
[19:24:11.794] |I| [load_app_impl]: Main executable UnityPlayer_201746_Release (eboot.bin) loaded
[19:24:11.823] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[19:24:11.853] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[19:24:11.853] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[19:24:11.853] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[19:24:11.869] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[19:24:11.873] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[19:24:11.901] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[19:24:11.901] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[19:24:11.906] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[19:24:11.932] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[19:24:11.933] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
