[03:15:47.299] |I| [config::init_config]: backend-renderer: OpenGL
[03:15:47.300] |I| [config::init_config]: lle-modules: libsas,libatrac,libsystemgesture,libSceJson,libssl,libhttp,libSceXml
[03:15:47.300] |I| [config::init_config]: log-level: 0
[03:15:47.301] |I| [SDL_main]: Vita3K v0.1 1333-47bc370b
[03:15:48.357] |I| [renderer::gl::create]: Swap interval = -1
[03:15:48.366] |I| [renderer::gl::create]: GPU = GeForce RTX 2070 SUPER/PCIe/SSE2
[03:15:48.367] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 441.87
[03:15:48.367] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[03:15:48.371] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[03:15:48.371] |W| [renderer::gl::create]: Shader interlock on GeForce RTX GPU driver is disabled due to a bug in the driver pending to be fixed.
[03:15:48.508] |I| [gui::init_icons]: Default icon found for title AVCDEC001, AVCDEC001.
[03:15:48.520] |I| [gui::init_icons]: Default icon found for title GXMFUN001, GXMFUN001.
[03:15:48.528] |I| [gui::init_icons]: Default icon found for title MP4PLAYER, Mp4 Pl.
[03:15:48.962] |I| [gui::init_icons]: Default icon found for title SKGCBSMGR, Custom Boot Splash Manager.
[03:15:48.963] |I| [gui::init_icons]: Default icon found for title SKGTLSE12, iTLS-Enso.
[03:15:48.963] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[03:15:48.968] |I| [gui::init_icons]: Default icon found for title VCID00001, VitaCID.
[03:15:48.969] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[03:15:48.971] |I| [gui::init_icons]: Default icon found for title VSDK00009, Microphone Sample.
[03:15:54.546] |I| [load_app_impl]: Title: この素晴らしい世界に祝福を！～希望の迷宮と集いし冒険者たち～
[03:15:54.548] |I| [load_app_impl]: Serial: PCSG01258
[03:15:54.548] |I| [load_app_impl]: Version: 01.00
[03:15:54.548] |I| [load_app_impl]: Category: gd
[03:15:54.581] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:15:54.582] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[03:15:54.582] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[03:15:54.583] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[03:15:54.585] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[03:15:54.586] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[03:15:54.588] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[03:15:54.590] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[03:15:54.591] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:15:54.601] |C| [load_self]: Unknown segment type 0x6FFFFF01
