[08:21:57.963] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:21:57.975] |I| [config::init_config]: backend-renderer: OpenGL
[08:21:57.975] |I| [config::init_config]: log-level: 0
[08:21:58.007] |I| [SDL_main]: Vita3K v0.1.8 3171-a8275855
[08:21:58.007] |I| [SDL_main]: Number of logical CPU cores: 4
[08:21:58.007] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:21:58.586] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[08:21:58.586] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[08:21:58.586] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[08:21:58.587] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:21:58.587] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[08:22:00.581] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:25:46.751] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/data/c.png
[08:25:46.755] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/data/GAME.cpk
[08:26:04.718] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/data/MOVIE.cpk
[08:26:18.487] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/data/SOUND.cpk
[08:26:43.736] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/data/STORY.cpk
[08:26:43.873] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/data/SYSTEM.cpk
[08:26:44.052] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/eboot.bin
[08:26:44.080] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_module/libc.suprx
[08:26:44.085] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_module/libface.suprx
[08:26:44.133] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_module/libfios2.suprx
[08:26:44.137] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_module/libsmart.suprx
[08:26:44.155] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_module/libult.suprx
[08:26:44.158] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_pfs/files.db
[08:26:44.159] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_pfs/pflist
[08:26:44.161] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_pfs/unicv.db
[08:26:44.186] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/about/right.suprx
[08:26:44.189] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/clearsign
[08:26:44.191] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/icon0.png
[08:26:44.194] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/keystone
[08:26:44.197] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/livearea/contents/bg0.png
[08:26:44.201] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/livearea/contents/frame3.png
[08:26:44.203] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/livearea/contents/startup.png
[08:26:44.205] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/livearea/contents/template.xml
[08:26:44.207] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/001.png
[08:26:44.217] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/002.png
[08:26:44.226] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/003.png
[08:26:44.237] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/004.png
[08:26:44.249] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/005.png
[08:26:44.259] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/006.png
[08:26:44.272] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/007.png
[08:26:44.293] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/008.png
[08:26:44.331] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/009.png
[08:26:44.399] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/010.png
[08:26:44.430] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/011.png
[08:26:44.470] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/012.png
[08:26:44.505] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/013.png
[08:26:44.529] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/manual/014.png
[08:26:44.561] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/package/body.bin
[08:26:44.564] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/package/head.bin
[08:26:44.566] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/package/stat.bin
[08:26:44.567] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/package/tail.bin
[08:26:44.569] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/package/temp.bin
[08:26:44.570] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/package/work.bin
[08:26:44.572] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/param.sfo
[08:26:44.573] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/pic0.png
[08:26:44.590] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/sce_sys/trophy/NPWR14344_00/TROPHY.TRP
[08:26:44.828] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/0.png
[08:26:44.877] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/1.png
[08:26:44.902] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/2.png
[08:26:44.947] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/3.png
[08:26:44.966] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/4.png
[08:26:44.982] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/5.png
[08:26:44.984] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/new.png
[08:26:44.989] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01158/thumbnail/system.png
[08:26:44.992] |I| [is_nonpdrm]: Decrypt layer: ./sdcard/ux0\app\PCSG01158
[08:28:30.273] |I| [copy_license]: Success copy license file to: ./sdcard/ux0/license\PCSG01158\JP0031-PCSG01158_00-KURENAINOHOMURA1.rif
[08:28:30.590] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\eboot.bin with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.608] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\sce_module\libc.suprx with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.616] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\sce_module\libface.suprx with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.626] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\sce_module\libfios2.suprx with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.690] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\sce_module\libsmart.suprx with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.697] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\sce_module\libult.suprx with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.704] |I| [decrypt_install_nonpdrm]: Decrypted ./sdcard/ux0\app\PCSG01158\sce_sys\about\right.suprx with klicensee 4c09dec5aa21ffa1c6ab967ca2452a3e
[08:28:30.705] |I| [install_archive_content]: 真紅の焔 真田忍法帳 (App) [PCSG01158] installed succesfully!
[08:28:51.649] |I| [gui::set_vsync_state]: V-Sync state: true
[08:28:51.667] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:28:51.668] |I| [load_app_impl]: CPU Optimisation state: true
[08:28:51.668] |I| [load_app_impl]: ngs state: true
[08:28:51.668] |I| [load_app_impl]: Resolution multiplier: 1
[08:28:51.668] |I| [load_app_impl]: modules mode: Automatic
[08:28:51.669] |I| [load_app_impl]: Title: 真紅の焔 真田忍法帳
[08:28:51.669] |I| [load_app_impl]: Serial: PCSG01158
[08:28:51.669] |I| [load_app_impl]: Version: 1.00
[08:28:51.669] |I| [load_app_impl]: Category: gd
