[08:54:42.629] |I| [config::init_config]: backend-renderer: Vulkan
[08:54:42.630] |I| [config::init_config]: log-level: 0
[08:54:42.731] |I| [SDL_main]: Vita3K v0.1.8 3242-32b607cb
[08:54:42.731] |I| [SDL_main]: Number of logical CPU cores: 12
[08:54:42.732] |I| [SDL_main]: Available ram memory: 32655 MiB
[08:54:42.826] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3070
[08:54:42.826] |I| [renderer::vulkan::VKState::create]: Driver version: 536.23.0.0
[08:54:42.826] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[08:54:43.129] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[08:54:43.353] |W| [compat::load_compat_app_db]: App with Title ID PCSH10100 has an issue but no status label. Please check GitHub issue 1716 and request a status label be added.
[08:54:43.353] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[08:54:43.354] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[08:54:43.354] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[08:54:43.560] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:56:19.741] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:56:19.741] |I| [load_app_impl]: CPU Optimisation state: true
[08:56:19.742] |I| [load_app_impl]: ngs state: true
[08:56:19.742] |I| [load_app_impl]: Resolution multiplier: 1
[08:56:19.742] |I| [load_app_impl]: 1 Controllers Connected
[08:56:19.742] |I| [load_app_impl]: Controller 0: Controller (Xbox One For Windows)
[08:56:19.742] |I| [load_app_impl]: modules mode: Automatic
[08:56:19.742] |I| [load_app_impl]: Title: LOVELY QUEST Unlimited
[08:56:19.742] |I| [load_app_impl]: Serial: PCSG00336
[08:56:19.742] |I| [load_app_impl]: Version: 1.00
[08:56:19.742] |I| [load_app_impl]: Category: gd
[08:56:19.754] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[08:56:19.754] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000523BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[08:56:19.754] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[08:56:19.755] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[08:56:19.755] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x48164
[08:56:19.755] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x3e0fc
