[11:17:35.129] |I| [config::init_config]: backend-renderer: OpenGL
[11:17:35.131] |I| [config::init_config]: log-level: 0
[11:17:35.172] |I| [SDL_main]: Vita3K v0.1.2 1945-d5d6f90c
[11:17:35.450] |I| [renderer::gl::create]: Swap interval = -1
[11:17:35.451] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[11:17:35.451] |I| [renderer::gl::create]: GL_VERSION = 4.5.13596 Core Profile Context 20.10.44.04 27.20.11044.4003
[11:17:35.451] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[11:17:35.452] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[11:17:35.452] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[11:21:57.297] |I| [load_app_impl]: ngs experimental state: false
[11:21:57.298] |I| [load_app_impl]: video player state: true
[11:21:57.298] |I| [load_app_impl]: Title: LEGO® MARVEL's Avengers
[11:21:57.299] |I| [load_app_impl]: Serial: PCSB00764
[11:21:57.299] |I| [load_app_impl]: Version: 1.00
[11:21:57.299] |I| [load_app_impl]: Category: gd
[11:21:57.307] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:21:57.307] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[11:21:57.308] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[11:21:57.308] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[11:21:57.308] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[11:21:57.309] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[11:21:57.309] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4463C, setting to stub value 0xDEADBEEF
[11:21:57.309] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[11:21:57.309] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:21:57.315] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:21:57.315] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
