[20:28:28.645] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[20:28:28.668] |I| [config::init_config]: backend-renderer: OpenGL
[20:28:28.669] |I| [config::init_config]: log-level: 0
[20:28:28.749] |I| [SDL_main]: Vita3K v0.1.8 3203-2101d1ea
[20:28:28.750] |I| [SDL_main]: Number of logical CPU cores: 4
[20:28:28.750] |I| [SDL_main]: Available ram memory: 16312 MiB
[20:28:29.081] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[20:28:29.082] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[20:28:29.082] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[20:28:29.083] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[20:28:29.083] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[20:28:30.508] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[20:28:30.508] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[20:28:31.215] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-14-2023 12:26:56
[20:28:32.779] |E| [https::get_web_response]: 404 Not Found
[20:28:32.780] |E| [https::download_file]: Failed to get header on redirected url: https://objects.githubusercontent.com/github-production-release-asset-2e65be/130765034/4ffc4c77-8323-4a4e-95a8-e5335950c91a?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230614T122714Z&X-Amz-Expires=300&X-Amz-Signature=f3aa8cab4f2607be9195f7f806383827ecab949cddbc2d4f163828a011c85876&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=130765034&response-content-disposition=attachment%3B%20filename%3Dapp_compat_db.xml&response-content-type=application%2Foctet-stream
[20:29:18.071] |I| [gui::set_vsync_state]: V-Sync state: true
[20:29:18.127] |I| [load_app_impl]: cpu-backend: Dynarmic
[20:29:18.127] |I| [load_app_impl]: CPU Optimisation state: true
[20:29:18.127] |I| [load_app_impl]: ngs state: true
[20:29:18.127] |I| [load_app_impl]: Resolution multiplier: 1
[20:29:18.127] |I| [load_app_impl]: modules mode: Automatic
[20:29:18.128] |I| [load_app_impl]: Title: レンドフルール
[20:29:18.128] |I| [load_app_impl]: Serial: PCSG00405
[20:29:18.128] |I| [load_app_impl]: Version: 1.00
[20:29:18.128] |I| [load_app_impl]: Category: gd
[20:29:18.268] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[20:29:18.269] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054C54 / 0x81000000] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
