[04:56:04.113] |I| [config::init_config]: backend-renderer: OpenGL
[04:56:04.114] |I| [config::init_config]: log-level: 0
[04:56:04.237] |I| [SDL_main]: Vita3K v0.1.5 2647-d2e99945
[04:56:04.237] |I| [SDL_main]: Number of logical CPU cores: 8
[04:56:04.237] |I| [SDL_main]: Available ram memory: 16215 mo
[04:56:04.518] |I| [renderer::gl::create]: Swap interval = -1
[04:56:04.522] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[04:56:04.522] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[04:56:04.522] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[04:56:04.523] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[04:56:10.303] |I| [load_app_impl]: cpu-backend: Dynarmic
[04:56:10.303] |I| [load_app_impl]: CPU Optimisation state: true
[04:56:10.303] |I| [load_app_impl]: ngs state: true
[04:56:10.304] |I| [load_app_impl]: Resolution multiplier: 1
[04:56:10.304] |I| [load_app_impl]: modules mode: Auto & Manual
[04:56:10.304] |I| [load_app_impl]: lle-modules: libhttp
[04:56:10.304] |I| [load_app_impl]: Title: Little Deviants™
[04:56:10.304] |I| [load_app_impl]: Serial: PCSF00017
[04:56:10.304] |I| [load_app_impl]: Version: 1.00
[04:56:10.305] |I| [load_app_impl]: Category: gd
[04:56:10.321] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:56:10.322] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00042F34 / 0x81000000] (size: 0x0003BF34) of module app0:sce_module/libc.suprx
[04:56:10.323] |I| [load_self]: Loaded module segment 1 @ [0x00043000 - 0x0004533C / 0x8103C000] (size: 0x0000233C) of module app0:sce_module/libc.suprx
[04:56:10.323] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[04:56:10.324] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x34A70
[04:56:10.324] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x38220, setting to stub value 0xDEADBEEF
[04:56:10.325] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[04:56:10.335] |C| [load_self]: Unknown segment type 0x6FFFFF01
