[19:19:01.436] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[19:19:01.450] |I| [config::init_config]: backend-renderer: OpenGL
[19:19:01.450] |I| [config::init_config]: log-level: 0
[19:19:01.502] |I| [SDL_main]: Vita3K v0.1.8 3203-2101d1ea
[19:19:01.503] |I| [SDL_main]: Number of logical CPU cores: 4
[19:19:01.503] |I| [SDL_main]: Available ram memory: 16312 MiB
[19:19:02.229] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[19:19:02.230] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[19:19:02.230] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[19:19:02.230] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[19:19:02.231] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[19:19:03.513] |W| [compat::load_compat_app_db]: App with Title ID PCSH10090 has an issue but no status label. Please check GitHub issue 1612 and request a status label be added.
[19:19:03.513] |W| [compat::load_compat_app_db]: App with Title ID PCSG00026 has an issue but no status label. Please check GitHub issue 1611 and request a status label be added.
[19:19:03.513] |W| [compat::load_compat_app_db]: App with Title ID PCSE00012 has an issue but no status label. Please check GitHub issue 1610 and request a status label be added.
[19:19:03.514] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[19:19:03.906] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-09-2023 11:15:31
[19:19:05.005] |W| [compat::load_compat_app_db]: App with Title ID PCSE01042 has an issue but no status label. Please check GitHub issue 1613 and request a status label be added.
[19:19:05.005] |W| [compat::load_compat_app_db]: App with Title ID PCSH10090 has an issue but no status label. Please check GitHub issue 1612 and request a status label be added.
[19:19:05.005] |W| [compat::load_compat_app_db]: App with Title ID PCSG00026 has an issue but no status label. Please check GitHub issue 1611 and request a status label be added.
[19:19:05.005] |W| [compat::load_compat_app_db]: App with Title ID PCSE00012 has an issue but no status label. Please check GitHub issue 1610 and request a status label be added.
[19:19:05.006] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[19:19:07.984] |I| [gui::set_vsync_state]: V-Sync state: true
[19:19:08.030] |I| [load_app_impl]: cpu-backend: Dynarmic
[19:19:08.030] |I| [load_app_impl]: CPU Optimisation state: true
[19:19:08.030] |I| [load_app_impl]: ngs state: true
[19:19:08.030] |I| [load_app_impl]: Resolution multiplier: 1
[19:19:08.031] |I| [load_app_impl]: modules mode: Automatic
[19:19:08.031] |I| [load_app_impl]: Title: London Detective Mysteria
[19:19:08.031] |I| [load_app_impl]: Serial: PCSE01187
[19:19:08.031] |I| [load_app_impl]: Version: 1.00
[19:19:08.031] |I| [load_app_impl]: Category: gd
[19:19:08.151] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[19:19:08.152] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x0005691C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[19:19:08.152] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[19:19:08.152] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[19:19:08.152] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c38c
[19:19:08.153] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x41550
[19:19:08.153] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:19:08.181] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[19:19:08.182] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[19:19:08.182] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[19:19:08.182] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[19:19:08.183] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[19:19:08.183] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[19:19:08.183] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:19:08.229] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[19:19:08.230] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[19:19:08.230] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[19:19:08.231] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[19:19:08.232] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[19:19:08.232] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[19:19:08.233] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[19:19:08.264] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[19:19:08.265] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[19:19:08.265] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[19:19:08.266] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[19:19:08.267] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[19:19:08.267] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[19:19:08.275] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
