[02:18:28.571] |I| [config::init_config]: backend-renderer: OpenGL
[02:18:28.573] |I| [config::init_config]: hardware-flip: enabled
[02:18:28.573] |I| [config::init_config]: lle-modules: libpgf,libpvf,libsas,libatrac
[02:18:28.574] |I| [config::init_config]: log-level: 0
[02:18:28.577] |I| [SDL_main]: Vita3K v0.1 1395-76189aa5
[02:18:29.353] |I| [renderer::gl::create]: Swap interval = -1
[02:18:29.357] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[02:18:29.358] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.1 26.20.15029.20013
[02:18:29.358] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[02:18:29.359] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[02:18:29.359] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[02:18:29.616] |I| [gui::init_icons]: Default icon found for title TESTEEEEE, TESTEEEEE.
[02:18:33.079] |I| [load_app_impl]: Title: M3～ソノ黑キ鋼～ ///MISSION MEMENTO MORI
[02:18:33.082] |I| [load_app_impl]: Serial: PCSG00475
[02:18:33.083] |I| [load_app_impl]: Version: 01.00
[02:18:33.084] |I| [load_app_impl]: Category: gd
[02:18:33.127] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:18:33.128] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00050BD4] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[02:18:33.129] |I| [load_self]: Loaded module segment 1 @ [0x00051000 - 0x00053688] (size: 0x00002688) of module app0:sce_module/libc.suprx
[02:18:33.129] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[02:18:33.131] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x466C4
[02:18:33.131] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C488
[02:18:33.132] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x404A8, setting to stub value 0xDEADBEEF
[02:18:33.132] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4202C, setting to stub value 0xDEADBEEF
[02:18:33.133] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[02:18:33.155] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:18:33.156] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x00080AA8] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[02:18:33.157] |I| [load_self]: Loaded module segment 1 @ [0x00081000 - 0x0008623D] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[02:18:33.159] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[02:18:33.161] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x809B0
[02:18:33.162] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78138
[02:18:33.163] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[02:18:33.170] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:18:33.171] |I| [load_self]: Loaded module segment 0 @ [0x00087000 - 0x0009A9C4] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[02:18:33.174] |I| [load_self]: Loaded module segment 1 @ [0x0009B000 - 0x0009B814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[02:18:33.179] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[02:18:33.181] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x992F0
[02:18:33.182] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x96874
[02:18:33.183] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x970C0, setting to stub value 0xDEADBEEF
[02:18:33.184] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[02:18:33.409] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:18:33.409] |I| [load_self]: Loaded module segment 0 @ [0x0009D000 - 0x0041A018] (size: 0x0037D018) of module app0:eboot.bin
[02:18:33.410] |I| [load_self]: Loaded module segment 1 @ [0x0041B000 - 0x004E47A0] (size: 0x000C97A0) of module app0:eboot.bin
[02:18:33.412] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:18:33.412] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3484BC
[02:18:33.413] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x41C3E4
[02:18:33.414] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x3834D8
[02:18:33.415] |I| [load_app_impl]: Main executable m3PSP2 (eboot.bin) loaded
[02:18:33.435] |D| [run_app]: Running module_start of library: SceLibc at address 0x1805
[02:18:33.444] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[02:18:33.445] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[02:18:33.446] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
