[15:09:02.999] |I| [config::init_config]: input-installed-path: PCSE00838
[15:09:03.000] |I| [config::init_config]: backend-renderer: OpenGL
[15:09:03.000] |I| [config::init_config]: log-level: 0
[15:09:03.112] |I| [SDL_main]: Vita3K v0.1.8 3242-32b607cb
[15:09:03.112] |I| [SDL_main]: Number of logical CPU cores: 12
[15:09:03.112] |I| [SDL_main]: Available ram memory: 32655 MiB
[15:09:03.270] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3070/PCIe/SSE2
[15:09:03.270] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 536.23
[15:09:03.270] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[15:09:03.270] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[15:09:03.536] |W| [compat::load_compat_app_db]: Title ID Titan is invalid. Please check GitHub issue 1872 and verify it!
[15:09:03.537] |W| [compat::load_compat_app_db]: App with Title ID PCSH10100 has an issue but no status label. Please check GitHub issue 1716 and request a status label be added.
[15:09:03.537] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[15:09:03.537] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[15:09:03.537] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[15:09:03.886] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:09:03.892] |I| [gui::set_vsync_state]: V-Sync state: true
[15:09:03.896] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:09:03.896] |I| [load_app_impl]: CPU Optimisation state: true
[15:09:03.896] |I| [load_app_impl]: ngs state: true
[15:09:03.897] |I| [load_app_impl]: Resolution multiplier: 1
[15:09:03.897] |I| [load_app_impl]: modules mode: Automatic
[15:09:03.897] |I| [load_app_impl]: Title: MOP: Operation Cleanup
[15:09:03.897] |I| [load_app_impl]: Serial: PCSE00838
[15:09:03.897] |I| [load_app_impl]: Version: 1.00
[15:09:03.897] |I| [load_app_impl]: Category: gd
[15:09:03.908] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[15:09:03.908] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:09:03.909] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:09:03.909] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:09:03.910] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[15:09:03.910] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
