[17:41:37.485] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[17:41:37.500] |I| [config::init_config]: backend-renderer: Vulkan
[17:41:37.500] |I| [config::init_config]: log-level: 0
[17:41:37.573] |I| [SDL_main]: Vita3K v0.1.8 3158-60a68325
[17:41:37.574] |I| [SDL_main]: Number of logical CPU cores: 4
[17:41:37.574] |I| [SDL_main]: Available ram memory: 8190 MiB
[17:41:38.300] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce GT 1030
[17:41:38.300] |I| [renderer::vulkan::VKState::create]: Driver version: 522.25.0.0
[17:41:38.300] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[17:41:38.538] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[17:41:39.142] |W| [compat::load_compat_app_db]: App with Title ID PCSE01144 has an issue but no status label. Please check GitHub issue 1474 and request a status label be added.
[17:41:39.143] |W| [compat::load_compat_app_db]: App with Title ID PCSE00427 has an issue but no status label. Please check GitHub issue 1473 and request a status label be added.
[17:41:39.143] |W| [compat::load_compat_app_db]: App with Title ID PCSE00628 has an issue but no status label. Please check GitHub issue 1472 and request a status label be added.
[17:41:39.143] |W| [compat::load_compat_app_db]: App with Title ID PCSE00695 has an issue but no status label. Please check GitHub issue 1471 and request a status label be added.
[17:41:39.434] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[17:43:11.190] |I| [install_pkg]: sce_sys
[17:43:11.191] |I| [install_pkg]: sce_sys/about
[17:43:11.192] |I| [install_pkg]: sce_sys/livearea
[17:43:11.193] |I| [install_pkg]: sce_sys/livearea/contents
[17:43:11.195] |I| [install_pkg]: sce_sys/manual
[17:43:11.195] |I| [install_pkg]: sce_sys/manual/02
[17:43:11.196] |I| [install_pkg]: sce_sys/manual/03
[17:43:11.197] |I| [install_pkg]: sce_sys/manual/04
[17:43:11.198] |I| [install_pkg]: sce_sys/manual/05
[17:43:11.199] |I| [install_pkg]: sce_sys/manual/18
[17:43:11.200] |I| [install_pkg]: sce_sys/trophy
[17:43:11.201] |I| [install_pkg]: sce_sys/trophy/NPWR11205_00
[17:43:11.202] |I| [install_pkg]: sce_sys/param.sfo
[17:43:11.203] |I| [install_pkg]: sce_sys/about/right.suprx
[17:43:11.205] |I| [install_pkg]: sce_sys/clearsign
[17:43:11.206] |I| [install_pkg]: sce_sys/icon0.png
[17:43:11.207] |I| [install_pkg]: sce_sys/keystone
[17:43:11.208] |I| [install_pkg]: sce_sys/livearea/contents/bg0.png
[17:43:11.211] |I| [install_pkg]: sce_sys/livearea/contents/startup.png
[17:43:11.212] |I| [install_pkg]: sce_sys/livearea/contents/template.xml
[17:43:11.213] |I| [install_pkg]: sce_sys/manual/001.png
[17:43:11.215] |I| [install_pkg]: sce_sys/manual/002.png
[17:43:11.216] |I| [install_pkg]: sce_sys/manual/003.png
[17:43:11.419] |I| [install_pkg]: sce_sys/manual/004.png
[17:43:11.421] |I| [install_pkg]: sce_sys/manual/005.png
[17:43:11.423] |I| [install_pkg]: sce_sys/manual/006.png
[17:43:11.425] |I| [install_pkg]: sce_sys/manual/007.png
[17:43:11.426] |I| [install_pkg]: sce_sys/manual/008.png
[17:43:11.457] |I| [install_pkg]: sce_sys/manual/009.png
[17:43:11.458] |I| [install_pkg]: sce_sys/manual/010.png
[17:43:11.460] |I| [install_pkg]: sce_sys/manual/011.png
[17:43:11.473] |I| [install_pkg]: sce_sys/manual/012.png
[17:43:11.483] |I| [install_pkg]: sce_sys/manual/013.png
