[23:21:12.591] |I| [config::init_config]: backend-renderer: OpenGL
[23:21:12.592] |I| [config::init_config]: log-level: 0
[23:21:12.661] |I| [SDL_main]: Vita3K v0.1.5 2656-d6200b67
[23:21:12.661] |I| [SDL_main]: Number of logical CPU cores: 16
[23:21:12.661] |I| [SDL_main]: Available ram memory: 14198 mo
[23:21:13.026] |I| [renderer::gl::create]: Swap interval = 0
[23:21:13.027] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[23:21:13.027] |I| [renderer::gl::create]: GL_VERSION = 4.6.14761 Core Profile Context 21.10.2 30.0.13025.5005
[23:21:13.027] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[23:21:13.027] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[23:21:13.027] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[23:21:13.613] |W| [gui::set_notice_info]: Content not found for id: JP0745-PCSG00398_00-XBLOODINFINITY01, in path: app\PCSG00398
[23:21:16.149] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:21:16.150] |I| [load_app_impl]: CPU Optimisation state: true
[23:21:16.150] |I| [load_app_impl]: ngs state: true
[23:21:16.150] |I| [load_app_impl]: Resolution multiplier: 2
[23:21:16.152] |I| [load_app_impl]: 1 Controllers Connected
[23:21:16.152] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[23:21:16.152] |I| [load_app_impl]: modules mode: Automatic
[23:21:16.152] |I| [load_app_impl]: Title: MeiQ
[23:21:16.152] |I| [load_app_impl]: Serial: PCSE00918
[23:21:16.152] |I| [load_app_impl]: Version: 1.00
[23:21:16.152] |I| [load_app_impl]: Category: gd
[23:21:16.161] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:21:16.161] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[23:21:16.161] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[23:21:16.161] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:21:16.162] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[23:21:16.163] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[23:21:16.163] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[23:21:16.164] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[23:21:16.165] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
