[23:26:16.185] |I| [config::init_config]: backend-renderer: OpenGL
[23:26:16.187] |I| [config::init_config]: log-level: 0
[23:26:16.251] |I| [SDL_main]: Vita3K v0.1.5 2627-a31fd85c
[23:26:16.251] |I| [SDL_main]: Number of logical CPU cores: 8
[23:26:16.252] |I| [SDL_main]: Available ram memory: 16215 mo
[23:26:16.579] |I| [renderer::gl::create]: Swap interval = -1
[23:26:16.583] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[23:26:16.584] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[23:26:16.585] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[23:26:16.586] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[23:26:22.147] |I| [load_app_impl]: cpu-backend: Dynarmic
[23:26:22.148] |I| [load_app_impl]: CPU Optimisation state: true
[23:26:22.148] |I| [load_app_impl]: ngs state: true
[23:26:22.149] |I| [load_app_impl]: modules mode: Automatic
[23:26:22.149] |I| [load_app_impl]: Title: Men's Room Mayhem
[23:26:22.149] |I| [load_app_impl]: Serial: PCSB00313
[23:26:22.149] |I| [load_app_impl]: Version: 1.00
[23:26:22.149] |I| [load_app_impl]: Category: gd
[23:26:22.167] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:26:22.168] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000514B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[23:26:22.168] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[23:26:22.169] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[23:26:22.169] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3DF30
[23:26:22.170] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x41DF0, setting to stub value 0xDEADBEEF
[23:26:22.171] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x434A4, setting to stub value 0xDEADBEEF
[23:26:22.172] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[23:26:22.182] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:26:22.182] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0007B22C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[23:26:22.185] |I| [load_self]: Loaded module segment 1 @ [0x0007C000 - 0x000811A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[23:26:22.186] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[23:26:22.192] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x73B70
[23:26:22.193] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[23:26:22.203] |C| [load_self]: Unknown segment type 0x6FFFFF01
[23:26:22.203] |I| [load_self]: Loaded module segment 0 @ [0x00082000 - 0x00096144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[23:26:22.206] |I| [load_self]: Loaded module segment 1 @ [0x00097000 - 0x00097814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[23:26:22.210] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[23:26:22.210] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x921CC
[23:26:22.211] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
