|W| [unimplemented_impl]: Unimplemented sceAppMgrIsNonGameProgram import called.
[05:09:01.112] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[05:09:01.119] |W| [unimplemented_impl]: Unimplemented sceNetInternalIcmConnect import called.
[05:09:01.119] |W| [stubbed_impl]: Stubbed sceNetCtlInetGetInfo import called. (code SCE_NETCTL_INFO_GET_HTTP_PROXY_CONFIG not implemented)
[05:09:01.120] |I| [export_sceIoOpen]: Opening file: sa0:/data/font/pvf/jpn0.pvf
[05:09:01.126] |W| [unimplemented_impl]: Unimplemented sceNetResolverCreate import called.
[05:09:01.132] |W| [unimplemented_impl]: Unimplemented sceNetResolverDestroy import called.
[05:09:01.133] |E| [export_sceNetSetsockopt]: Unknown socket option 0x40000
[05:09:03.133] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/theme/PCR-可可萝 (target path: ux0:theme/PCR-可可萝)
[05:09:03.134] |W| [io_error_impl]: stat_file (_sceIoDread) returned 0x80010002
[05:09:03.134] |W| [io_error_impl]: read_dir (_sceIoDread) returned 0x80010018
[05:09:03.147] |E| [logging::ret_error_impl]: sceGxmBeginScene returned SCE_GXM_ERROR_WITHIN_SCENE (0x805B0007)
[05:09:03.161] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[05:09:03.163] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 9566374be231bca9b76e9f59e6b8f5ab3cd8ed6401304a9182f25e835e256024
[05:09:03.170] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 9566374be231bca9b76e9f59e6b8f5ab3cd8ed6401304a9182f25e835e256024
[05:09:03.200] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) aPosition
[05:09:03.200] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) aColor
[05:09:03.200] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) wvp[4]
[05:09:03.230] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 925d1eff277a4bf2eb0694d316973907c5f5f8cfc5bb3364e3706cb921203f88
[05:09:03.231] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 925d1eff277a4bf2eb0694d316973907c5f5f8cfc5bb3364e3706cb921203f88
[05:09:03.232] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (float4) v_Color0
[05:09:03.240] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader ce748efe5db5316c3f3787c1b3b6c45b3898894a60fc7f1bddaade3b9e3b5194
[05:09:03.241] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader ce748efe5db5316c3f3787c1b3b6c45b3898894a60fc7f1bddaade3b9e3b5194
[05:09:03.242] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) aPosition
[05:09:03.242] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) aTexcoord
[05:09:03.243] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) wvp[4]
[05:09:03.253] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader c967b3d1c2ebda34628eda8fd007bb107ec454c5a72a0a5061afc4f680c7d1f6
[05:09:03.254] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader c967b3d1c2ebda34628eda8fd007bb107ec454c5a72a0a5061afc4f680c7d1f6
[05:09:03.257] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) uTintColor
