[04:43:28.233] |I| [config::init_config]: backend-renderer: OpenGL
[04:43:28.235] |I| [config::init_config]: hardware-flip: enabled
[04:43:28.235] |I| [config::init_config]: lle-modules: libpgf,libpvf,libsas,libatrac
[04:43:28.236] |I| [config::init_config]: log-level: 0
[04:43:28.243] |I| [SDL_main]: Vita3K v0.1 1395-76189aa5
[04:43:29.092] |I| [renderer::gl::create]: Swap interval = -1
[04:43:29.094] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[04:43:29.095] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.1 26.20.15029.20013
[04:43:29.095] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[04:43:29.095] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[04:43:29.096] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[04:43:29.335] |I| [gui::init_icons]: Default icon found for title TESTEEEEE, TESTEEEEE.
[04:44:02.296] |I| [load_app_impl]: Title: Muv-Luv
[04:44:02.297] |I| [load_app_impl]: Serial: PCSB01234
[04:44:02.298] |I| [load_app_impl]: Version: 01.00
[04:44:02.298] |I| [load_app_impl]: Category: gd
[04:44:02.398] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:02.399] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[04:44:02.400] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[04:44:02.400] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[04:44:02.400] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[04:44:02.401] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[04:44:02.401] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[04:44:02.401] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[04:44:02.401] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[04:44:02.417] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:02.418] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[04:44:02.420] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[04:44:02.423] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[04:44:02.424] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[04:44:02.425] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[04:44:02.426] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[04:44:02.449] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:02.449] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[04:44:02.451] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[04:44:02.452] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[04:44:02.453] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[04:44:02.454] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[04:44:02.455] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[04:44:02.456] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[04:44:02.567] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:44:02.567] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x00274128] (size: 0x001D3128) of module app0:eboot.bin
[04:44:02.569] |I| [load_self]: Loaded module segment 1 @ [0x00275000 - 0x002C44C4] (size: 0x0004F4C4) of module app0:eboot.bin
[04:44:02.570] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[04:44:02.571] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x20C4DC
[04:44:02.572] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x27CC2C
[04:44:02.572] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x245138
[04:44:02.574] |I| [load_app_impl]: Main executable AGESVITA (eboot.bin) loaded
[04:44:02.622] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[04:44:02.692] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[04:44:02.693] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[04:44:02.694] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[04:44:02.702] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[04:44:02.704] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[04:44:02.712] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[04:44:02.713] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[04:44:02.716] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[04:44:02.717] |D| [run_app]: Running module_start of library: SceUlt at address 0x8E771
[04:44:02.723] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[04:44:02.724] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[04:44:02.730] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[04:44:02.819] |W| [unimplemented_impl]: Unimplemented sceSystemGestureInitializePrimitiveTouchRecognizer import called.
[04:44:02.821] |W| [unimplemented_impl]: Unimplemented sceSystemGestureCreateTouchRecognizer import called.
[04:44:02.952] |W| [stubbed_impl]: Stubbed sceDisplayWaitSetFrameBuf import called. (move after setframebuf)
[04:44:02.984] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[04:44:03.151] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/_DevRoot (target path: app0:_DevRoot)
[04:44:03.152] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.156] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/_DevRoot (target path: app0:_DevRoot)
[04:44:03.156] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.158] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/_DevRoot.Op/AbstSoundMng (target path: app0:_DevRoot.Op/AbstSoundMng)
[04:44:03.159] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.191] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.191] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.192] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.193] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.194] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.195] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.198] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.199] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.202] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.203] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.206] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.206] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.207] |E| [stat_file]: Missing file at G:/Vita3K/ux0/app/PCSB01234/aaa (target path: app0:aaa)
[04:44:03.208] |W| [io_error_impl]: stat_file (sceIoGetstat) returned 0x80010002
[04:44:03.210] |T| [stat_file]: sceIoGetstat: Statting file: app0:muvluv17.rio (ux0:/app/PCSB01234/muvluv17.rio)
[04:44:03.216] |I| [export_sceIoOpen]: Opening file: app0:muvluv17.rio
[04:44:03.229] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR15605_00/TROPHY.TRP (ux0:/app/PCSB01234/sce_sys/trophy/NPWR15605_00/TROPHY.TRP), fd: 0x3
[04:44:03.260] |T| [open_file]: sceIoOpen: Opening file app0:muvluv17.rio (ux0:/app/PCSB01234/muvluv17.rio), fd: 0x4
[04:44:03.261] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x4
[04:44:03.267] |T| [read_file]: sceIoRead: Reading 4096 bytes of fd 0x4
[04:44:03.268] |T| [seek_file]: sceIoLseek: Seeking fd: 0x4, offset: 0xFFFFFFFFFFFFF004, whence: SCE_SEEK_CUR
[04:44:03.269] |T| [seek_file]: sceIoLseek: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[04:44:03.270] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x4
[04:44:03.274] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[04:44:03.277] |T| [stat_file]: sceIoGetstat: Statting file: app0:muvluv17.rio.ici (ux0:/app/PCSB01234/muvluv17.rio.ici)
[04:44:03.280] |I| [export_sceIoOpen]: Opening file: app0:muvluv17.rio.ici
[04:44:03.319] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR15605_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR15605_00/TROPUSR.DAT), fd: 0x5
[04:44:03.321] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[04:44:03.324] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x10, whence: SCE_SEEK_SET
[04:44:03.325] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[04:44:03.326] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[04:44:03.328] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x40, whence: SCE_SEEK_SET
[04:44:03.333] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[04:44:03.334] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
