[21:58:55.376] |I| [config::init_config]: input-content-path: Othmane\Downloads\windows-latest
[21:58:55.378] |I| [config::init_config]: input-installed-path: PCSG01099
[21:58:55.378] |I| [config::init_config]: backend-renderer: OpenGL
[21:58:55.378] |I| [config::init_config]: log-level: 0
[21:58:55.536] |I| [SDL_main]: Vita3K v0.1.8 3242-32b607cb
[21:58:55.552] |I| [SDL_main]: Number of logical CPU cores: 8
[21:58:55.558] |I| [SDL_main]: Available ram memory: 16215 MiB
[21:58:55.894] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[21:58:55.895] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 531.29
[21:58:55.895] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[21:58:55.896] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[21:58:56.406] |W| [compat::load_compat_app_db]: App with Title ID PCSH10100 has an issue but no status label. Please check GitHub issue 1716 and request a status label be added.
[21:58:56.406] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[21:58:56.407] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[21:58:56.407] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[21:58:57.147] |E| [SDL_main]: File dropped: [Othmane\Downloads\windows-latest] is not supported.
[21:58:57.194] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[21:58:57.769] |I| [gui::set_vsync_state]: V-Sync state: true
[21:58:57.789] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:58:57.789] |I| [load_app_impl]: CPU Optimisation state: true
[21:58:57.789] |I| [load_app_impl]: ngs state: true
[21:58:57.789] |I| [load_app_impl]: Resolution multiplier: 1
[21:58:57.789] |I| [load_app_impl]: modules mode: Automatic
[21:58:57.790] |I| [load_app_impl]: Title: Ninja Usagimaru: Two Tails of Adventure
[21:58:57.790] |I| [load_app_impl]: Serial: PCSG01099
[21:58:57.790] |I| [load_app_impl]: Version: 1.00
[21:58:57.792] |I| [load_app_impl]: Category: gd
[21:58:57.813] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[21:58:57.814] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[21:58:57.817] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[21:58:57.818] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[21:58:57.822] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[21:58:57.823] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[21:58:57.825] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:58:57.839] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[21:58:57.839] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[21:58:57.843] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[21:58:57.844] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[21:58:57.845] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[21:58:57.846] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[21:58:57.846] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:58:57.855] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[21:58:57.855] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
